,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-3Ze6ZVRnog,17,0,1,311.0,60.0,516.0,333.0,0,0.5820057392120361
1,-3Ze6ZVRnog,17,0,2,285.0,59.0,518.0,337.0,0,0.47484472393989563
2,-3Ze6ZVRnog,17,0,3,276.0,30.0,602.0,357.0,0,0.7671785950660706
3,-3Ze6ZVRnog,17,0,4,174.0,103.0,617.0,358.0,22,0.7990195155143738
4,-3Ze6ZVRnog,17,0,4,120.0,0.0,196.0,169.0,0,0.7816689610481262
5,-3Ze6ZVRnog,17,0,4,1.0,143.0,218.0,357.0,22,0.714186429977417
6,-3Ze6ZVRnog,17,0,5,232.0,142.0,640.0,360.0,22,0.874023973941803
7,-3Ze6ZVRnog,17,0,5,151.0,24.0,227.0,208.0,0,0.792322039604187
8,-3Ze6ZVRnog,17,0,5,1.0,178.0,258.0,357.0,22,0.7421550154685974
9,-3Ze6ZVRnog,17,0,6,185.0,44.0,264.0,215.0,0,0.8558803200721741
10,-3Ze6ZVRnog,17,0,6,306.0,164.0,640.0,356.0,22,0.8219403028488159
11,-3Ze6ZVRnog,17,0,6,4.0,199.0,342.0,354.0,22,0.7452622652053833
12,-3Ze6ZVRnog,17,0,7,213.0,55.0,291.0,217.0,0,0.8782378435134888
13,-3Ze6ZVRnog,17,0,7,372.0,171.0,640.0,356.0,22,0.8162019848823547
14,-3Ze6ZVRnog,17,0,7,1.0,201.0,119.0,356.0,22,0.6839324831962585
15,-3Ze6ZVRnog,17,0,7,346.0,16.0,425.0,226.0,0,0.6023195385932922
16,-3Ze6ZVRnog,17,0,7,105.0,195.0,440.0,353.0,22,0.5098112225532532
17,-3Ze6ZVRnog,17,0,7,395.0,109.0,462.0,202.0,0,0.4822006821632385
18,-3Ze6ZVRnog,17,0,8,233.0,60.0,312.0,225.0,0,0.8946945667266846
19,-3Ze6ZVRnog,17,0,8,2.0,191.0,222.0,357.0,22,0.7602322697639465
20,-3Ze6ZVRnog,17,0,8,367.0,29.0,469.0,230.0,0,0.6854759454727173
21,-3Ze6ZVRnog,17,0,9,243.0,67.0,324.0,229.0,0,0.8673656582832336
22,-3Ze6ZVRnog,17,0,9,382.0,36.0,494.0,242.0,0,0.7139057517051697
23,-3Ze6ZVRnog,17,0,9,3.0,196.0,328.0,354.0,22,0.5106992125511169
24,-3Ze6ZVRnog,17,0,9,466.0,168.0,640.0,352.0,22,0.42751047015190125
25,-3Ze6ZVRnog,17,0,9,311.0,178.0,632.0,356.0,22,0.4057752788066864
26,-3Ze6ZVRnog,17,0,10,262.0,69.0,342.0,226.0,0,0.8787641525268555
27,-3Ze6ZVRnog,17,0,10,396.0,40.0,516.0,241.0,0,0.5941449999809265
28,-3Ze6ZVRnog,17,0,10,403.0,165.0,640.0,357.0,22,0.47171735763549805
29,-3Ze6ZVRnog,17,0,11,269.0,69.0,343.0,202.0,0,0.8256268501281738
30,-3Ze6ZVRnog,17,0,11,409.0,36.0,467.0,220.0,0,0.633141279220581
31,-3Ze6ZVRnog,17,0,11,49.0,179.0,494.0,356.0,22,0.5429714322090149
32,-3Ze6ZVRnog,17,0,12,0.0,171.0,176.0,359.0,22,0.5677337646484375
33,-3Ze6ZVRnog,17,0,12,422.0,41.0,488.0,213.0,0,0.48766303062438965
34,-3Ze6ZVRnog,17,0,13,297.0,60.0,365.0,199.0,0,0.7108701467514038
35,-3Ze6ZVRnog,17,0,13,438.0,31.0,507.0,188.0,0,0.4912562668323517
36,-3Ze6ZVRnog,17,0,14,299.0,54.0,371.0,192.0,0,0.7884335517883301
37,-3Ze6ZVRnog,17,0,14,295.0,173.0,640.0,354.0,22,0.6109598875045776
38,-3Ze6ZVRnog,17,0,14,435.0,30.0,531.0,182.0,0,0.4855223000049591
39,-3Ze6ZVRnog,17,0,15,290.0,51.0,357.0,189.0,0,0.7121205925941467
40,-3Ze6ZVRnog,17,0,15,427.0,97.0,514.0,186.0,0,0.5305113792419434
41,-3Ze6ZVRnog,17,0,16,413.0,109.0,513.0,187.0,0,0.6768510937690735
42,-3Ze6ZVRnog,17,0,16,283.0,49.0,346.0,180.0,0,0.653692364692688
43,-3Ze6ZVRnog,17,0,17,292.0,46.0,368.0,253.0,0,0.5853367447853088
44,-3Ze6ZVRnog,17,0,17,0.0,127.0,86.0,357.0,22,0.4104268550872803
45,-3Ze6ZVRnog,17,0,18,211.0,1.0,357.0,237.0,0,0.5345240235328674
46,-3Ze6ZVRnog,17,0,19,0.0,116.0,195.0,354.0,22,0.5660816431045532
47,-3Ze6ZVRnog,17,0,19,296.0,48.0,363.0,169.0,0,0.5153516530990601
