,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-5TRNRXfYc0,20,0,3,190.0,87.0,275.0,204.0,20,0.8020614981651306
1,-5TRNRXfYc0,20,0,3,221.0,209.0,320.0,349.0,20,0.7997229695320129
2,-5TRNRXfYc0,20,0,3,88.0,55.0,199.0,146.0,20,0.7803882360458374
3,-5TRNRXfYc0,20,0,3,472.0,89.0,538.0,215.0,19,0.7785688638687134
4,-5TRNRXfYc0,20,0,3,88.0,127.0,192.0,244.0,20,0.7728357911109924
5,-5TRNRXfYc0,20,0,3,8.0,95.0,87.0,190.0,20,0.6928495764732361
6,-5TRNRXfYc0,20,0,3,320.0,21.0,439.0,99.0,19,0.657154381275177
7,-5TRNRXfYc0,20,0,3,253.0,146.0,358.0,240.0,20,0.584648847579956
8,-5TRNRXfYc0,20,0,3,352.0,197.0,440.0,275.0,20,0.49520793557167053
9,-5TRNRXfYc0,20,0,3,295.0,69.0,367.0,143.0,19,0.4946320056915283
10,-5TRNRXfYc0,20,0,3,455.0,178.0,481.0,236.0,19,0.4718329906463623
11,-5TRNRXfYc0,20,0,3,345.0,198.0,441.0,282.0,19,0.4088336229324341
12,-5TRNRXfYc0,20,0,4,208.0,210.0,314.0,357.0,20,0.7789958119392395
13,-5TRNRXfYc0,20,0,4,170.0,95.0,265.0,215.0,20,0.755626380443573
14,-5TRNRXfYc0,20,0,4,356.0,203.0,439.0,284.0,20,0.7529305219650269
15,-5TRNRXfYc0,20,0,4,8.0,99.0,71.0,206.0,19,0.6538722515106201
16,-5TRNRXfYc0,20,0,4,245.0,161.0,334.0,254.0,20,0.6382669806480408
17,-5TRNRXfYc0,20,0,4,78.0,134.0,175.0,247.0,19,0.5918576717376709
18,-5TRNRXfYc0,20,0,4,81.0,64.0,202.0,154.0,19,0.5848451256752014
19,-5TRNRXfYc0,20,0,4,327.0,240.0,375.0,305.0,20,0.5716801881790161
20,-5TRNRXfYc0,20,0,4,79.0,65.0,202.0,151.0,20,0.571430504322052
21,-5TRNRXfYc0,20,0,4,448.0,86.0,537.0,212.0,19,0.5594596862792969
22,-5TRNRXfYc0,20,0,4,290.0,81.0,358.0,153.0,20,0.504382312297821
23,-5TRNRXfYc0,20,0,4,337.0,30.0,454.0,113.0,19,0.4772379398345947
24,-5TRNRXfYc0,20,0,6,6.0,2.0,159.0,262.0,0,0.41903650760650635
25,-5TRNRXfYc0,20,0,8,7.0,78.0,114.0,353.0,20,0.5500749349594116
26,-5TRNRXfYc0,20,0,8,218.0,157.0,329.0,356.0,20,0.4310302436351776
27,-5TRNRXfYc0,20,0,9,4.0,78.0,134.0,352.0,20,0.6837438941001892
28,-5TRNRXfYc0,20,0,9,172.0,170.0,333.0,358.0,20,0.6531334519386292
29,-5TRNRXfYc0,20,0,10,150.0,223.0,330.0,359.0,19,0.454141229391098
30,-5TRNRXfYc0,20,0,11,6.0,85.0,106.0,354.0,20,0.5370538234710693
31,-5TRNRXfYc0,20,0,11,77.0,0.0,337.0,355.0,20,0.4460522532463074
32,-5TRNRXfYc0,20,0,12,56.0,3.0,401.0,350.0,20,0.5388710498809814
33,-5TRNRXfYc0,20,1,1,219.0,168.0,430.0,297.0,20,0.8287366628646851
34,-5TRNRXfYc0,20,1,1,125.0,252.0,182.0,297.0,19,0.430136501789093
35,-5TRNRXfYc0,20,1,2,218.0,170.0,431.0,297.0,20,0.8258779048919678
36,-5TRNRXfYc0,20,1,2,126.0,252.0,182.0,296.0,20,0.5283881425857544
37,-5TRNRXfYc0,20,1,2,124.0,252.0,182.0,296.0,17,0.44130939245224
38,-5TRNRXfYc0,20,1,3,154.0,262.0,213.0,297.0,20,0.7016758918762207
39,-5TRNRXfYc0,20,1,3,234.0,171.0,403.0,300.0,20,0.5891762375831604
40,-5TRNRXfYc0,20,1,4,214.0,166.0,444.0,305.0,20,0.7795193791389465
41,-5TRNRXfYc0,20,1,4,100.0,258.0,157.0,307.0,20,0.6822447180747986
42,-5TRNRXfYc0,20,1,5,273.0,178.0,467.0,305.0,20,0.8523289561271667
43,-5TRNRXfYc0,20,1,5,117.0,254.0,175.0,294.0,20,0.8502349257469177
44,-5TRNRXfYc0,20,1,6,272.0,188.0,391.0,309.0,19,0.7210777401924133
45,-5TRNRXfYc0,20,1,6,171.0,255.0,223.0,303.0,20,0.5997421145439148
46,-5TRNRXfYc0,20,1,7,273.0,161.0,409.0,308.0,19,0.5819490551948547
47,-5TRNRXfYc0,20,1,7,242.0,252.0,300.0,298.0,20,0.4112761914730072
48,-5TRNRXfYc0,20,1,7,243.0,252.0,302.0,301.0,19,0.4057958126068115
49,-5TRNRXfYc0,20,1,8,315.0,176.0,402.0,306.0,19,0.6010511517524719
50,-5TRNRXfYc0,20,1,8,316.0,176.0,402.0,304.0,17,0.5129055380821228
51,-5TRNRXfYc0,20,1,9,280.0,186.0,502.0,313.0,17,0.4474886953830719
52,-5TRNRXfYc0,20,1,17,120.0,249.0,149.0,270.0,18,0.5371065735816956
53,-5TRNRXfYc0,20,1,17,489.0,220.0,512.0,238.0,18,0.4610724449157715
54,-5TRNRXfYc0,20,1,17,392.0,222.0,414.0,236.0,18,0.43680426478385925
55,-5TRNRXfYc0,20,1,17,411.0,224.0,433.0,239.0,18,0.41965681314468384
56,-5TRNRXfYc0,20,1,17,386.0,207.0,403.0,223.0,18,0.40904513001441956
57,-5TRNRXfYc0,20,1,18,117.0,241.0,144.0,259.0,18,0.4021622836589813
58,-5TRNRXfYc0,20,1,19,117.0,233.0,146.0,252.0,19,0.5674613118171692
59,-5TRNRXfYc0,20,1,19,185.0,190.0,206.0,207.0,19,0.4607366621494293
60,-5TRNRXfYc0,20,1,19,287.0,242.0,319.0,261.0,19,0.4295620918273926
61,-5TRNRXfYc0,20,1,19,201.0,215.0,220.0,239.0,19,0.4178796410560608
62,-5TRNRXfYc0,20,1,19,330.0,191.0,351.0,208.0,19,0.4053240418434143
63,-5TRNRXfYc0,20,1,19,161.0,233.0,185.0,252.0,19,0.4015679955482483
