,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-CsxCFSfx08,5,0,1,0.0,0.0,106.0,90.0,0,0.5696060061454773
1,-CsxCFSfx08,5,0,2,0.0,0.0,106.0,91.0,0,0.6210631728172302
2,-CsxCFSfx08,5,0,5,1.0,2.0,134.0,88.0,0,0.651964545249939
3,-CsxCFSfx08,5,0,6,23.0,0.0,170.0,98.0,0,0.46368491649627686
4,-CsxCFSfx08,5,0,7,31.0,0.0,169.0,94.0,0,0.5541310906410217
5,-CsxCFSfx08,5,0,8,53.0,7.0,186.0,106.0,0,0.6996561288833618
6,-CsxCFSfx08,5,0,9,31.0,14.0,168.0,112.0,0,0.7316429615020752
7,-CsxCFSfx08,5,0,9,279.0,37.0,536.0,310.0,77,0.44377776980400085
8,-CsxCFSfx08,5,0,10,21.0,13.0,150.0,111.0,0,0.7465153336524963
9,-CsxCFSfx08,5,0,10,188.0,61.0,455.0,348.0,77,0.5469311475753784
10,-CsxCFSfx08,5,0,11,73.0,35.0,175.0,115.0,0,0.7196614146232605
11,-CsxCFSfx08,5,0,12,58.0,30.0,160.0,106.0,0,0.6634631752967834
12,-CsxCFSfx08,5,0,13,49.0,35.0,165.0,101.0,0,0.5466211438179016
13,-CsxCFSfx08,5,0,13,206.0,118.0,491.0,281.0,16,0.4493420422077179
14,-CsxCFSfx08,5,0,14,24.0,39.0,156.0,117.0,0,0.5143251419067383
15,-CsxCFSfx08,5,0,15,15.0,23.0,391.0,343.0,0,0.4874439537525177
16,-CsxCFSfx08,5,0,15,67.0,37.0,198.0,104.0,0,0.48186051845550537
17,-CsxCFSfx08,5,0,16,218.0,2.0,471.0,320.0,0,0.8503044843673706
18,-CsxCFSfx08,5,0,16,83.0,7.0,199.0,74.0,0,0.572685182094574
19,-CsxCFSfx08,5,0,17,207.0,0.0,449.0,294.0,0,0.6610897183418274
20,-CsxCFSfx08,5,0,17,64.0,0.0,181.0,50.0,0,0.4887218177318573
21,-CsxCFSfx08,5,0,17,224.0,255.0,245.0,286.0,39,0.4696183502674103
22,-CsxCFSfx08,5,1,1,32.0,0.0,160.0,80.0,0,0.6717900037765503
23,-CsxCFSfx08,5,1,2,32.0,0.0,160.0,80.0,0,0.6599259972572327
24,-CsxCFSfx08,5,1,3,39.0,1.0,164.0,76.0,0,0.698289692401886
25,-CsxCFSfx08,5,1,4,65.0,1.0,180.0,72.0,0,0.4307873845100403
26,-CsxCFSfx08,5,1,5,71.0,1.0,199.0,74.0,0,0.5705663561820984
27,-CsxCFSfx08,5,1,6,55.0,1.0,188.0,72.0,0,0.710525631904602
28,-CsxCFSfx08,5,1,7,64.0,1.0,177.0,69.0,0,0.6564014554023743
29,-CsxCFSfx08,5,1,8,35.0,1.0,145.0,71.0,0,0.6270532608032227
30,-CsxCFSfx08,5,1,9,27.0,1.0,121.0,76.0,0,0.7084791660308838
31,-CsxCFSfx08,5,1,10,36.0,1.0,147.0,72.0,0,0.6669298410415649
32,-CsxCFSfx08,5,1,11,38.0,0.0,148.0,72.0,0,0.6774106621742249
33,-CsxCFSfx08,5,1,12,36.0,1.0,149.0,73.0,0,0.5736396908760071
34,-CsxCFSfx08,5,1,13,28.0,1.0,148.0,79.0,0,0.5897051095962524
35,-CsxCFSfx08,5,1,14,19.0,0.0,135.0,74.0,0,0.655162513256073
36,-CsxCFSfx08,5,1,15,3.0,8.0,415.0,340.0,0,0.42367973923683167
37,-CsxCFSfx08,5,1,16,22.0,2.0,133.0,81.0,0,0.5309362411499023
38,-CsxCFSfx08,5,1,16,41.0,3.0,418.0,337.0,0,0.41706615686416626
39,-CsxCFSfx08,5,1,17,39.0,0.0,142.0,82.0,0,0.70718914270401
40,-CsxCFSfx08,5,1,18,151.0,59.0,226.0,112.0,63,0.7176574468612671
41,-CsxCFSfx08,5,1,18,33.0,4.0,152.0,88.0,0,0.5416339635848999
42,-CsxCFSfx08,5,1,19,538.0,7.0,600.0,134.0,0,0.8128551244735718
