,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-EgrBwbYd4c,2,0,4,239.0,46.0,342.0,336.0,0,0.9073017239570618
1,-EgrBwbYd4c,2,0,4,448.0,150.0,473.0,219.0,0,0.8463391065597534
2,-EgrBwbYd4c,2,0,4,3.0,186.0,48.0,225.0,2,0.8455235958099365
3,-EgrBwbYd4c,2,0,4,171.0,125.0,228.0,259.0,0,0.762917697429657
4,-EgrBwbYd4c,2,0,4,71.0,213.0,143.0,358.0,1,0.7603136301040649
5,-EgrBwbYd4c,2,0,4,426.0,155.0,448.0,217.0,0,0.7441248297691345
6,-EgrBwbYd4c,2,0,4,70.0,54.0,178.0,334.0,0,0.7391219735145569
7,-EgrBwbYd4c,2,0,4,263.0,187.0,325.0,355.0,1,0.6528807282447815
8,-EgrBwbYd4c,2,0,4,41.0,191.0,72.0,221.0,2,0.6328192353248596
9,-EgrBwbYd4c,2,0,4,175.0,185.0,223.0,295.0,1,0.6273419260978699
10,-EgrBwbYd4c,2,0,4,207.0,132.0,232.0,200.0,0,0.4996921718120575
11,-EgrBwbYd4c,2,0,5,200.0,38.0,320.0,337.0,0,0.9013311266899109
12,-EgrBwbYd4c,2,0,5,2.0,196.0,33.0,230.0,2,0.8152497410774231
13,-EgrBwbYd4c,2,0,5,66.0,45.0,182.0,333.0,0,0.8141179084777832
14,-EgrBwbYd4c,2,0,5,24.0,195.0,57.0,226.0,2,0.7401180863380432
15,-EgrBwbYd4c,2,0,5,78.0,215.0,142.0,357.0,1,0.7018870711326599
16,-EgrBwbYd4c,2,0,5,154.0,196.0,195.0,297.0,1,0.6725008487701416
17,-EgrBwbYd4c,2,0,5,244.0,189.0,297.0,354.0,1,0.6310723423957825
18,-EgrBwbYd4c,2,0,5,47.0,193.0,81.0,222.0,2,0.6001634001731873
19,-EgrBwbYd4c,2,0,6,12.0,190.0,77.0,236.0,2,0.8472297787666321
20,-EgrBwbYd4c,2,0,6,268.0,26.0,406.0,349.0,0,0.7635740637779236
21,-EgrBwbYd4c,2,0,6,1.0,192.0,35.0,227.0,2,0.7143900394439697
22,-EgrBwbYd4c,2,0,6,245.0,138.0,277.0,262.0,0,0.6857908368110657
23,-EgrBwbYd4c,2,0,6,314.0,188.0,375.0,355.0,1,0.6746156215667725
24,-EgrBwbYd4c,2,0,6,59.0,224.0,131.0,357.0,1,0.650715708732605
25,-EgrBwbYd4c,2,0,6,152.0,117.0,223.0,275.0,0,0.6203734874725342
26,-EgrBwbYd4c,2,0,6,152.0,173.0,216.0,330.0,1,0.6139416694641113
27,-EgrBwbYd4c,2,0,6,280.0,251.0,309.0,335.0,1,0.423343688249588
28,-EgrBwbYd4c,2,0,6,49.0,46.0,172.0,348.0,12,0.41205573081970215
29,-EgrBwbYd4c,2,0,7,251.0,13.0,423.0,342.0,0,0.6989697217941284
30,-EgrBwbYd4c,2,0,7,144.0,106.0,211.0,286.0,0,0.6834331154823303
31,-EgrBwbYd4c,2,0,7,132.0,189.0,191.0,339.0,1,0.6516468524932861
32,-EgrBwbYd4c,2,0,7,9.0,17.0,160.0,334.0,0,0.6491488814353943
33,-EgrBwbYd4c,2,0,7,253.0,177.0,302.0,343.0,1,0.5795009136199951
34,-EgrBwbYd4c,2,0,7,188.0,198.0,216.0,290.0,1,0.4613979458808899
35,-EgrBwbYd4c,2,0,7,188.0,118.0,224.0,266.0,0,0.4464800953865051
36,-EgrBwbYd4c,2,0,8,255.0,144.0,370.0,356.0,0,0.4500488042831421
37,-EgrBwbYd4c,2,0,9,224.0,112.0,414.0,354.0,0,0.5152423977851868
38,-EgrBwbYd4c,2,0,10,207.0,270.0,367.0,343.0,2,0.8615178465843201
39,-EgrBwbYd4c,2,0,10,32.0,207.0,227.0,355.0,0,0.5931554436683655
40,-EgrBwbYd4c,2,0,10,353.0,222.0,477.0,357.0,3,0.46712201833724976
41,-EgrBwbYd4c,2,0,10,396.0,209.0,480.0,356.0,0,0.4371049404144287
42,-EgrBwbYd4c,2,0,11,142.0,233.0,320.0,308.0,2,0.886237382888794
