,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-FDyPerws7I,7,0,1,143.0,87.0,422.0,310.0,15,0.678489625453949
1,-FDyPerws7I,7,0,2,148.0,86.0,448.0,312.0,15,0.5221012234687805
2,-FDyPerws7I,7,0,3,163.0,48.0,480.0,272.0,15,0.6206526756286621
3,-FDyPerws7I,7,0,4,200.0,54.0,480.0,249.0,15,0.7286890149116516
4,-FDyPerws7I,7,0,5,212.0,73.0,480.0,252.0,15,0.8323009014129639
5,-FDyPerws7I,7,0,6,240.0,43.0,479.0,247.0,15,0.6518318057060242
6,-FDyPerws7I,7,0,7,215.0,71.0,480.0,316.0,15,0.7353609800338745
7,-FDyPerws7I,7,0,8,267.0,134.0,480.0,329.0,15,0.7849944233894348
8,-FDyPerws7I,7,0,9,279.0,120.0,479.0,307.0,15,0.7806661128997803
9,-FDyPerws7I,7,0,10,172.0,101.0,480.0,269.0,15,0.7805861830711365
10,-FDyPerws7I,7,0,11,245.0,21.0,480.0,236.0,15,0.536750316619873
11,-FDyPerws7I,7,0,13,67.0,75.0,437.0,298.0,15,0.46032196283340454
12,-FDyPerws7I,7,0,14,81.0,13.0,367.0,277.0,15,0.4217967689037323
13,-FDyPerws7I,7,0,15,379.0,43.0,470.0,180.0,15,0.835790753364563
14,-FDyPerws7I,7,0,15,129.0,78.0,333.0,274.0,15,0.4705187678337097
15,-FDyPerws7I,7,0,16,194.0,108.0,306.0,274.0,15,0.7949517965316772
16,-FDyPerws7I,7,0,17,112.0,67.0,395.0,295.0,15,0.49110525846481323
