,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-HUoTvR4Xfg,4,0,1,60.0,78.0,371.0,238.0,5,0.8563085198402405
1,-HUoTvR4Xfg,4,0,1,0.0,206.0,40.0,325.0,0,0.7120031714439392
2,-HUoTvR4Xfg,4,0,1,439.0,143.0,459.0,210.0,0,0.6454189419746399
3,-HUoTvR4Xfg,4,0,1,36.0,158.0,61.0,188.0,2,0.554884672164917
4,-HUoTvR4Xfg,4,0,1,405.0,168.0,416.0,206.0,0,0.49414265155792236
5,-HUoTvR4Xfg,4,0,1,0.0,283.0,64.0,358.0,0,0.47124186158180237
6,-HUoTvR4Xfg,4,0,1,465.0,165.0,480.0,210.0,0,0.455206960439682
7,-HUoTvR4Xfg,4,0,1,31.0,156.0,42.0,186.0,0,0.44791707396507263
8,-HUoTvR4Xfg,4,0,1,1.0,159.0,17.0,181.0,2,0.43395182490348816
9,-HUoTvR4Xfg,4,0,1,16.0,159.0,25.0,186.0,0,0.4109453856945038
10,-HUoTvR4Xfg,4,0,1,0.0,281.0,63.0,359.0,1,0.404102623462677
11,-HUoTvR4Xfg,4,0,2,62.0,77.0,371.0,239.0,5,0.8624826669692993
12,-HUoTvR4Xfg,4,0,2,0.0,204.0,39.0,347.0,0,0.7542104721069336
13,-HUoTvR4Xfg,4,0,2,439.0,143.0,460.0,210.0,0,0.6774935126304626
14,-HUoTvR4Xfg,4,0,2,404.0,168.0,417.0,205.0,0,0.6055598258972168
15,-HUoTvR4Xfg,4,0,2,37.0,160.0,60.0,188.0,2,0.5715343356132507
16,-HUoTvR4Xfg,4,0,2,0.0,276.0,64.0,359.0,1,0.5672171711921692
17,-HUoTvR4Xfg,4,0,2,467.0,165.0,480.0,210.0,0,0.45083603262901306
18,-HUoTvR4Xfg,4,0,2,31.0,155.0,41.0,186.0,0,0.4441402554512024
19,-HUoTvR4Xfg,4,0,3,60.0,82.0,371.0,242.0,5,0.9289698600769043
20,-HUoTvR4Xfg,4,0,3,439.0,148.0,462.0,216.0,0,0.801457405090332
21,-HUoTvR4Xfg,4,0,3,37.0,163.0,61.0,192.0,2,0.5360167026519775
22,-HUoTvR4Xfg,4,0,3,31.0,160.0,42.0,191.0,0,0.5021024942398071
23,-HUoTvR4Xfg,4,0,3,0.0,165.0,15.0,185.0,2,0.5006328821182251
24,-HUoTvR4Xfg,4,0,3,16.0,162.0,28.0,190.0,0,0.41337448358535767
25,-HUoTvR4Xfg,4,0,4,64.0,81.0,375.0,242.0,5,0.9160656332969666
26,-HUoTvR4Xfg,4,0,4,448.0,147.0,470.0,216.0,0,0.8203211426734924
27,-HUoTvR4Xfg,4,0,4,34.0,158.0,45.0,190.0,0,0.6074030995368958
28,-HUoTvR4Xfg,4,0,4,41.0,163.0,64.0,192.0,2,0.5723039507865906
29,-HUoTvR4Xfg,4,0,4,0.0,163.0,20.0,185.0,2,0.4476064145565033
30,-HUoTvR4Xfg,4,0,4,24.0,162.0,35.0,189.0,0,0.4053501486778259
31,-HUoTvR4Xfg,4,0,5,63.0,79.0,374.0,241.0,5,0.9066454768180847
32,-HUoTvR4Xfg,4,0,5,450.0,143.0,475.0,214.0,0,0.6504941582679749
33,-HUoTvR4Xfg,4,0,5,38.0,163.0,62.0,190.0,2,0.6112072467803955
34,-HUoTvR4Xfg,4,0,5,409.0,160.0,423.0,203.0,0,0.5858195424079895
35,-HUoTvR4Xfg,4,0,5,32.0,157.0,43.0,185.0,0,0.5720207691192627
36,-HUoTvR4Xfg,4,0,5,22.0,157.0,33.0,188.0,0,0.5541955232620239
37,-HUoTvR4Xfg,4,0,6,66.0,79.0,379.0,241.0,5,0.9323947429656982
38,-HUoTvR4Xfg,4,0,6,409.0,146.0,436.0,207.0,0,0.7627744078636169
39,-HUoTvR4Xfg,4,0,6,45.0,164.0,69.0,191.0,2,0.7317803502082825
40,-HUoTvR4Xfg,4,0,6,29.0,159.0,40.0,188.0,0,0.5316046476364136
41,-HUoTvR4Xfg,4,0,6,39.0,159.0,49.0,186.0,0,0.5295226573944092
42,-HUoTvR4Xfg,4,0,6,465.0,168.0,479.0,210.0,0,0.41684919595718384
43,-HUoTvR4Xfg,4,0,7,66.0,78.0,380.0,241.0,5,0.9327235817909241
44,-HUoTvR4Xfg,4,0,7,396.0,144.0,419.0,207.0,0,0.7677421569824219
45,-HUoTvR4Xfg,4,0,7,379.0,146.0,400.0,216.0,0,0.7594643235206604
46,-HUoTvR4Xfg,4,0,7,45.0,165.0,68.0,190.0,2,0.7165119051933289
47,-HUoTvR4Xfg,4,0,7,447.0,167.0,464.0,208.0,0,0.6031137704849243
48,-HUoTvR4Xfg,4,0,7,29.0,158.0,39.0,187.0,0,0.5751729011535645
49,-HUoTvR4Xfg,4,0,7,38.0,158.0,49.0,186.0,0,0.5333850979804993
50,-HUoTvR4Xfg,4,0,7,463.0,143.0,480.0,200.0,0,0.43277814984321594
51,-HUoTvR4Xfg,4,0,8,66.0,80.0,377.0,241.0,5,0.928848922252655
52,-HUoTvR4Xfg,4,0,8,390.0,145.0,415.0,220.0,0,0.7734286785125732
53,-HUoTvR4Xfg,4,0,8,31.0,157.0,44.0,187.0,0,0.6876981854438782
54,-HUoTvR4Xfg,4,0,8,444.0,168.0,459.0,209.0,0,0.644130527973175
55,-HUoTvR4Xfg,4,0,8,40.0,164.0,64.0,189.0,2,0.5990508794784546
56,-HUoTvR4Xfg,4,0,8,453.0,146.0,471.0,203.0,0,0.5218397378921509
57,-HUoTvR4Xfg,4,0,8,372.0,147.0,385.0,206.0,0,0.5050651431083679
58,-HUoTvR4Xfg,4,0,8,22.0,156.0,33.0,187.0,0,0.4869456887245178
59,-HUoTvR4Xfg,4,0,8,0.0,159.0,20.0,184.0,2,0.4430161714553833
60,-HUoTvR4Xfg,4,0,9,64.0,76.0,381.0,240.0,5,0.9370585083961487
61,-HUoTvR4Xfg,4,0,9,450.0,163.0,466.0,207.0,0,0.6733471155166626
62,-HUoTvR4Xfg,4,0,9,34.0,153.0,48.0,187.0,0,0.6260416507720947
63,-HUoTvR4Xfg,4,0,9,413.0,134.0,443.0,218.0,0,0.622498631477356
64,-HUoTvR4Xfg,4,0,9,15.0,152.0,27.0,185.0,0,0.48544034361839294
65,-HUoTvR4Xfg,4,0,9,45.0,164.0,69.0,188.0,2,0.434613436460495
66,-HUoTvR4Xfg,4,0,10,70.0,78.0,383.0,240.0,5,0.9377140402793884
67,-HUoTvR4Xfg,4,0,10,39.0,155.0,52.0,188.0,0,0.6890485286712646
68,-HUoTvR4Xfg,4,0,10,0.0,158.0,10.0,177.0,2,0.6288450956344604
69,-HUoTvR4Xfg,4,0,10,50.0,162.0,76.0,190.0,2,0.6283257603645325
70,-HUoTvR4Xfg,4,0,10,453.0,145.0,474.0,222.0,0,0.47111818194389343
71,-HUoTvR4Xfg,4,0,10,11.0,162.0,29.0,184.0,2,0.42083317041397095
72,-HUoTvR4Xfg,4,0,11,66.0,76.0,384.0,240.0,5,0.9324266910552979
73,-HUoTvR4Xfg,4,0,11,452.0,163.0,467.0,205.0,0,0.7097333669662476
