,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-IY1Vx2vnRw,0,0,1,93.0,54.0,222.0,262.0,0,0.4412427544593811
1,-IY1Vx2vnRw,0,0,2,91.0,41.0,242.0,257.0,0,0.43248316645622253
2,-IY1Vx2vnRw,0,0,3,104.0,56.0,254.0,259.0,0,0.5524743795394897
3,-IY1Vx2vnRw,0,0,4,76.0,42.0,248.0,261.0,0,0.40131044387817383
4,-IY1Vx2vnRw,0,0,5,69.0,49.0,267.0,257.0,0,0.7550535202026367
5,-IY1Vx2vnRw,0,0,6,90.0,201.0,121.0,221.0,65,0.4321124851703644
6,-IY1Vx2vnRw,0,0,7,26.0,7.0,264.0,259.0,0,0.5654593706130981
7,-IY1Vx2vnRw,0,0,8,26.0,22.0,303.0,259.0,0,0.574110209941864
8,-IY1Vx2vnRw,0,0,8,174.0,205.0,199.0,241.0,41,0.4592491090297699
9,-IY1Vx2vnRw,0,0,9,188.0,37.0,349.0,260.0,0,0.4031555950641632
10,-IY1Vx2vnRw,0,0,11,7.0,39.0,269.0,264.0,0,0.4544157087802887
11,-IY1Vx2vnRw,0,0,12,23.0,9.0,346.0,264.0,0,0.47635719180107117
12,-IY1Vx2vnRw,0,0,14,148.0,114.0,169.0,138.0,67,0.5688315033912659
13,-IY1Vx2vnRw,0,0,15,298.0,19.0,349.0,226.0,0,0.5093658566474915
14,-IY1Vx2vnRw,0,0,16,28.0,129.0,92.0,176.0,62,0.5341949462890625
15,-IY1Vx2vnRw,0,0,16,319.0,175.0,341.0,241.0,39,0.48530954122543335
16,-IY1Vx2vnRw,0,0,16,5.0,35.0,46.0,146.0,0,0.46680954098701477
17,-IY1Vx2vnRw,0,0,16,138.0,39.0,186.0,140.0,0,0.44957107305526733
18,-IY1Vx2vnRw,0,0,17,5.0,40.0,46.0,159.0,0,0.8651310205459595
19,-IY1Vx2vnRw,0,0,17,151.0,45.0,194.0,145.0,0,0.463358610868454
20,-IY1Vx2vnRw,0,0,17,34.0,135.0,98.0,179.0,62,0.44910356402397156
