,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-J_dmQITTpU,4,0,1,212.0,131.0,257.0,181.0,5,0.8233193159103394
1,-J_dmQITTpU,4,0,1,256.0,150.0,271.0,167.0,2,0.653250515460968
2,-J_dmQITTpU,4,0,1,370.0,154.0,399.0,178.0,2,0.6241148710250854
3,-J_dmQITTpU,4,0,2,212.0,131.0,257.0,181.0,5,0.8227426409721375
4,-J_dmQITTpU,4,0,2,371.0,154.0,399.0,178.0,2,0.7096351385116577
5,-J_dmQITTpU,4,0,2,256.0,151.0,271.0,167.0,2,0.658263087272644
6,-J_dmQITTpU,4,0,3,350.0,139.0,375.0,163.0,2,0.70880526304245
7,-J_dmQITTpU,4,0,3,210.0,118.0,259.0,170.0,5,0.6424137353897095
8,-J_dmQITTpU,4,0,4,212.0,115.0,276.0,172.0,5,0.7606099247932434
9,-J_dmQITTpU,4,0,4,343.0,140.0,366.0,162.0,2,0.6697766184806824
10,-J_dmQITTpU,4,0,4,407.0,123.0,445.0,158.0,7,0.5898821949958801
11,-J_dmQITTpU,4,0,4,227.0,153.0,273.0,174.0,2,0.4297102689743042
12,-J_dmQITTpU,4,0,4,289.0,135.0,305.0,147.0,2,0.4086124897003174
13,-J_dmQITTpU,4,0,5,209.0,123.0,292.0,184.0,5,0.7755985856056213
14,-J_dmQITTpU,4,0,5,327.0,147.0,351.0,167.0,2,0.7078196406364441
15,-J_dmQITTpU,4,0,6,211.0,124.0,304.0,190.0,5,0.8340049982070923
16,-J_dmQITTpU,4,0,6,307.0,148.0,328.0,166.0,2,0.7051040530204773
17,-J_dmQITTpU,4,0,7,203.0,114.0,314.0,187.0,5,0.8758873343467712
18,-J_dmQITTpU,4,0,8,215.0,127.0,310.0,192.0,5,0.8939259648323059
19,-J_dmQITTpU,4,0,9,213.0,118.0,319.0,189.0,5,0.8959633111953735
20,-J_dmQITTpU,4,0,9,201.0,150.0,214.0,168.0,2,0.6411226391792297
21,-J_dmQITTpU,4,0,9,170.0,145.0,185.0,154.0,2,0.483517587184906
22,-J_dmQITTpU,4,0,10,212.0,125.0,310.0,190.0,5,0.8749253749847412
23,-J_dmQITTpU,4,0,10,195.0,152.0,214.0,167.0,2,0.5899684429168701
24,-J_dmQITTpU,4,0,11,187.0,112.0,316.0,197.0,5,0.9165934920310974
25,-J_dmQITTpU,4,0,11,159.0,148.0,181.0,167.0,2,0.7463527321815491
26,-J_dmQITTpU,4,0,12,114.0,87.0,341.0,213.0,5,0.9104329943656921
27,-J_dmQITTpU,4,0,12,63.0,140.0,91.0,161.0,2,0.8322595357894897
28,-J_dmQITTpU,4,0,12,442.0,169.0,479.0,210.0,2,0.7502134442329407
29,-J_dmQITTpU,4,0,13,23.0,28.0,480.0,267.0,5,0.7260429859161377
30,-J_dmQITTpU,4,0,14,324.0,146.0,361.0,199.0,0,0.5926262736320496
31,-J_dmQITTpU,4,0,15,102.0,139.0,167.0,196.0,0,0.5987790822982788
32,-J_dmQITTpU,4,0,15,0.0,3.0,480.0,331.0,5,0.590703547000885
33,-J_dmQITTpU,4,0,15,235.0,152.0,270.0,192.0,0,0.4260777533054352
34,-J_dmQITTpU,4,0,16,21.0,89.0,355.0,288.0,5,0.8886469006538391
35,-J_dmQITTpU,4,0,17,142.0,139.0,292.0,244.0,5,0.9262673258781433
36,-J_dmQITTpU,4,0,17,402.0,202.0,480.0,262.0,2,0.8563039898872375
37,-J_dmQITTpU,4,1,1,233.0,116.0,310.0,181.0,5,0.7367039918899536
38,-J_dmQITTpU,4,1,2,233.0,117.0,313.0,180.0,5,0.8331525325775146
39,-J_dmQITTpU,4,1,3,229.0,119.0,313.0,182.0,5,0.8523882031440735
40,-J_dmQITTpU,4,1,3,211.0,137.0,225.0,146.0,2,0.40326374769210815
41,-J_dmQITTpU,4,1,4,195.0,97.0,322.0,181.0,5,0.9289590120315552
42,-J_dmQITTpU,4,1,5,147.0,80.0,387.0,225.0,5,0.9136250615119934
