,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-Mnd7AvdMAA,4,0,1,229.0,112.0,376.0,184.0,5,0.9124699234962463
1,-Mnd7AvdMAA,4,0,1,192.0,116.0,234.0,172.0,5,0.8329660296440125
2,-Mnd7AvdMAA,4,0,1,114.0,134.0,123.0,161.0,0,0.661204993724823
3,-Mnd7AvdMAA,4,0,1,23.0,150.0,46.0,201.0,0,0.6610246896743774
4,-Mnd7AvdMAA,4,0,1,145.0,137.0,154.0,161.0,0,0.6556587815284729
5,-Mnd7AvdMAA,4,0,1,52.0,130.0,86.0,160.0,2,0.6104211211204529
6,-Mnd7AvdMAA,4,0,1,163.0,123.0,194.0,156.0,5,0.5572336912155151
7,-Mnd7AvdMAA,4,0,1,162.0,124.0,194.0,156.0,2,0.4465450644493103
8,-Mnd7AvdMAA,4,0,2,230.0,112.0,376.0,184.0,5,0.9163427352905273
9,-Mnd7AvdMAA,4,0,2,192.0,116.0,234.0,172.0,5,0.8093660473823547
10,-Mnd7AvdMAA,4,0,2,23.0,149.0,46.0,202.0,0,0.732122540473938
11,-Mnd7AvdMAA,4,0,2,114.0,136.0,122.0,161.0,0,0.6910393238067627
12,-Mnd7AvdMAA,4,0,2,163.0,124.0,194.0,155.0,2,0.6445373296737671
13,-Mnd7AvdMAA,4,0,2,145.0,137.0,154.0,162.0,0,0.637892484664917
14,-Mnd7AvdMAA,4,0,2,53.0,130.0,86.0,160.0,2,0.6284962296485901
15,-Mnd7AvdMAA,4,0,3,216.0,143.0,366.0,220.0,5,0.8951059579849243
16,-Mnd7AvdMAA,4,0,3,193.0,148.0,224.0,201.0,5,0.7566596865653992
17,-Mnd7AvdMAA,4,0,3,0.0,189.0,16.0,241.0,0,0.5707370042800903
18,-Mnd7AvdMAA,4,0,3,122.0,166.0,133.0,191.0,0,0.5690330266952515
19,-Mnd7AvdMAA,4,0,3,117.0,166.0,130.0,192.0,0,0.5456742644309998
20,-Mnd7AvdMAA,4,0,3,52.0,160.0,87.0,193.0,2,0.46820399165153503
21,-Mnd7AvdMAA,4,0,3,164.0,164.0,192.0,186.0,2,0.426557332277298
22,-Mnd7AvdMAA,4,0,3,42.0,130.0,54.0,148.0,9,0.41547390818595886
23,-Mnd7AvdMAA,4,0,4,247.0,155.0,404.0,236.0,5,0.8738037943840027
24,-Mnd7AvdMAA,4,0,4,144.0,182.0,153.0,205.0,0,0.7344365119934082
25,-Mnd7AvdMAA,4,0,4,35.0,203.0,63.0,256.0,0,0.7031890153884888
26,-Mnd7AvdMAA,4,0,4,160.0,180.0,172.0,206.0,0,0.6214795708656311
27,-Mnd7AvdMAA,4,0,4,33.0,229.0,61.0,261.0,3,0.6173161268234253
28,-Mnd7AvdMAA,4,0,4,98.0,175.0,132.0,205.0,2,0.6138681769371033
29,-Mnd7AvdMAA,4,0,4,212.0,176.0,235.0,198.0,2,0.431184321641922
30,-Mnd7AvdMAA,4,0,5,208.0,139.0,371.0,219.0,5,0.8459866642951965
31,-Mnd7AvdMAA,4,0,5,1.0,181.0,29.0,240.0,0,0.7151210308074951
32,-Mnd7AvdMAA,4,0,5,146.0,163.0,154.0,189.0,0,0.5520472526550293
33,-Mnd7AvdMAA,4,0,6,187.0,97.0,358.0,179.0,5,0.9070056080818176
34,-Mnd7AvdMAA,4,0,6,152.0,122.0,161.0,145.0,0,0.688825786113739
35,-Mnd7AvdMAA,4,0,6,0.0,137.0,15.0,202.0,0,0.6352108716964722
36,-Mnd7AvdMAA,4,0,6,61.0,117.0,92.0,143.0,2,0.5324353575706482
37,-Mnd7AvdMAA,4,0,6,45.0,79.0,57.0,97.0,9,0.40917694568634033
