,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-P37Y1G6oHk,13,0,1,88.0,53.0,540.0,231.0,4,0.8368446230888367
1,-P37Y1G6oHk,13,0,2,88.0,52.0,540.0,231.0,4,0.8459370136260986
2,-P37Y1G6oHk,13,0,3,381.0,70.0,534.0,95.0,4,0.525540292263031
3,-P37Y1G6oHk,13,0,4,2.0,8.0,462.0,333.0,4,0.5677689909934998
4,-P37Y1G6oHk,13,0,5,373.0,129.0,540.0,325.0,4,0.47769632935523987
5,-P37Y1G6oHk,13,0,5,159.0,74.0,432.0,210.0,4,0.40187013149261475
6,-P37Y1G6oHk,13,0,6,282.0,304.0,512.0,353.0,7,0.42289093136787415
7,-P37Y1G6oHk,13,0,7,147.0,308.0,379.0,349.0,7,0.480185866355896
8,-P37Y1G6oHk,13,0,8,14.0,101.0,540.0,343.0,4,0.5361039042472839
9,-P37Y1G6oHk,13,0,9,0.0,105.0,539.0,241.0,4,0.5446600317955017
10,-P37Y1G6oHk,13,0,12,1.0,77.0,533.0,326.0,4,0.4678042232990265
11,-P37Y1G6oHk,13,0,13,12.0,69.0,540.0,271.0,4,0.8196282982826233
12,-P37Y1G6oHk,13,0,14,38.0,82.0,536.0,261.0,4,0.5994700193405151
13,-P37Y1G6oHk,13,0,15,33.0,73.0,532.0,262.0,4,0.6654192805290222
14,-P37Y1G6oHk,13,0,16,21.0,102.0,456.0,265.0,4,0.4379846155643463
15,-P37Y1G6oHk,13,0,17,169.0,276.0,206.0,297.0,7,0.6038621068000793
16,-P37Y1G6oHk,13,0,18,0.0,81.0,511.0,259.0,4,0.43040940165519714
17,-P37Y1G6oHk,13,0,19,252.0,66.0,402.0,102.0,4,0.8207172751426697
18,-P37Y1G6oHk,13,0,19,212.0,129.0,480.0,200.0,4,0.4367978870868683
19,-P37Y1G6oHk,13,1,5,89.0,117.0,394.0,199.0,4,0.8763723969459534
20,-P37Y1G6oHk,13,1,6,105.0,104.0,469.0,203.0,4,0.8178091049194336
21,-P37Y1G6oHk,13,1,7,29.0,89.0,490.0,204.0,4,0.8825459480285645
22,-P37Y1G6oHk,13,1,8,58.0,110.0,513.0,224.0,4,0.847911536693573
23,-P37Y1G6oHk,13,1,9,129.0,115.0,509.0,208.0,4,0.8515075445175171
24,-P37Y1G6oHk,13,1,10,179.0,129.0,491.0,196.0,4,0.8464993834495544
25,-P37Y1G6oHk,13,1,11,158.0,127.0,462.0,197.0,4,0.779853880405426
26,-P37Y1G6oHk,13,1,12,154.0,131.0,424.0,203.0,4,0.5247766971588135
27,-P37Y1G6oHk,13,1,12,149.0,125.0,295.0,191.0,4,0.44767239689826965
28,-P37Y1G6oHk,13,1,12,261.0,150.0,428.0,192.0,4,0.44106343388557434
29,-P37Y1G6oHk,13,1,13,158.0,138.0,379.0,214.0,4,0.7339456081390381
30,-P37Y1G6oHk,13,1,14,161.0,151.0,336.0,207.0,4,0.8561179041862488
31,-P37Y1G6oHk,13,1,15,174.0,151.0,342.0,213.0,4,0.8738366961479187
32,-P37Y1G6oHk,13,1,15,383.0,247.0,446.0,268.0,4,0.4343111217021942
33,-P37Y1G6oHk,13,1,16,92.0,132.0,351.0,213.0,4,0.7770505547523499
34,-P37Y1G6oHk,13,1,17,82.0,92.0,409.0,262.0,4,0.4074408710002899
35,-P37Y1G6oHk,13,1,18,13.0,55.0,531.0,267.0,4,0.5175163149833679
36,-P37Y1G6oHk,13,2,1,0.0,176.0,73.0,217.0,4,0.5727399587631226
37,-P37Y1G6oHk,13,2,2,0.0,175.0,74.0,217.0,4,0.5735281705856323
38,-P37Y1G6oHk,13,2,4,122.0,139.0,334.0,208.0,4,0.641851544380188
39,-P37Y1G6oHk,13,2,6,212.0,178.0,454.0,238.0,4,0.5180220007896423
40,-P37Y1G6oHk,13,2,7,144.0,135.0,466.0,232.0,4,0.5330689549446106
41,-P37Y1G6oHk,13,2,8,163.0,132.0,443.0,224.0,4,0.6718672513961792
42,-P37Y1G6oHk,13,2,9,144.0,116.0,428.0,206.0,4,0.7549386620521545
43,-P37Y1G6oHk,13,2,10,128.0,118.0,402.0,207.0,4,0.8650076389312744
44,-P37Y1G6oHk,13,2,11,117.0,122.0,390.0,213.0,4,0.8090202808380127
45,-P37Y1G6oHk,13,2,12,77.0,94.0,431.0,211.0,4,0.6624796390533447
46,-P37Y1G6oHk,13,2,13,103.0,96.0,429.0,214.0,4,0.6779118776321411
47,-P37Y1G6oHk,13,2,14,95.0,104.0,432.0,217.0,4,0.6776526570320129
48,-P37Y1G6oHk,13,2,15,93.0,105.0,419.0,220.0,4,0.8375689387321472
49,-P37Y1G6oHk,13,2,16,84.0,112.0,431.0,222.0,4,0.6581736207008362
50,-P37Y1G6oHk,13,2,17,101.0,107.0,444.0,228.0,4,0.5798118114471436
51,-P37Y1G6oHk,13,2,18,134.0,133.0,462.0,245.0,4,0.6673786044120789
52,-P37Y1G6oHk,13,2,19,131.0,128.0,435.0,234.0,4,0.7107335329055786
