,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-epz3DTAG3Q,6,0,3,68.0,71.0,172.0,149.0,19,0.4139643609523773
1,-epz3DTAG3Q,6,0,6,344.0,76.0,636.0,357.0,19,0.5777246356010437
2,-epz3DTAG3Q,6,0,9,0.0,12.0,435.0,359.0,0,0.93818598985672
3,-epz3DTAG3Q,6,0,9,367.0,127.0,431.0,209.0,19,0.556445837020874
4,-epz3DTAG3Q,6,0,9,393.0,126.0,473.0,212.0,19,0.5302028656005859
5,-epz3DTAG3Q,6,0,9,532.0,117.0,640.0,213.0,19,0.4381619989871979
6,-epz3DTAG3Q,6,0,10,5.0,11.0,396.0,258.0,0,0.5899120569229126
7,-epz3DTAG3Q,6,0,10,423.0,125.0,512.0,215.0,19,0.5871151089668274
8,-epz3DTAG3Q,6,0,10,369.0,129.0,434.0,209.0,19,0.48117372393608093
9,-epz3DTAG3Q,6,0,10,532.0,116.0,640.0,212.0,19,0.42567718029022217
10,-epz3DTAG3Q,6,0,10,388.0,128.0,471.0,211.0,19,0.40529704093933105
11,-epz3DTAG3Q,6,0,11,4.0,11.0,396.0,253.0,0,0.7289630174636841
12,-epz3DTAG3Q,6,0,11,423.0,125.0,511.0,216.0,19,0.6285921931266785
13,-epz3DTAG3Q,6,0,11,354.0,123.0,442.0,210.0,19,0.5545118451118469
14,-epz3DTAG3Q,6,0,12,431.0,123.0,511.0,213.0,19,0.6264252662658691
15,-epz3DTAG3Q,6,0,12,353.0,124.0,449.0,210.0,19,0.6012067794799805
16,-epz3DTAG3Q,6,0,12,2.0,11.0,403.0,360.0,0,0.5393880605697632
17,-epz3DTAG3Q,6,0,12,526.0,118.0,639.0,214.0,19,0.4320567548274994
18,-epz3DTAG3Q,6,0,13,0.0,13.0,416.0,360.0,0,0.8198016881942749
19,-epz3DTAG3Q,6,0,13,428.0,126.0,509.0,212.0,19,0.5106568932533264
20,-epz3DTAG3Q,6,0,13,360.0,124.0,447.0,209.0,19,0.4685209393501282
21,-epz3DTAG3Q,6,0,14,0.0,12.0,444.0,360.0,0,0.9318948984146118
