,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-feibBZT4Rs,11,0,1,161.0,182.0,202.0,219.0,2,0.5690599679946899
1,-feibBZT4Rs,11,0,1,193.0,178.0,209.0,208.0,2,0.48804834485054016
2,-feibBZT4Rs,11,0,2,164.0,184.0,201.0,219.0,3,0.49813997745513916
3,-feibBZT4Rs,11,0,2,191.0,171.0,209.0,206.0,2,0.4206666052341461
4,-feibBZT4Rs,11,0,3,181.0,142.0,234.0,189.0,3,0.4923568367958069
5,-feibBZT4Rs,11,0,4,106.0,180.0,159.0,229.0,2,0.570713996887207
6,-feibBZT4Rs,11,0,5,91.0,166.0,140.0,226.0,3,0.6009302139282227
7,-feibBZT4Rs,11,0,5,54.0,111.0,129.0,192.0,2,0.4192622900009155
8,-feibBZT4Rs,11,0,6,0.0,82.0,65.0,173.0,2,0.6001251339912415
9,-feibBZT4Rs,11,0,6,43.0,137.0,115.0,222.0,2,0.4276759624481201
10,-feibBZT4Rs,11,0,7,2.0,151.0,114.0,289.0,3,0.6654782295227051
11,-feibBZT4Rs,11,0,7,3.0,93.0,107.0,252.0,0,0.6620330214500427
12,-feibBZT4Rs,11,0,8,0.0,76.0,122.0,302.0,0,0.7929468750953674
13,-feibBZT4Rs,11,0,8,1.0,162.0,157.0,353.0,3,0.7145823240280151
14,-feibBZT4Rs,11,0,10,19.0,37.0,302.0,354.0,0,0.7570178508758545
15,-feibBZT4Rs,11,0,12,419.0,132.0,480.0,277.0,2,0.5489675998687744
16,-feibBZT4Rs,11,0,12,285.0,44.0,407.0,346.0,0,0.4082861542701721
17,-feibBZT4Rs,11,0,13,360.0,103.0,480.0,250.0,7,0.6930149793624878
18,-feibBZT4Rs,11,0,13,246.0,41.0,389.0,335.0,0,0.5112706422805786
19,-feibBZT4Rs,11,0,14,404.0,142.0,424.0,167.0,2,0.7890347242355347
20,-feibBZT4Rs,11,0,14,177.0,60.0,309.0,277.0,0,0.7684699892997742
21,-feibBZT4Rs,11,0,14,274.0,95.0,377.0,219.0,7,0.7621915936470032
22,-feibBZT4Rs,11,0,14,69.0,87.0,297.0,327.0,3,0.7353346347808838
23,-feibBZT4Rs,11,0,14,372.0,123.0,408.0,184.0,2,0.7112413048744202
24,-feibBZT4Rs,11,0,14,421.0,143.0,437.0,162.0,2,0.6408266425132751
25,-feibBZT4Rs,11,0,14,445.0,146.0,466.0,174.0,2,0.4965375065803528
26,-feibBZT4Rs,11,0,15,52.0,76.0,265.0,294.0,3,0.7840291857719421
27,-feibBZT4Rs,11,0,15,161.0,50.0,276.0,247.0,0,0.7782074213027954
28,-feibBZT4Rs,11,0,15,365.0,116.0,390.0,148.0,2,0.7321568727493286
29,-feibBZT4Rs,11,0,15,335.0,98.0,371.0,164.0,2,0.6940699219703674
30,-feibBZT4Rs,11,0,15,388.0,121.0,401.0,138.0,2,0.6829337477684021
31,-feibBZT4Rs,11,0,15,241.0,76.0,345.0,195.0,7,0.6583683490753174
32,-feibBZT4Rs,11,0,15,421.0,39.0,480.0,185.0,7,0.5465633869171143
33,-feibBZT4Rs,11,0,16,153.0,46.0,265.0,246.0,0,0.8621051907539368
34,-feibBZT4Rs,11,0,16,37.0,73.0,264.0,287.0,3,0.7209047079086304
35,-feibBZT4Rs,11,0,16,382.0,126.0,395.0,141.0,2,0.7003035545349121
36,-feibBZT4Rs,11,0,16,234.0,76.0,337.0,196.0,7,0.68792325258255
37,-feibBZT4Rs,11,0,16,361.0,118.0,383.0,153.0,2,0.651216983795166
38,-feibBZT4Rs,11,0,16,330.0,96.0,366.0,168.0,7,0.5108678340911865
39,-feibBZT4Rs,11,0,16,2.0,131.0,98.0,170.0,2,0.48408371210098267
40,-feibBZT4Rs,11,0,16,403.0,126.0,425.0,157.0,2,0.4838879704475403
41,-feibBZT4Rs,11,0,17,152.0,50.0,268.0,261.0,0,0.8304468989372253
42,-feibBZT4Rs,11,0,17,38.0,78.0,266.0,295.0,3,0.8270922899246216
43,-feibBZT4Rs,11,0,17,334.0,131.0,368.0,175.0,2,0.7929778695106506
44,-feibBZT4Rs,11,0,17,381.0,131.0,397.0,148.0,2,0.7736362218856812
45,-feibBZT4Rs,11,0,17,235.0,83.0,339.0,202.0,7,0.7313621640205383
46,-feibBZT4Rs,11,0,17,359.0,125.0,382.0,158.0,2,0.5864127278327942
47,-feibBZT4Rs,11,0,17,404.0,134.0,420.0,160.0,2,0.5277590751647949
48,-feibBZT4Rs,11,0,17,423.0,51.0,480.0,199.0,7,0.5138434767723083
49,-feibBZT4Rs,11,0,18,41.0,96.0,271.0,314.0,3,0.7950950860977173
50,-feibBZT4Rs,11,0,18,149.0,66.0,270.0,269.0,0,0.7792636156082153
51,-feibBZT4Rs,11,0,18,366.0,140.0,384.0,172.0,2,0.6541269421577454
52,-feibBZT4Rs,11,0,18,381.0,139.0,399.0,159.0,2,0.6339512467384338
53,-feibBZT4Rs,11,0,18,238.0,95.0,342.0,215.0,7,0.5651581883430481
54,-feibBZT4Rs,11,0,18,333.0,109.0,371.0,185.0,2,0.4736970365047455
55,-feibBZT4Rs,11,0,18,420.0,53.0,480.0,206.0,7,0.47271421551704407
56,-feibBZT4Rs,11,0,18,333.0,110.0,370.0,185.0,7,0.46445226669311523
57,-feibBZT4Rs,11,0,19,56.0,109.0,261.0,325.0,3,0.8253195285797119
58,-feibBZT4Rs,11,0,19,154.0,77.0,274.0,275.0,0,0.8037647604942322
59,-feibBZT4Rs,11,0,19,241.0,103.0,346.0,219.0,7,0.7143135666847229
60,-feibBZT4Rs,11,0,19,335.0,121.0,373.0,189.0,2,0.6001662015914917
61,-feibBZT4Rs,11,0,19,365.0,132.0,387.0,177.0,2,0.5933299660682678
62,-feibBZT4Rs,11,0,19,382.0,145.0,399.0,166.0,2,0.5300242900848389
