,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-knUvATryNo,0,0,1,175.0,60.0,320.0,196.0,0,0.4661657512187958
1,-knUvATryNo,0,0,1,20.0,46.0,64.0,142.0,0,0.4636741578578949
2,-knUvATryNo,0,0,2,171.0,38.0,320.0,198.0,0,0.526764988899231
3,-knUvATryNo,0,0,3,235.0,140.0,291.0,208.0,0,0.679484486579895
4,-knUvATryNo,0,0,3,83.0,48.0,237.0,211.0,0,0.5769063830375671
5,-knUvATryNo,0,0,3,29.0,132.0,92.0,208.0,0,0.5693756341934204
6,-knUvATryNo,0,0,3,45.0,177.0,91.0,211.0,0,0.5498281121253967
7,-knUvATryNo,0,0,4,150.0,55.0,198.0,137.0,0,0.7261459231376648
8,-knUvATryNo,0,0,4,89.0,135.0,128.0,210.0,0,0.5362829566001892
9,-knUvATryNo,0,0,5,29.0,164.0,72.0,208.0,0,0.8160003423690796
10,-knUvATryNo,0,0,5,87.0,46.0,185.0,212.0,0,0.8150942921638489
11,-knUvATryNo,0,0,5,174.0,141.0,212.0,209.0,0,0.7245755195617676
12,-knUvATryNo,0,0,5,65.0,164.0,101.0,208.0,0,0.7034276723861694
13,-knUvATryNo,0,0,5,224.0,150.0,265.0,209.0,0,0.7026768326759338
14,-knUvATryNo,0,0,5,25.0,146.0,55.0,196.0,0,0.6103119254112244
15,-knUvATryNo,0,0,5,60.0,144.0,80.0,177.0,0,0.45155468583106995
16,-knUvATryNo,0,0,5,274.0,127.0,314.0,184.0,0,0.44752365350723267
17,-knUvATryNo,0,0,6,66.0,46.0,155.0,210.0,0,0.768094539642334
18,-knUvATryNo,0,0,6,6.0,122.0,44.0,159.0,0,0.6360567212104797
19,-knUvATryNo,0,0,6,160.0,99.0,204.0,152.0,0,0.44986018538475037
20,-knUvATryNo,0,0,6,17.0,123.0,98.0,208.0,0,0.4470660090446472
21,-knUvATryNo,0,0,7,208.0,111.0,255.0,178.0,0,0.5500617027282715
22,-knUvATryNo,0,0,7,107.0,54.0,157.0,208.0,0,0.4866145849227905
23,-knUvATryNo,0,0,7,251.0,152.0,282.0,209.0,0,0.474353164434433
24,-knUvATryNo,0,0,7,122.0,43.0,213.0,214.0,0,0.41147831082344055
25,-knUvATryNo,0,0,8,51.0,149.0,111.0,210.0,0,0.6261177062988281
26,-knUvATryNo,0,0,8,112.0,39.0,229.0,210.0,0,0.621104896068573
27,-knUvATryNo,0,0,9,35.0,152.0,88.0,209.0,0,0.7734967470169067
28,-knUvATryNo,0,0,9,82.0,31.0,257.0,218.0,0,0.6027176380157471
29,-knUvATryNo,0,0,9,0.0,120.0,44.0,208.0,0,0.5295236110687256
30,-knUvATryNo,0,0,9,29.0,115.0,57.0,166.0,0,0.40632107853889465
31,-knUvATryNo,0,0,10,33.0,125.0,92.0,206.0,0,0.52226322889328
32,-knUvATryNo,0,0,10,269.0,125.0,320.0,205.0,0,0.47127804160118103
33,-knUvATryNo,0,0,11,112.0,51.0,186.0,170.0,0,0.7291820645332336
34,-knUvATryNo,0,0,11,79.0,105.0,134.0,182.0,0,0.707063615322113
35,-knUvATryNo,0,0,11,213.0,105.0,250.0,177.0,0,0.6568602323532104
36,-knUvATryNo,0,0,11,288.0,105.0,307.0,145.0,0,0.5600703954696655
37,-knUvATryNo,0,0,11,185.0,96.0,220.0,187.0,0,0.5043300986289978
38,-knUvATryNo,0,0,11,15.0,122.0,70.0,207.0,0,0.43622756004333496
39,-knUvATryNo,0,0,12,121.0,70.0,181.0,133.0,8,0.5016437768936157
40,-knUvATryNo,0,0,13,118.0,74.0,186.0,169.0,0,0.7387475967407227
41,-knUvATryNo,0,0,13,123.0,152.0,187.0,174.0,36,0.6273353695869446
42,-knUvATryNo,0,0,14,56.0,75.0,129.0,151.0,14,0.537351131439209
43,-knUvATryNo,0,0,14,119.0,35.0,185.0,99.0,0,0.4038879871368408
44,-knUvATryNo,0,0,15,171.0,125.0,190.0,137.0,2,0.66031414270401
45,-knUvATryNo,0,0,18,71.0,35.0,241.0,221.0,0,0.7069437503814697
46,-knUvATryNo,0,0,19,48.0,175.0,79.0,208.0,0,0.6187687516212463
47,-knUvATryNo,0,0,19,28.0,143.0,61.0,189.0,0,0.5275848507881165
48,-knUvATryNo,0,0,19,17.0,171.0,52.0,208.0,0,0.47466373443603516
49,-knUvATryNo,0,0,19,272.0,135.0,306.0,194.0,0,0.47190749645233154
50,-knUvATryNo,0,0,19,126.0,48.0,259.0,210.0,0,0.4620610773563385
51,-knUvATryNo,0,1,2,0.0,71.0,85.0,211.0,0,0.46851709485054016
52,-knUvATryNo,0,1,3,61.0,97.0,111.0,209.0,0,0.7016559839248657
53,-knUvATryNo,0,1,3,119.0,121.0,194.0,207.0,0,0.5149043798446655
54,-knUvATryNo,0,1,3,5.0,137.0,72.0,209.0,0,0.4844174087047577
55,-knUvATryNo,0,1,3,212.0,84.0,281.0,207.0,0,0.41862261295318604
56,-knUvATryNo,0,1,4,0.0,164.0,38.0,209.0,0,0.7777003049850464
57,-knUvATryNo,0,1,4,74.0,88.0,112.0,159.0,0,0.5882343649864197
