,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-l9NS6DuRPI,0,0,1,82.0,103.0,152.0,186.0,0,0.716918408870697
1,-l9NS6DuRPI,0,0,1,33.0,108.0,65.0,130.0,9,0.577518880367279
2,-l9NS6DuRPI,0,0,1,80.0,172.0,164.0,190.0,31,0.41517746448516846
3,-l9NS6DuRPI,0,0,2,81.0,105.0,151.0,186.0,0,0.7220181822776794
4,-l9NS6DuRPI,0,0,2,33.0,108.0,64.0,132.0,9,0.5353316068649292
5,-l9NS6DuRPI,0,0,3,56.0,100.0,153.0,174.0,0,0.7169145345687866
6,-l9NS6DuRPI,0,0,3,92.0,159.0,155.0,176.0,30,0.4405005872249603
7,-l9NS6DuRPI,0,0,4,64.0,53.0,164.0,130.0,0,0.560571551322937
8,-l9NS6DuRPI,0,0,4,68.0,116.0,110.0,130.0,30,0.4621485471725464
9,-l9NS6DuRPI,0,0,5,81.0,90.0,199.0,170.0,0,0.5607403516769409
10,-l9NS6DuRPI,0,0,6,84.0,51.0,201.0,151.0,0,0.7699167132377625
11,-l9NS6DuRPI,0,0,7,118.0,76.0,219.0,170.0,0,0.8698145747184753
12,-l9NS6DuRPI,0,0,8,102.0,50.0,229.0,172.0,0,0.8879748582839966
13,-l9NS6DuRPI,0,0,9,98.0,65.0,199.0,185.0,0,0.8945652842521667
14,-l9NS6DuRPI,0,0,10,32.0,77.0,159.0,178.0,0,0.7457093000411987
15,-l9NS6DuRPI,0,0,12,52.0,114.0,143.0,173.0,0,0.7336762547492981
16,-l9NS6DuRPI,0,0,13,153.0,132.0,252.0,204.0,0,0.7415742874145508
17,-l9NS6DuRPI,0,0,13,208.0,186.0,254.0,206.0,30,0.4564497470855713
18,-l9NS6DuRPI,0,0,14,50.0,126.0,154.0,185.0,0,0.610041081905365
19,-l9NS6DuRPI,0,0,15,90.0,100.0,195.0,188.0,0,0.8024510145187378
20,-l9NS6DuRPI,0,0,15,110.0,172.0,212.0,193.0,30,0.48988959193229675
21,-l9NS6DuRPI,0,0,16,86.0,86.0,187.0,198.0,0,0.9014997482299805
22,-l9NS6DuRPI,0,0,16,188.0,153.0,218.0,193.0,30,0.5923581719398499
23,-l9NS6DuRPI,0,0,16,59.0,183.0,168.0,202.0,30,0.4234485924243927
24,-l9NS6DuRPI,0,0,17,127.0,99.0,192.0,179.0,0,0.8384659290313721
25,-l9NS6DuRPI,0,0,17,124.0,171.0,203.0,183.0,30,0.43430161476135254
