,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-nzXunuZac4,7,0,6,0.0,71.0,298.0,236.0,15,0.5701507329940796
1,-nzXunuZac4,7,0,7,98.0,25.0,314.0,188.0,0,0.6112028360366821
2,-nzXunuZac4,7,0,8,180.0,2.0,364.0,156.0,0,0.43151864409446716
3,-nzXunuZac4,7,0,9,169.0,41.0,369.0,216.0,15,0.4737370014190674
4,-nzXunuZac4,7,0,9,169.0,42.0,367.0,210.0,16,0.4086456596851349
5,-nzXunuZac4,7,0,10,162.0,47.0,361.0,221.0,15,0.789316713809967
6,-nzXunuZac4,7,0,11,97.0,65.0,367.0,227.0,16,0.49139443039894104
7,-nzXunuZac4,7,0,12,93.0,24.0,355.0,212.0,15,0.4158230721950531
8,-nzXunuZac4,7,0,13,97.0,27.0,370.0,199.0,16,0.6642111539840698
9,-nzXunuZac4,7,0,14,238.0,1.0,474.0,208.0,16,0.40135738253593445
10,-nzXunuZac4,7,0,15,205.0,28.0,457.0,212.0,16,0.7511069774627686
11,-nzXunuZac4,7,0,17,314.0,32.0,490.0,201.0,16,0.5453513860702515
12,-nzXunuZac4,7,0,18,308.0,19.0,540.0,202.0,16,0.8118084073066711
