,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-olDHsjEFr8,11,0,1,267.0,142.0,322.0,199.0,3,0.6616004705429077
1,-olDHsjEFr8,11,0,1,269.0,106.0,313.0,182.0,0,0.6284298896789551
2,-olDHsjEFr8,11,0,2,267.0,143.0,322.0,199.0,3,0.6674216389656067
3,-olDHsjEFr8,11,0,2,270.0,106.0,310.0,182.0,0,0.6576755046844482
4,-olDHsjEFr8,11,0,3,281.0,128.0,341.0,229.0,0,0.7094529271125793
5,-olDHsjEFr8,11,0,3,276.0,182.0,331.0,248.0,3,0.5799069404602051
6,-olDHsjEFr8,11,0,4,259.0,103.0,331.0,221.0,0,0.8266721367835999
7,-olDHsjEFr8,11,0,4,250.0,169.0,330.0,254.0,3,0.6056345701217651
8,-olDHsjEFr8,11,0,5,226.0,162.0,320.0,271.0,3,0.6985496282577515
9,-olDHsjEFr8,11,0,5,234.0,101.0,316.0,227.0,0,0.6686217784881592
10,-olDHsjEFr8,11,0,6,233.0,90.0,338.0,253.0,0,0.5584744215011597
11,-olDHsjEFr8,11,0,6,433.0,101.0,451.0,124.0,3,0.4740982949733734
12,-olDHsjEFr8,11,0,7,208.0,80.0,367.0,309.0,0,0.7534403204917908
13,-olDHsjEFr8,11,0,8,0.0,93.0,276.0,356.0,0,0.42908263206481934
14,-olDHsjEFr8,11,0,9,299.0,147.0,312.0,163.0,3,0.4058859646320343
15,-olDHsjEFr8,11,0,10,314.0,112.0,334.0,140.0,3,0.4442322552204132
16,-olDHsjEFr8,11,0,11,427.0,98.0,444.0,126.0,0,0.7328864932060242
17,-olDHsjEFr8,11,0,11,338.0,123.0,358.0,148.0,3,0.5995765924453735
18,-olDHsjEFr8,11,0,11,427.0,101.0,444.0,127.0,3,0.5070886015892029
19,-olDHsjEFr8,11,0,11,353.0,107.0,368.0,127.0,0,0.4287387728691101
20,-olDHsjEFr8,11,0,12,317.0,127.0,343.0,158.0,3,0.6248685121536255
21,-olDHsjEFr8,11,0,12,390.0,105.0,401.0,125.0,3,0.5667329430580139
22,-olDHsjEFr8,11,0,12,339.0,109.0,353.0,130.0,0,0.5040896534919739
23,-olDHsjEFr8,11,0,12,318.0,108.0,343.0,149.0,0,0.5025326013565063
24,-olDHsjEFr8,11,0,12,390.0,103.0,401.0,124.0,0,0.409885436296463
25,-olDHsjEFr8,11,0,13,288.0,105.0,317.0,159.0,0,0.6354581117630005
26,-olDHsjEFr8,11,0,13,290.0,130.0,312.0,169.0,3,0.595970869064331
27,-olDHsjEFr8,11,0,13,342.0,113.0,357.0,132.0,3,0.5329071283340454
28,-olDHsjEFr8,11,0,13,383.0,110.0,392.0,125.0,0,0.5049411654472351
29,-olDHsjEFr8,11,0,13,383.0,110.0,392.0,126.0,3,0.46464142203330994
30,-olDHsjEFr8,11,0,13,337.0,110.0,343.0,121.0,0,0.41806724667549133
31,-olDHsjEFr8,11,0,14,282.0,135.0,321.0,196.0,0,0.6697818040847778
32,-olDHsjEFr8,11,0,14,285.0,165.0,317.0,212.0,3,0.6503363847732544
33,-olDHsjEFr8,11,0,14,367.0,146.0,381.0,164.0,3,0.5258029103279114
34,-olDHsjEFr8,11,0,15,288.0,134.0,346.0,199.0,3,0.6512787342071533
35,-olDHsjEFr8,11,0,15,380.0,114.0,396.0,136.0,3,0.5950130224227905
36,-olDHsjEFr8,11,0,15,289.0,107.0,335.0,177.0,0,0.5689488053321838
37,-olDHsjEFr8,11,0,15,414.0,112.0,422.0,125.0,0,0.4338419735431671
38,-olDHsjEFr8,11,0,16,267.0,123.0,342.0,251.0,0,0.7391785979270935
39,-olDHsjEFr8,11,0,17,331.0,134.0,444.0,290.0,0,0.6783926486968994
40,-olDHsjEFr8,11,0,17,320.0,190.0,462.0,328.0,3,0.4212750196456909
41,-olDHsjEFr8,11,0,18,205.0,115.0,356.0,308.0,0,0.569662868976593
42,-olDHsjEFr8,11,0,18,159.0,179.0,442.0,358.0,3,0.4877032935619354
43,-olDHsjEFr8,11,0,19,165.0,72.0,424.0,360.0,0,0.6598243117332458
44,-olDHsjEFr8,11,1,1,308.0,127.0,368.0,213.0,0,0.6389178037643433
45,-olDHsjEFr8,11,1,1,299.0,153.0,371.0,231.0,3,0.608369767665863
46,-olDHsjEFr8,11,1,2,308.0,128.0,369.0,212.0,0,0.6778531670570374
47,-olDHsjEFr8,11,1,2,299.0,158.0,370.0,230.0,3,0.5914308428764343
48,-olDHsjEFr8,11,1,3,231.0,119.0,302.0,216.0,0,0.6934798359870911
49,-olDHsjEFr8,11,1,3,215.0,139.0,302.0,247.0,3,0.5979307293891907
50,-olDHsjEFr8,11,1,4,207.0,107.0,292.0,220.0,0,0.7820882797241211
51,-olDHsjEFr8,11,1,4,448.0,109.0,466.0,127.0,2,0.7505782246589661
52,-olDHsjEFr8,11,1,4,184.0,163.0,328.0,263.0,3,0.6477432250976562
53,-olDHsjEFr8,11,1,4,459.0,104.0,480.0,149.0,2,0.4744266867637634
54,-olDHsjEFr8,11,1,4,355.0,110.0,363.0,123.0,3,0.4028984010219574
55,-olDHsjEFr8,11,1,5,254.0,138.0,353.0,264.0,0,0.8215442299842834
56,-olDHsjEFr8,11,1,5,230.0,210.0,333.0,313.0,3,0.6048176288604736
57,-olDHsjEFr8,11,1,6,223.0,83.0,331.0,233.0,0,0.8079562187194824
58,-olDHsjEFr8,11,1,6,193.0,128.0,347.0,283.0,3,0.52532958984375
59,-olDHsjEFr8,11,1,7,244.0,126.0,365.0,292.0,0,0.5844377875328064
60,-olDHsjEFr8,11,1,7,203.0,231.0,345.0,351.0,3,0.43965333700180054
61,-olDHsjEFr8,11,1,8,206.0,123.0,360.0,319.0,0,0.6873012781143188
62,-olDHsjEFr8,11,1,12,311.0,111.0,365.0,211.0,3,0.5880535244941711
63,-olDHsjEFr8,11,1,13,369.0,131.0,475.0,285.0,0,0.7918702363967896
64,-olDHsjEFr8,11,1,13,361.0,174.0,479.0,340.0,3,0.5594617128372192
65,-olDHsjEFr8,11,1,14,236.0,52.0,479.0,356.0,0,0.7227551341056824
66,-olDHsjEFr8,11,1,16,350.0,168.0,368.0,186.0,3,0.4245484471321106
67,-olDHsjEFr8,11,1,16,391.0,154.0,407.0,180.0,0,0.42070838809013367
68,-olDHsjEFr8,11,1,17,332.0,130.0,352.0,158.0,0,0.6014708876609802
69,-olDHsjEFr8,11,1,17,286.0,150.0,306.0,171.0,3,0.5474565029144287
70,-olDHsjEFr8,11,1,17,284.0,131.0,302.0,164.0,0,0.540696382522583
71,-olDHsjEFr8,11,1,17,434.0,128.0,465.0,171.0,0,0.4030534625053406
72,-olDHsjEFr8,11,1,18,289.0,138.0,317.0,177.0,3,0.6030687093734741
73,-olDHsjEFr8,11,1,18,456.0,129.0,480.0,155.0,2,0.581015408039093
74,-olDHsjEFr8,11,1,18,430.0,143.0,451.0,172.0,3,0.5669592022895813
75,-olDHsjEFr8,11,1,18,430.0,134.0,451.0,165.0,0,0.5070739388465881
76,-olDHsjEFr8,11,1,18,290.0,130.0,317.0,175.0,0,0.43104031682014465
77,-olDHsjEFr8,11,1,18,358.0,145.0,370.0,164.0,3,0.4114771783351898
78,-olDHsjEFr8,11,1,18,30.0,169.0,164.0,353.0,10,0.4053420424461365
79,-olDHsjEFr8,11,1,19,249.0,111.0,285.0,170.0,0,0.6192683577537537
80,-olDHsjEFr8,11,1,19,253.0,142.0,286.0,177.0,3,0.6158604621887207
81,-olDHsjEFr8,11,1,19,438.0,119.0,459.0,139.0,2,0.5001555681228638
82,-olDHsjEFr8,11,1,19,413.0,130.0,430.0,150.0,3,0.4976195693016052
