,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-s1H2bExMNE,23,0,2,6.0,85.0,421.0,295.0,3,0.4161769449710846
1,-s1H2bExMNE,23,0,3,433.0,94.0,480.0,145.0,62,0.4007163643836975
2,-s1H2bExMNE,23,0,4,9.0,47.0,389.0,224.0,3,0.42325398325920105
3,-s1H2bExMNE,23,0,5,2.0,52.0,300.0,225.0,3,0.49779921770095825
4,-s1H2bExMNE,23,0,6,10.0,67.0,328.0,275.0,3,0.55136638879776
5,-s1H2bExMNE,23,0,9,0.0,63.0,189.0,312.0,7,0.4041353464126587
6,-s1H2bExMNE,23,0,10,0.0,44.0,205.0,273.0,7,0.5582646131515503
7,-s1H2bExMNE,23,0,11,0.0,50.0,114.0,202.0,7,0.4356265664100647
8,-s1H2bExMNE,23,0,14,8.0,11.0,477.0,333.0,3,0.6262017488479614
9,-s1H2bExMNE,23,0,15,0.0,10.0,476.0,330.0,3,0.5603804588317871
10,-s1H2bExMNE,23,0,16,16.0,11.0,478.0,305.0,3,0.49233144521713257
11,-s1H2bExMNE,23,0,17,7.0,11.0,476.0,315.0,3,0.5100260972976685
12,-s1H2bExMNE,23,0,18,10.0,6.0,480.0,328.0,3,0.593306303024292
13,-s1H2bExMNE,23,0,19,58.0,7.0,480.0,326.0,3,0.41450729966163635
