,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-uGipczmuYE,8,0,1,13.0,82.0,117.0,238.0,0,0.8927244544029236
1,-uGipczmuYE,8,0,1,158.0,64.0,308.0,232.0,0,0.8768086433410645
2,-uGipczmuYE,8,0,2,14.0,82.0,116.0,239.0,0,0.8882269263267517
3,-uGipczmuYE,8,0,2,158.0,65.0,308.0,232.0,0,0.8862902522087097
4,-uGipczmuYE,8,0,3,160.0,59.0,309.0,236.0,0,0.9074667692184448
5,-uGipczmuYE,8,0,3,14.0,83.0,117.0,237.0,0,0.8923866748809814
6,-uGipczmuYE,8,0,8,192.0,97.0,313.0,236.0,0,0.8871262073516846
7,-uGipczmuYE,8,0,8,27.0,105.0,109.0,236.0,0,0.7648558616638184
8,-uGipczmuYE,8,0,10,101.0,83.0,208.0,193.0,23,0.8171281218528748
9,-uGipczmuYE,8,0,11,108.0,100.0,194.0,202.0,17,0.49041444063186646
10,-uGipczmuYE,8,0,12,110.0,72.0,203.0,196.0,16,0.4938910901546478
11,-uGipczmuYE,8,0,13,224.0,107.0,287.0,144.0,2,0.5029041171073914
12,-uGipczmuYE,8,0,15,65.0,44.0,298.0,236.0,0,0.7089371681213379
13,-uGipczmuYE,8,0,16,62.0,70.0,182.0,207.0,23,0.6620516180992126
14,-uGipczmuYE,8,0,16,160.0,183.0,213.0,226.0,19,0.4906766712665558
15,-uGipczmuYE,8,0,17,245.0,176.0,314.0,236.0,19,0.5653942227363586
16,-uGipczmuYE,8,0,17,84.0,63.0,193.0,212.0,23,0.5106465816497803
17,-uGipczmuYE,8,0,19,77.0,33.0,298.0,236.0,0,0.7235018014907837
18,-uGipczmuYE,8,0,19,4.0,173.0,114.0,236.0,0,0.5352911353111267
19,-uGipczmuYE,8,0,19,3.0,50.0,129.0,235.0,0,0.4288288354873657
