,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-uP01llwXFY,3,0,3,274.0,144.0,294.0,186.0,0,0.49809420108795166
1,-uP01llwXFY,3,0,4,161.0,172.0,231.0,204.0,8,0.6339815258979797
2,-uP01llwXFY,3,0,5,194.0,152.0,210.0,169.0,0,0.5754972100257874
3,-uP01llwXFY,3,0,5,164.0,156.0,227.0,182.0,8,0.45133712887763977
4,-uP01llwXFY,3,0,7,283.0,200.0,328.0,222.0,8,0.6381378173828125
5,-uP01llwXFY,3,0,7,114.0,188.0,183.0,210.0,8,0.5202652812004089
6,-uP01llwXFY,3,0,8,62.0,184.0,109.0,209.0,8,0.6289801597595215
7,-uP01llwXFY,3,0,8,364.0,187.0,393.0,199.0,8,0.550369381904602
8,-uP01llwXFY,3,0,8,413.0,172.0,480.0,204.0,8,0.435993492603302
9,-uP01llwXFY,3,0,9,276.0,198.0,305.0,208.0,8,0.5940537452697754
10,-uP01llwXFY,3,0,9,185.0,197.0,225.0,208.0,8,0.5548425316810608
11,-uP01llwXFY,3,0,9,32.0,195.0,63.0,207.0,8,0.42648524045944214
12,-uP01llwXFY,3,0,10,165.0,179.0,199.0,189.0,8,0.5666871070861816
13,-uP01llwXFY,3,0,11,177.0,176.0,213.0,186.0,8,0.5857556462287903
14,-uP01llwXFY,3,0,11,265.0,176.0,296.0,189.0,8,0.42841142416000366
15,-uP01llwXFY,3,0,12,153.0,167.0,191.0,177.0,8,0.583809494972229
16,-uP01llwXFY,3,0,12,245.0,166.0,275.0,178.0,8,0.5446622371673584
17,-uP01llwXFY,3,0,12,1.0,166.0,32.0,178.0,8,0.4229053258895874
18,-uP01llwXFY,3,0,13,228.0,170.0,257.0,182.0,8,0.4816972315311432
19,-uP01llwXFY,3,0,13,137.0,170.0,175.0,181.0,8,0.4152663052082062
20,-uP01llwXFY,3,0,14,114.0,162.0,153.0,172.0,8,0.6008456945419312
21,-uP01llwXFY,3,0,14,207.0,161.0,242.0,173.0,8,0.5344346165657043
22,-uP01llwXFY,3,0,15,63.0,159.0,104.0,171.0,8,0.40605631470680237
23,-uP01llwXFY,3,0,16,0.0,165.0,31.0,175.0,8,0.4821767508983612
24,-uP01llwXFY,3,1,1,265.0,153.0,290.0,171.0,8,0.6868473291397095
25,-uP01llwXFY,3,1,2,265.0,152.0,290.0,171.0,8,0.6232404112815857
26,-uP01llwXFY,3,1,3,426.0,147.0,456.0,165.0,8,0.5541714429855347
27,-uP01llwXFY,3,1,3,232.0,138.0,311.0,164.0,8,0.476560115814209
28,-uP01llwXFY,3,1,3,82.0,150.0,173.0,172.0,8,0.46348562836647034
29,-uP01llwXFY,3,1,3,0.0,151.0,21.0,165.0,8,0.4090835750102997
30,-uP01llwXFY,3,1,4,158.0,127.0,245.0,152.0,8,0.6758045554161072
31,-uP01llwXFY,3,1,5,94.0,149.0,180.0,172.0,8,0.6412009596824646
32,-uP01llwXFY,3,1,5,426.0,137.0,455.0,153.0,8,0.6077075600624084
33,-uP01llwXFY,3,1,6,3.0,186.0,96.0,205.0,8,0.6198949813842773
34,-uP01llwXFY,3,1,6,334.0,168.0,362.0,187.0,8,0.4727867841720581
35,-uP01llwXFY,3,1,7,283.0,149.0,311.0,167.0,8,0.6212044358253479
36,-uP01llwXFY,3,1,7,383.0,159.0,409.0,168.0,8,0.5073243379592896
37,-uP01llwXFY,3,1,7,0.0,160.0,45.0,181.0,8,0.4989127218723297
38,-uP01llwXFY,3,1,8,258.0,149.0,288.0,166.0,8,0.5781288743019104
39,-uP01llwXFY,3,1,8,168.0,159.0,232.0,179.0,8,0.46157658100128174
40,-uP01llwXFY,3,1,8,359.0,156.0,385.0,166.0,8,0.46007218956947327
41,-uP01llwXFY,3,1,8,0.0,153.0,29.0,181.0,8,0.42830654978752136
42,-uP01llwXFY,3,1,9,162.0,165.0,239.0,187.0,8,0.4088398814201355
43,-uP01llwXFY,3,1,10,154.0,167.0,248.0,192.0,8,0.4143220782279968
44,-uP01llwXFY,3,1,11,170.0,175.0,271.0,207.0,8,0.7145522236824036
45,-uP01llwXFY,3,1,12,99.0,149.0,127.0,169.0,8,0.6783350706100464
46,-uP01llwXFY,3,1,12,147.0,165.0,282.0,193.0,8,0.6368537545204163
47,-uP01llwXFY,3,1,12,177.0,161.0,189.0,175.0,0,0.47193968296051025
48,-uP01llwXFY,3,1,13,128.0,153.0,294.0,184.0,8,0.6842917203903198
49,-uP01llwXFY,3,1,13,17.0,136.0,47.0,154.0,8,0.5617873072624207
50,-uP01llwXFY,3,1,13,167.0,145.0,182.0,162.0,0,0.41209879517555237
51,-uP01llwXFY,3,1,14,22.0,135.0,47.0,144.0,8,0.46767789125442505
52,-uP01llwXFY,3,1,14,181.0,143.0,197.0,160.0,0,0.45378807187080383
53,-uP01llwXFY,3,1,14,103.0,148.0,315.0,192.0,8,0.45272815227508545
54,-uP01llwXFY,3,1,14,158.0,143.0,177.0,163.0,0,0.41592347621917725
55,-uP01llwXFY,3,1,15,69.0,138.0,308.0,184.0,8,0.6467035412788391
56,-uP01llwXFY,3,1,15,153.0,132.0,180.0,159.0,0,0.4999840259552002
57,-uP01llwXFY,3,1,15,141.0,134.0,163.0,161.0,0,0.4847192168235779
58,-uP01llwXFY,3,1,16,177.0,134.0,209.0,163.0,0,0.6898173093795776
59,-uP01llwXFY,3,1,16,97.0,143.0,335.0,186.0,8,0.4426690936088562
60,-uP01llwXFY,3,1,17,165.0,153.0,347.0,192.0,8,0.6695493459701538
61,-uP01llwXFY,3,1,17,211.0,142.0,231.0,170.0,0,0.5785759091377258
62,-uP01llwXFY,3,1,18,264.0,148.0,287.0,175.0,0,0.5899098515510559
63,-uP01llwXFY,3,1,18,200.0,154.0,385.0,195.0,8,0.4024106562137604
64,-uP01llwXFY,3,1,19,329.0,142.0,345.0,167.0,0,0.6996475458145142
65,-uP01llwXFY,3,1,19,368.0,148.0,384.0,161.0,0,0.5353692173957825
66,-uP01llwXFY,3,1,19,271.0,148.0,433.0,185.0,8,0.4816356301307678
67,-uP01llwXFY,3,2,1,0.0,162.0,27.0,178.0,8,0.5947603583335876
68,-uP01llwXFY,3,2,2,0.0,161.0,27.0,178.0,8,0.6059674024581909
69,-uP01llwXFY,3,2,2,258.0,159.0,371.0,180.0,8,0.40536147356033325
70,-uP01llwXFY,3,2,3,268.0,150.0,352.0,173.0,8,0.5592705607414246
71,-uP01llwXFY,3,2,4,237.0,150.0,334.0,175.0,8,0.5038566589355469
72,-uP01llwXFY,3,2,5,220.0,164.0,314.0,181.0,8,0.5239306092262268
73,-uP01llwXFY,3,2,6,176.0,160.0,283.0,180.0,8,0.48006072640419006
74,-uP01llwXFY,3,2,10,255.0,160.0,364.0,182.0,8,0.5573754906654358
75,-uP01llwXFY,3,2,11,346.0,147.0,359.0,163.0,0,0.5412585139274597
76,-uP01llwXFY,3,2,11,317.0,149.0,425.0,175.0,8,0.4362238347530365
77,-uP01llwXFY,3,2,12,5.0,178.0,63.0,192.0,8,0.6555114388465881
78,-uP01llwXFY,3,2,13,0.0,159.0,67.0,181.0,8,0.6507721543312073
79,-uP01llwXFY,3,2,13,202.0,126.0,249.0,139.0,8,0.4796830117702484
80,-uP01llwXFY,3,2,14,0.0,172.0,36.0,190.0,8,0.5151671171188354
81,-uP01llwXFY,3,2,15,103.0,153.0,154.0,166.0,8,0.5472046136856079
82,-uP01llwXFY,3,2,19,188.0,175.0,216.0,182.0,8,0.45406460762023926
83,-uP01llwXFY,3,3,1,310.0,187.0,353.0,214.0,8,0.6049314737319946
84,-uP01llwXFY,3,3,1,98.0,199.0,164.0,214.0,8,0.5546615123748779
85,-uP01llwXFY,3,3,1,329.0,187.0,342.0,201.0,0,0.42314156889915466
86,-uP01llwXFY,3,3,2,309.0,187.0,353.0,214.0,8,0.6050862073898315
87,-uP01llwXFY,3,3,2,98.0,199.0,164.0,213.0,8,0.5730765461921692
88,-uP01llwXFY,3,3,2,329.0,188.0,342.0,202.0,0,0.4036177396774292
89,-uP01llwXFY,3,3,3,326.0,203.0,338.0,217.0,0,0.6502760648727417
90,-uP01llwXFY,3,3,3,95.0,216.0,162.0,233.0,8,0.5887863039970398
91,-uP01llwXFY,3,3,3,310.0,201.0,324.0,216.0,0,0.4978272616863251
92,-uP01llwXFY,3,3,4,328.0,179.0,339.0,194.0,0,0.4124429225921631
93,-uP01llwXFY,3,3,4,304.0,182.0,358.0,210.0,8,0.4057151675224304
94,-uP01llwXFY,3,3,4,110.0,197.0,176.0,213.0,8,0.40552762150764465
95,-uP01llwXFY,3,3,5,269.0,178.0,325.0,205.0,8,0.5498472452163696
96,-uP01llwXFY,3,3,5,298.0,170.0,308.0,185.0,0,0.5073126554489136
97,-uP01llwXFY,3,3,5,86.0,177.0,155.0,197.0,8,0.4235137701034546
98,-uP01llwXFY,3,3,6,294.0,165.0,308.0,184.0,0,0.5449145436286926
99,-uP01llwXFY,3,3,6,87.0,176.0,157.0,189.0,8,0.539553165435791
100,-uP01llwXFY,3,3,6,259.0,182.0,323.0,198.0,8,0.4589845538139343
101,-uP01llwXFY,3,3,7,255.0,179.0,328.0,209.0,8,0.5876432657241821
102,-uP01llwXFY,3,3,7,300.0,168.0,314.0,190.0,0,0.5226411819458008
103,-uP01llwXFY,3,3,7,91.0,153.0,172.0,193.0,8,0.4207295775413513
104,-uP01llwXFY,3,3,7,100.0,173.0,170.0,188.0,8,0.41154733300209045
105,-uP01llwXFY,3,3,8,293.0,161.0,312.0,187.0,0,0.7518911957740784
106,-uP01llwXFY,3,3,8,244.0,182.0,332.0,210.0,8,0.726104199886322
107,-uP01llwXFY,3,3,8,98.0,136.0,180.0,183.0,8,0.6623612642288208
108,-uP01llwXFY,3,3,8,261.0,159.0,283.0,180.0,0,0.5154693126678467
109,-uP01llwXFY,3,3,8,103.0,161.0,179.0,184.0,8,0.420306921005249
110,-uP01llwXFY,3,3,9,294.0,156.0,319.0,186.0,0,0.7443065643310547
111,-uP01llwXFY,3,3,9,228.0,173.0,347.0,205.0,8,0.72072434425354
112,-uP01llwXFY,3,3,9,272.0,153.0,292.0,182.0,0,0.6096285581588745
113,-uP01llwXFY,3,3,9,137.0,165.0,207.0,178.0,8,0.5947204232215881
114,-uP01llwXFY,3,3,9,139.0,153.0,208.0,179.0,8,0.43175050616264343
115,-uP01llwXFY,3,3,9,177.0,155.0,187.0,167.0,0,0.4053533673286438
116,-uP01llwXFY,3,3,10,207.0,162.0,375.0,214.0,8,0.7244129776954651
117,-uP01llwXFY,3,3,10,280.0,144.0,305.0,183.0,0,0.680145800113678
118,-uP01llwXFY,3,3,10,305.0,149.0,333.0,186.0,0,0.6136046648025513
119,-uP01llwXFY,3,3,11,301.0,149.0,337.0,199.0,0,0.6659260392189026
120,-uP01llwXFY,3,3,11,273.0,145.0,300.0,197.0,0,0.6240588426589966
121,-uP01llwXFY,3,3,11,167.0,186.0,408.0,234.0,8,0.44683822989463806
122,-uP01llwXFY,3,3,12,283.0,181.0,334.0,239.0,0,0.7716533541679382
123,-uP01llwXFY,3,3,12,123.0,221.0,424.0,280.0,8,0.726295530796051
