,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-uVVm87sDIU,23,0,1,296.0,50.0,320.0,81.0,13,0.6776527166366577
1,-uVVm87sDIU,23,0,1,0.0,45.0,262.0,175.0,2,0.5823929309844971
2,-uVVm87sDIU,23,0,2,0.0,45.0,262.0,176.0,2,0.7016192078590393
3,-uVVm87sDIU,23,0,2,297.0,50.0,320.0,81.0,13,0.6690734028816223
4,-uVVm87sDIU,23,0,3,274.0,47.0,320.0,87.0,13,0.8370314836502075
5,-uVVm87sDIU,23,0,4,280.0,32.0,320.0,70.0,13,0.6287564635276794
6,-uVVm87sDIU,23,0,4,2.0,30.0,304.0,185.0,7,0.47258442640304565
7,-uVVm87sDIU,23,0,5,257.0,31.0,309.0,68.0,13,0.7953659892082214
8,-uVVm87sDIU,23,0,6,258.0,31.0,311.0,67.0,13,0.727691650390625
9,-uVVm87sDIU,23,0,6,0.0,27.0,319.0,206.0,7,0.5615512728691101
10,-uVVm87sDIU,23,0,7,0.0,24.0,316.0,209.0,7,0.4933459758758545
11,-uVVm87sDIU,23,0,7,226.0,28.0,277.0,61.0,13,0.4291878044605255
12,-uVVm87sDIU,23,0,8,221.0,21.0,270.0,54.0,13,0.7828608751296997
13,-uVVm87sDIU,23,0,8,0.0,20.0,319.0,205.0,2,0.5465474724769592
14,-uVVm87sDIU,23,0,9,0.0,19.0,318.0,207.0,2,0.4827302396297455
15,-uVVm87sDIU,23,0,9,304.0,20.0,320.0,39.0,2,0.448369562625885
16,-uVVm87sDIU,23,0,11,20.0,4.0,320.0,182.0,7,0.4981794059276581
17,-uVVm87sDIU,23,0,12,22.0,1.0,320.0,190.0,7,0.4696844518184662
18,-uVVm87sDIU,23,0,13,68.0,22.0,320.0,212.0,2,0.5499149560928345
19,-uVVm87sDIU,23,0,14,63.0,23.0,320.0,209.0,2,0.5793288946151733
20,-uVVm87sDIU,23,0,15,64.0,28.0,320.0,204.0,2,0.7234065532684326
21,-uVVm87sDIU,23,0,16,40.0,34.0,320.0,196.0,2,0.7989611625671387
22,-uVVm87sDIU,23,0,17,34.0,46.0,298.0,207.0,2,0.7699506878852844
23,-uVVm87sDIU,23,0,19,47.0,15.0,268.0,155.0,5,0.43893370032310486
24,-uVVm87sDIU,23,0,19,46.0,15.0,270.0,156.0,2,0.4313611686229706
25,-uVVm87sDIU,23,0,20,41.0,47.0,260.0,179.0,2,0.7100586295127869
26,-uVVm87sDIU,23,1,1,5.0,35.0,320.0,171.0,7,0.6492443084716797
27,-uVVm87sDIU,23,1,2,4.0,36.0,319.0,184.0,7,0.6363551616668701
28,-uVVm87sDIU,23,1,3,0.0,42.0,319.0,187.0,7,0.7335318326950073
29,-uVVm87sDIU,23,1,4,15.0,45.0,319.0,198.0,7,0.7386924028396606
30,-uVVm87sDIU,23,1,5,21.0,26.0,314.0,175.0,7,0.6326375007629395
31,-uVVm87sDIU,23,1,6,7.0,35.0,315.0,183.0,2,0.5953169465065002
32,-uVVm87sDIU,23,1,7,2.0,6.0,316.0,160.0,2,0.6859465837478638
33,-uVVm87sDIU,23,1,8,0.0,53.0,303.0,209.0,2,0.44924670457839966
34,-uVVm87sDIU,23,1,10,12.0,62.0,314.0,180.0,2,0.4730551540851593
35,-uVVm87sDIU,23,1,11,12.0,48.0,314.0,175.0,2,0.6200981736183167
36,-uVVm87sDIU,23,1,13,31.0,14.0,316.0,154.0,2,0.5260570049285889
37,-uVVm87sDIU,23,1,14,32.0,11.0,311.0,155.0,2,0.5301442742347717
38,-uVVm87sDIU,23,1,19,8.0,13.0,318.0,153.0,2,0.4139292240142822
