,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-v_eYPtl3G8,0,0,8,7.0,15.0,198.0,237.0,0,0.4211035966873169
1,-v_eYPtl3G8,0,0,10,44.0,107.0,133.0,195.0,63,0.6398014426231384
2,-v_eYPtl3G8,0,0,10,52.0,25.0,155.0,172.0,0,0.4683157205581665
3,-v_eYPtl3G8,0,0,10,203.0,105.0,236.0,146.0,27,0.44687601923942566
4,-v_eYPtl3G8,0,0,11,180.0,33.0,319.0,228.0,0,0.8117998242378235
5,-v_eYPtl3G8,0,0,11,53.0,50.0,206.0,237.0,0,0.4970015585422516
6,-v_eYPtl3G8,0,0,12,120.0,5.0,319.0,237.0,0,0.6119021773338318
7,-v_eYPtl3G8,0,0,13,179.0,0.0,320.0,240.0,0,0.5776769518852234
8,-v_eYPtl3G8,0,0,13,165.0,86.0,192.0,146.0,27,0.49760404229164124
9,-v_eYPtl3G8,0,0,14,0.0,9.0,202.0,240.0,0,0.478455513715744
10,-v_eYPtl3G8,0,0,16,41.0,82.0,153.0,179.0,63,0.7607703804969788
11,-v_eYPtl3G8,0,0,17,0.0,85.0,104.0,174.0,63,0.43186479806900024
12,-v_eYPtl3G8,0,0,19,77.0,65.0,195.0,158.0,63,0.6286978125572205
