,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,-y2CPQESydo,20,0,1,34.0,189.0,143.0,305.0,0,0.6713536977767944
1,-y2CPQESydo,20,0,1,349.0,147.0,379.0,211.0,0,0.6377981901168823
2,-y2CPQESydo,20,0,1,199.0,196.0,239.0,298.0,0,0.44335633516311646
3,-y2CPQESydo,20,0,1,220.0,141.0,244.0,202.0,0,0.42939257621765137
4,-y2CPQESydo,20,0,1,94.0,177.0,119.0,213.0,0,0.40802985429763794
5,-y2CPQESydo,20,0,2,32.0,188.0,152.0,305.0,0,0.5904513001441956
6,-y2CPQESydo,20,0,2,201.0,135.0,219.0,170.0,0,0.5226437449455261
7,-y2CPQESydo,20,0,3,287.0,125.0,320.0,195.0,0,0.7269226908683777
8,-y2CPQESydo,20,0,3,353.0,134.0,385.0,196.0,0,0.5855662822723389
9,-y2CPQESydo,20,0,3,328.0,131.0,356.0,190.0,0,0.5602405667304993
10,-y2CPQESydo,20,0,3,1.0,189.0,142.0,301.0,0,0.5185246467590332
11,-y2CPQESydo,20,0,3,221.0,133.0,242.0,179.0,0,0.48352178931236267
12,-y2CPQESydo,20,0,3,254.0,124.0,281.0,187.0,0,0.46008771657943726
13,-y2CPQESydo,20,0,4,21.0,202.0,159.0,279.0,20,0.7989940643310547
14,-y2CPQESydo,20,0,4,119.0,150.0,142.0,203.0,0,0.7474538683891296
15,-y2CPQESydo,20,0,4,312.0,107.0,338.0,183.0,0,0.679206907749176
16,-y2CPQESydo,20,0,4,96.0,150.0,123.0,190.0,0,0.6069139838218689
17,-y2CPQESydo,20,0,4,217.0,113.0,244.0,159.0,0,0.5729981064796448
18,-y2CPQESydo,20,0,4,382.0,115.0,410.0,196.0,0,0.4889852702617645
19,-y2CPQESydo,20,0,4,274.0,109.0,308.0,175.0,0,0.47002002596855164
20,-y2CPQESydo,20,0,4,320.0,172.0,370.0,307.0,0,0.42551010847091675
21,-y2CPQESydo,20,0,4,351.0,114.0,388.0,182.0,0,0.41235968470573425
22,-y2CPQESydo,20,0,4,80.0,170.0,104.0,210.0,0,0.4075574278831482
23,-y2CPQESydo,20,0,5,271.0,38.0,310.0,116.0,0,0.6910220980644226
24,-y2CPQESydo,20,0,5,36.0,134.0,120.0,217.0,20,0.575910747051239
25,-y2CPQESydo,20,0,5,192.0,50.0,218.0,84.0,0,0.5282797813415527
26,-y2CPQESydo,20,0,5,170.0,48.0,194.0,79.0,0,0.4524773359298706
27,-y2CPQESydo,20,0,5,59.0,82.0,86.0,119.0,0,0.4410260319709778
28,-y2CPQESydo,20,0,5,85.0,81.0,110.0,122.0,0,0.4348273277282715
29,-y2CPQESydo,20,0,5,331.0,52.0,360.0,109.0,0,0.4050653576850891
30,-y2CPQESydo,20,0,6,25.0,193.0,95.0,268.0,20,0.7977712750434875
31,-y2CPQESydo,20,0,6,283.0,161.0,364.0,262.0,20,0.7498146295547485
32,-y2CPQESydo,20,0,6,133.0,185.0,210.0,268.0,20,0.6918169856071472
33,-y2CPQESydo,20,0,6,261.0,97.0,292.0,167.0,0,0.6411265134811401
34,-y2CPQESydo,20,0,6,151.0,103.0,178.0,135.0,0,0.6137794852256775
35,-y2CPQESydo,20,0,6,291.0,103.0,315.0,141.0,0,0.5625200271606445
36,-y2CPQESydo,20,0,6,63.0,137.0,92.0,193.0,0,0.554983913898468
37,-y2CPQESydo,20,0,6,36.0,140.0,66.0,186.0,0,0.4942370653152466
38,-y2CPQESydo,20,0,6,222.0,98.0,258.0,146.0,0,0.4628073275089264
39,-y2CPQESydo,20,0,6,324.0,105.0,353.0,154.0,0,0.4529915750026703
40,-y2CPQESydo,20,0,6,197.0,167.0,301.0,303.0,20,0.41438382863998413
41,-y2CPQESydo,20,0,7,247.0,29.0,310.0,179.0,0,0.7141057848930359
42,-y2CPQESydo,20,0,7,181.0,18.0,260.0,178.0,0,0.6934013366699219
43,-y2CPQESydo,20,0,7,84.0,94.0,195.0,245.0,0,0.6739314794540405
44,-y2CPQESydo,20,0,8,46.0,97.0,148.0,247.0,0,0.7887114882469177
45,-y2CPQESydo,20,0,8,145.0,29.0,226.0,186.0,0,0.7651824951171875
46,-y2CPQESydo,20,0,8,201.0,30.0,275.0,194.0,0,0.7066747546195984
47,-y2CPQESydo,20,0,9,55.0,57.0,147.0,209.0,0,0.7502241134643555
48,-y2CPQESydo,20,0,9,117.0,52.0,194.0,209.0,0,0.6653213500976562
49,-y2CPQESydo,20,0,9,0.0,134.0,89.0,291.0,0,0.6314398646354675
50,-y2CPQESydo,20,0,9,421.0,169.0,479.0,249.0,0,0.5381388664245605
51,-y2CPQESydo,20,0,9,391.0,235.0,480.0,357.0,8,0.40567129850387573
52,-y2CPQESydo,20,0,10,374.0,80.0,429.0,183.0,0,0.7606195211410522
53,-y2CPQESydo,20,0,10,325.0,84.0,385.0,212.0,0,0.6671031713485718
