,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,00-ft0CPxAI,3,0,1,71.0,168.0,102.0,260.0,0,0.6571739912033081
1,00-ft0CPxAI,3,0,1,46.0,178.0,74.0,260.0,0,0.634917140007019
2,00-ft0CPxAI,3,0,1,625.0,166.0,640.0,207.0,0,0.5969798564910889
3,00-ft0CPxAI,3,0,1,486.0,176.0,639.0,269.0,8,0.4752486050128937
4,00-ft0CPxAI,3,0,1,193.0,122.0,238.0,169.0,8,0.4514768421649933
5,00-ft0CPxAI,3,0,2,70.0,165.0,102.0,260.0,0,0.6136975288391113
6,00-ft0CPxAI,3,0,2,625.0,166.0,640.0,207.0,0,0.6091594696044922
7,00-ft0CPxAI,3,0,2,45.0,177.0,73.0,259.0,0,0.6081278324127197
8,00-ft0CPxAI,3,0,2,194.0,129.0,236.0,169.0,8,0.4757777452468872
9,00-ft0CPxAI,3,0,2,528.0,149.0,544.0,187.0,0,0.46939584612846375
10,00-ft0CPxAI,3,0,2,346.0,146.0,393.0,167.0,8,0.4022747576236725
11,00-ft0CPxAI,3,0,3,580.0,142.0,606.0,211.0,0,0.8089636564254761
12,00-ft0CPxAI,3,0,3,400.0,162.0,609.0,246.0,8,0.7987393736839294
13,00-ft0CPxAI,3,0,3,525.0,127.0,554.0,182.0,0,0.6565654873847961
14,00-ft0CPxAI,3,0,3,547.0,141.0,572.0,211.0,0,0.5678349733352661
15,00-ft0CPxAI,3,0,3,100.0,103.0,151.0,165.0,8,0.46262773871421814
16,00-ft0CPxAI,3,0,3,604.0,202.0,640.0,236.0,8,0.4424130320549011
17,00-ft0CPxAI,3,0,3,0.0,293.0,41.0,358.0,0,0.428181529045105
18,00-ft0CPxAI,3,0,3,596.0,98.0,640.0,127.0,8,0.42255261540412903
19,00-ft0CPxAI,3,0,4,529.0,146.0,551.0,208.0,0,0.8541017174720764
20,00-ft0CPxAI,3,0,4,357.0,176.0,562.0,242.0,8,0.7576775550842285
21,00-ft0CPxAI,3,0,4,574.0,147.0,592.0,194.0,0,0.6945216059684753
22,00-ft0CPxAI,3,0,4,0.0,111.0,42.0,132.0,8,0.609220564365387
23,00-ft0CPxAI,3,0,4,595.0,141.0,622.0,199.0,0,0.6009737253189087
24,00-ft0CPxAI,3,0,4,46.0,122.0,105.0,183.0,8,0.5222883224487305
25,00-ft0CPxAI,3,0,4,502.0,150.0,525.0,213.0,0,0.5110087990760803
26,00-ft0CPxAI,3,0,4,395.0,133.0,411.0,178.0,0,0.4914405941963196
27,00-ft0CPxAI,3,0,4,555.0,177.0,570.0,199.0,0,0.4054136276245117
28,00-ft0CPxAI,3,0,4,479.0,137.0,496.0,185.0,0,0.40193334221839905
29,00-ft0CPxAI,3,0,5,500.0,174.0,524.0,235.0,0,0.7506820559501648
30,00-ft0CPxAI,3,0,5,609.0,179.0,632.0,230.0,0,0.7244557738304138
31,00-ft0CPxAI,3,0,5,18.0,130.0,82.0,205.0,8,0.695737898349762
32,00-ft0CPxAI,3,0,5,565.0,169.0,590.0,228.0,0,0.6276500225067139
33,00-ft0CPxAI,3,0,5,545.0,175.0,561.0,225.0,0,0.6275429129600525
34,00-ft0CPxAI,3,0,5,332.0,194.0,533.0,272.0,8,0.62522292137146
35,00-ft0CPxAI,3,0,5,477.0,176.0,497.0,240.0,0,0.583331286907196
36,00-ft0CPxAI,3,0,5,404.0,164.0,417.0,206.0,0,0.5760664939880371
37,00-ft0CPxAI,3,0,5,156.0,147.0,245.0,187.0,8,0.4879947900772095
38,00-ft0CPxAI,3,0,6,501.0,171.0,524.0,236.0,0,0.7428189516067505
39,00-ft0CPxAI,3,0,6,9.0,136.0,89.0,202.0,8,0.6685951352119446
40,00-ft0CPxAI,3,0,6,567.0,170.0,593.0,228.0,0,0.668123185634613
41,00-ft0CPxAI,3,0,6,610.0,179.0,633.0,230.0,0,0.6618660092353821
42,00-ft0CPxAI,3,0,6,545.0,176.0,562.0,224.0,0,0.6315093636512756
43,00-ft0CPxAI,3,0,6,476.0,177.0,497.0,240.0,0,0.49459242820739746
44,00-ft0CPxAI,3,0,6,335.0,192.0,534.0,269.0,8,0.49351638555526733
45,00-ft0CPxAI,3,0,7,534.0,182.0,556.0,251.0,0,0.8139736652374268
46,00-ft0CPxAI,3,0,7,0.0,130.0,25.0,149.0,8,0.6789848208427429
47,00-ft0CPxAI,3,0,7,603.0,183.0,628.0,242.0,0,0.6611262559890747
48,00-ft0CPxAI,3,0,7,60.0,161.0,124.0,217.0,8,0.6139854192733765
49,00-ft0CPxAI,3,0,7,362.0,201.0,567.0,282.0,8,0.581718385219574
50,00-ft0CPxAI,3,0,7,485.0,181.0,501.0,222.0,0,0.47133052349090576
51,00-ft0CPxAI,3,0,7,73.0,156.0,88.0,191.0,0,0.44050782918930054
52,00-ft0CPxAI,3,0,7,581.0,186.0,600.0,238.0,0,0.41268759965896606
53,00-ft0CPxAI,3,0,8,593.0,193.0,618.0,261.0,0,0.7856191396713257
54,00-ft0CPxAI,3,0,8,566.0,189.0,593.0,262.0,0,0.6024927496910095
55,00-ft0CPxAI,3,0,8,409.0,208.0,622.0,294.0,8,0.5682337284088135
56,00-ft0CPxAI,3,0,8,486.0,184.0,499.0,226.0,0,0.5370900630950928
57,00-ft0CPxAI,3,0,8,0.0,109.0,80.0,158.0,8,0.4882093667984009
58,00-ft0CPxAI,3,0,8,540.0,187.0,559.0,231.0,0,0.4853290915489197
59,00-ft0CPxAI,3,0,8,112.0,155.0,186.0,226.0,8,0.45111751556396484
60,00-ft0CPxAI,3,0,8,501.0,175.0,528.0,230.0,0,0.44902580976486206
61,00-ft0CPxAI,3,0,8,1.0,134.0,79.0,156.0,8,0.4259421229362488
62,00-ft0CPxAI,3,0,9,49.0,204.0,85.0,292.0,0,0.7324365973472595
63,00-ft0CPxAI,3,0,9,174.0,156.0,249.0,226.0,8,0.6975917220115662
64,00-ft0CPxAI,3,0,9,7.0,217.0,38.0,304.0,0,0.6079814434051514
65,00-ft0CPxAI,3,0,9,604.0,191.0,621.0,235.0,0,0.6066134572029114
66,00-ft0CPxAI,3,0,9,547.0,185.0,561.0,227.0,0,0.5991203188896179
67,00-ft0CPxAI,3,0,9,66.0,284.0,106.0,350.0,0,0.5411675572395325
68,00-ft0CPxAI,3,0,9,29.0,212.0,52.0,293.0,0,0.5307402610778809
69,00-ft0CPxAI,3,0,9,589.0,170.0,602.0,203.0,0,0.5291696786880493
70,00-ft0CPxAI,3,0,9,564.0,182.0,579.0,226.0,0,0.4605737030506134
71,00-ft0CPxAI,3,0,9,0.0,83.0,133.0,154.0,8,0.4425014853477478
72,00-ft0CPxAI,3,0,9,507.0,181.0,523.0,220.0,0,0.43187394738197327
73,00-ft0CPxAI,3,0,9,192.0,159.0,205.0,194.0,0,0.42044633626937866
74,00-ft0CPxAI,3,0,10,222.0,166.0,311.0,230.0,8,0.666443943977356
75,00-ft0CPxAI,3,0,10,612.0,193.0,628.0,238.0,0,0.5491546988487244
76,00-ft0CPxAI,3,0,10,569.0,181.0,587.0,225.0,0,0.45488229393959045
77,00-ft0CPxAI,3,0,10,0.0,228.0,30.0,338.0,0,0.4274705648422241
78,00-ft0CPxAI,3,0,10,379.0,185.0,428.0,206.0,8,0.4038616716861725
79,00-ft0CPxAI,3,0,11,286.0,158.0,377.0,235.0,8,0.7122464776039124
80,00-ft0CPxAI,3,0,11,33.0,230.0,70.0,328.0,0,0.5949748158454895
81,00-ft0CPxAI,3,0,11,67.0,212.0,108.0,302.0,0,0.5820468068122864
82,00-ft0CPxAI,3,0,11,181.0,204.0,205.0,278.0,0,0.5734690427780151
83,00-ft0CPxAI,3,0,11,362.0,174.0,432.0,207.0,8,0.5305624008178711
84,00-ft0CPxAI,3,0,11,91.0,86.0,244.0,152.0,8,0.4950750470161438
85,00-ft0CPxAI,3,0,12,349.0,166.0,455.0,235.0,8,0.6817507743835449
86,00-ft0CPxAI,3,0,12,372.0,154.0,390.0,197.0,0,0.49400803446769714
87,00-ft0CPxAI,3,0,12,143.0,213.0,174.0,300.0,0,0.4636383056640625
88,00-ft0CPxAI,3,0,12,154.0,102.0,301.0,148.0,8,0.40186113119125366
89,00-ft0CPxAI,3,0,13,430.0,135.0,545.0,238.0,8,0.7087268233299255
90,00-ft0CPxAI,3,0,14,528.0,152.0,550.0,196.0,0,0.740366518497467
91,00-ft0CPxAI,3,0,14,507.0,167.0,639.0,256.0,8,0.635237455368042
92,00-ft0CPxAI,3,0,14,31.0,253.0,87.0,340.0,0,0.4636799693107605
93,00-ft0CPxAI,3,0,14,43.0,308.0,91.0,360.0,0,0.444972962141037
94,00-ft0CPxAI,3,0,15,585.0,155.0,640.0,241.0,8,0.6164994835853577
95,00-ft0CPxAI,3,0,15,128.0,230.0,171.0,330.0,0,0.5740379691123962
96,00-ft0CPxAI,3,0,15,608.0,142.0,630.0,195.0,0,0.5668330788612366
97,00-ft0CPxAI,3,0,15,86.0,212.0,125.0,327.0,0,0.45866966247558594
98,00-ft0CPxAI,3,0,15,436.0,175.0,465.0,259.0,0,0.4404488801956177
99,00-ft0CPxAI,3,0,15,209.0,204.0,248.0,275.0,0,0.43947139382362366
100,00-ft0CPxAI,3,0,15,113.0,294.0,156.0,358.0,0,0.41181543469429016
