,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,01mkUffAvo8,0,0,1,157.0,108.0,242.0,357.0,0,0.8564627766609192
1,01mkUffAvo8,0,0,1,226.0,88.0,293.0,353.0,0,0.5368602275848389
2,01mkUffAvo8,0,0,2,156.0,109.0,241.0,358.0,0,0.8720914125442505
3,01mkUffAvo8,0,0,2,225.0,107.0,295.0,353.0,0,0.6264421939849854
4,01mkUffAvo8,0,0,3,152.0,118.0,242.0,357.0,0,0.8237391710281372
5,01mkUffAvo8,0,0,4,154.0,120.0,239.0,360.0,0,0.6347814798355103
6,01mkUffAvo8,0,0,5,150.0,111.0,254.0,360.0,0,0.6636578440666199
7,01mkUffAvo8,0,0,6,152.0,120.0,228.0,356.0,0,0.776491105556488
8,01mkUffAvo8,0,0,6,158.0,136.0,290.0,356.0,0,0.5811240077018738
9,01mkUffAvo8,0,0,6,237.0,139.0,282.0,223.0,0,0.4045119881629944
10,01mkUffAvo8,0,0,7,160.0,117.0,249.0,357.0,0,0.7978955507278442
11,01mkUffAvo8,0,0,8,172.0,123.0,252.0,358.0,0,0.7492956519126892
12,01mkUffAvo8,0,0,9,166.0,117.0,248.0,358.0,0,0.8685888051986694
13,01mkUffAvo8,0,0,10,166.0,115.0,259.0,357.0,0,0.6993390321731567
14,01mkUffAvo8,0,0,11,161.0,117.0,262.0,359.0,0,0.8547249436378479
15,01mkUffAvo8,0,0,12,162.0,115.0,247.0,357.0,0,0.8411927819252014
16,01mkUffAvo8,0,0,13,154.0,127.0,234.0,355.0,0,0.8673540353775024
17,01mkUffAvo8,0,0,14,153.0,131.0,280.0,358.0,0,0.7877600789070129
18,01mkUffAvo8,0,0,15,162.0,142.0,255.0,358.0,0,0.814817488193512
19,01mkUffAvo8,0,0,16,151.0,140.0,233.0,356.0,0,0.7432283163070679
20,01mkUffAvo8,0,0,17,158.0,138.0,251.0,358.0,0,0.8215076327323914
21,01mkUffAvo8,0,0,18,151.0,120.0,256.0,356.0,0,0.820393979549408
22,01mkUffAvo8,0,0,19,152.0,126.0,255.0,357.0,0,0.871489405632019
