,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,037AaHgLhOU,4,0,3,109.0,171.0,188.0,329.0,0,0.8791422247886658
1,037AaHgLhOU,4,0,3,50.0,179.0,99.0,319.0,0,0.857657790184021
2,037AaHgLhOU,4,0,3,8.0,40.0,445.0,314.0,5,0.6698307394981384
3,037AaHgLhOU,4,0,3,263.0,161.0,293.0,188.0,0,0.5217155814170837
4,037AaHgLhOU,4,0,3,183.0,201.0,228.0,270.0,24,0.5052282214164734
5,037AaHgLhOU,4,0,3,4.0,173.0,40.0,354.0,0,0.49085283279418945
6,037AaHgLhOU,4,0,3,196.0,225.0,477.0,351.0,2,0.4822804927825928
7,037AaHgLhOU,4,0,4,129.0,169.0,218.0,348.0,0,0.6777706146240234
8,037AaHgLhOU,4,0,4,229.0,208.0,471.0,353.0,2,0.45406654477119446
9,037AaHgLhOU,4,0,4,64.0,174.0,119.0,325.0,0,0.4245215058326721
10,037AaHgLhOU,4,0,4,226.0,92.0,282.0,196.0,0,0.4119080603122711
11,037AaHgLhOU,4,0,5,151.0,160.0,219.0,253.0,0,0.6908615231513977
12,037AaHgLhOU,4,0,5,449.0,163.0,477.0,265.0,0,0.630247950553894
13,037AaHgLhOU,4,0,5,370.0,199.0,471.0,301.0,0,0.6057295203208923
14,037AaHgLhOU,4,0,5,64.0,180.0,114.0,226.0,56,0.6054514646530151
15,037AaHgLhOU,4,0,5,381.0,112.0,450.0,171.0,0,0.5848281383514404
16,037AaHgLhOU,4,0,5,148.0,102.0,180.0,145.0,0,0.5138188004493713
17,037AaHgLhOU,4,0,5,24.0,151.0,84.0,227.0,0,0.5052510499954224
18,037AaHgLhOU,4,0,5,261.0,77.0,343.0,218.0,0,0.4935562312602997
19,037AaHgLhOU,4,0,5,172.0,129.0,242.0,250.0,0,0.4859188199043274
20,037AaHgLhOU,4,0,5,220.0,104.0,276.0,243.0,0,0.4501139223575592
21,037AaHgLhOU,4,0,5,414.0,280.0,477.0,347.0,56,0.43704918026924133
22,037AaHgLhOU,4,0,5,6.0,177.0,61.0,238.0,56,0.4176323115825653
23,037AaHgLhOU,4,0,5,66.0,153.0,125.0,183.0,56,0.41668370366096497
24,037AaHgLhOU,4,0,6,367.0,188.0,476.0,349.0,0,0.7191396951675415
25,037AaHgLhOU,4,0,6,206.0,110.0,270.0,237.0,0,0.6208937168121338
26,037AaHgLhOU,4,0,6,92.0,168.0,160.0,251.0,0,0.5506601333618164
27,037AaHgLhOU,4,0,6,384.0,123.0,445.0,186.0,0,0.5495852828025818
28,037AaHgLhOU,4,0,6,166.0,127.0,224.0,252.0,0,0.5278829336166382
29,037AaHgLhOU,4,0,6,250.0,167.0,357.0,349.0,0,0.5152512192726135
30,037AaHgLhOU,4,0,7,323.0,142.0,455.0,349.0,0,0.8467679023742676
31,037AaHgLhOU,4,0,7,223.0,61.0,294.0,214.0,0,0.6003620028495789
32,037AaHgLhOU,4,0,7,61.0,158.0,160.0,254.0,0,0.5962584614753723
33,037AaHgLhOU,4,0,7,171.0,152.0,314.0,346.0,0,0.5478073954582214
34,037AaHgLhOU,4,0,8,347.0,193.0,473.0,350.0,0,0.6777698397636414
35,037AaHgLhOU,4,0,8,59.0,144.0,149.0,252.0,0,0.617919385433197
36,037AaHgLhOU,4,0,8,318.0,135.0,426.0,304.0,0,0.4456098675727844
37,037AaHgLhOU,4,0,8,174.0,160.0,340.0,350.0,0,0.40649524331092834
38,037AaHgLhOU,4,0,9,28.0,44.0,441.0,338.0,5,0.7450803518295288
39,037AaHgLhOU,4,0,9,430.0,142.0,477.0,236.0,2,0.6745406985282898
40,037AaHgLhOU,4,0,9,173.0,147.0,212.0,228.0,0,0.5634303092956543
41,037AaHgLhOU,4,0,9,5.0,156.0,34.0,209.0,5,0.5047488808631897
42,037AaHgLhOU,4,0,9,323.0,180.0,359.0,212.0,0,0.4504244029521942
43,037AaHgLhOU,4,0,10,16.0,28.0,438.0,345.0,5,0.813263475894928
44,037AaHgLhOU,4,0,10,121.0,185.0,182.0,255.0,0,0.7424101233482361
45,037AaHgLhOU,4,0,10,6.0,153.0,32.0,205.0,5,0.5140220522880554
46,037AaHgLhOU,4,0,10,316.0,171.0,356.0,208.0,0,0.4223984479904175
47,037AaHgLhOU,4,0,10,436.0,138.0,477.0,235.0,2,0.4075450301170349
48,037AaHgLhOU,4,0,10,6.0,153.0,31.0,205.0,2,0.4012239873409271
49,037AaHgLhOU,4,0,11,79.0,172.0,178.0,326.0,0,0.7382308840751648
50,037AaHgLhOU,4,0,11,24.0,32.0,443.0,336.0,5,0.6848791241645813
51,037AaHgLhOU,4,0,11,6.0,146.0,37.0,199.0,5,0.4357118606567383
52,037AaHgLhOU,4,0,16,287.0,116.0,326.0,234.0,0,0.7724462747573853
53,037AaHgLhOU,4,0,16,316.0,63.0,400.0,251.0,0,0.5174944996833801
54,037AaHgLhOU,4,0,16,213.0,56.0,290.0,198.0,0,0.4822644591331482
55,037AaHgLhOU,4,0,16,354.0,100.0,403.0,168.0,24,0.4765092134475708
56,037AaHgLhOU,4,0,17,294.0,119.0,342.0,249.0,0,0.8783960342407227
57,037AaHgLhOU,4,0,17,206.0,58.0,286.0,247.0,0,0.7724971175193787
58,037AaHgLhOU,4,0,17,311.0,68.0,397.0,247.0,0,0.760910153388977
