,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,03VFuWN4R_Y,14,0,1,109.0,0.0,332.0,192.0,0,0.5989589691162109
1,03VFuWN4R_Y,14,0,1,102.0,180.0,440.0,231.0,36,0.4041672348976135
2,03VFuWN4R_Y,14,0,2,110.0,0.0,334.0,195.0,0,0.674981951713562
3,03VFuWN4R_Y,14,0,2,103.0,174.0,437.0,231.0,36,0.40564098954200745
4,03VFuWN4R_Y,14,0,3,103.0,124.0,452.0,219.0,36,0.613874614238739
5,03VFuWN4R_Y,14,0,3,113.0,1.0,354.0,165.0,0,0.5973473787307739
6,03VFuWN4R_Y,14,0,4,111.0,1.0,348.0,157.0,0,0.6951331496238708
7,03VFuWN4R_Y,14,0,4,101.0,86.0,454.0,198.0,36,0.5942567586898804
8,03VFuWN4R_Y,14,0,5,94.0,1.0,337.0,158.0,0,0.6213881373405457
9,03VFuWN4R_Y,14,0,5,87.0,89.0,439.0,201.0,36,0.48458215594291687
10,03VFuWN4R_Y,14,0,6,83.0,119.0,414.0,231.0,36,0.6096861362457275
11,03VFuWN4R_Y,14,0,6,95.0,0.0,326.0,185.0,0,0.43656450510025024
12,03VFuWN4R_Y,14,0,7,88.0,121.0,408.0,230.0,36,0.6510913968086243
13,03VFuWN4R_Y,14,0,7,110.0,0.0,317.0,176.0,0,0.5369427800178528
14,03VFuWN4R_Y,14,0,8,113.0,0.0,335.0,200.0,0,0.6685405373573303
15,03VFuWN4R_Y,14,0,8,98.0,140.0,415.0,253.0,36,0.6576571464538574
16,03VFuWN4R_Y,14,0,9,154.0,132.0,448.0,249.0,36,0.6755504012107849
17,03VFuWN4R_Y,14,0,9,158.0,0.0,415.0,203.0,0,0.5972875356674194
18,03VFuWN4R_Y,14,0,10,98.0,0.0,379.0,187.0,0,0.6823527812957764
19,03VFuWN4R_Y,14,0,10,85.0,142.0,401.0,232.0,36,0.6103249788284302
20,03VFuWN4R_Y,14,0,11,62.0,0.0,352.0,181.0,0,0.8393975496292114
21,03VFuWN4R_Y,14,0,11,44.0,134.0,361.0,228.0,36,0.6069696545600891
22,03VFuWN4R_Y,14,0,12,80.0,0.0,377.0,182.0,0,0.7572608590126038
23,03VFuWN4R_Y,14,0,12,68.0,124.0,394.0,229.0,30,0.43357357382774353
24,03VFuWN4R_Y,14,0,13,110.0,0.0,374.0,207.0,0,0.7373310923576355
25,03VFuWN4R_Y,14,0,13,91.0,139.0,398.0,249.0,36,0.6973304748535156
26,03VFuWN4R_Y,14,0,14,107.0,122.0,398.0,249.0,36,0.7195813059806824
27,03VFuWN4R_Y,14,0,14,113.0,0.0,348.0,196.0,0,0.6738324761390686
28,03VFuWN4R_Y,14,0,15,99.0,105.0,366.0,219.0,36,0.706048846244812
29,03VFuWN4R_Y,14,0,15,96.0,0.0,340.0,185.0,0,0.6752039194107056
30,03VFuWN4R_Y,14,0,16,83.0,3.0,323.0,170.0,0,0.6547215580940247
31,03VFuWN4R_Y,14,0,16,68.0,112.0,363.0,216.0,36,0.4431820213794708
32,03VFuWN4R_Y,14,0,17,45.0,105.0,341.0,205.0,36,0.6396774053573608
33,03VFuWN4R_Y,14,0,17,107.0,2.0,330.0,157.0,0,0.6070222854614258
34,03VFuWN4R_Y,14,0,18,76.0,95.0,370.0,206.0,36,0.6272397637367249
35,03VFuWN4R_Y,14,0,18,94.0,2.0,288.0,154.0,0,0.591907799243927
36,03VFuWN4R_Y,14,0,19,97.0,0.0,348.0,270.0,0,0.6715837717056274
37,03VFuWN4R_Y,14,1,1,38.0,0.0,317.0,263.0,0,0.696082592010498
38,03VFuWN4R_Y,14,1,2,27.0,0.0,318.0,264.0,0,0.7485204339027405
39,03VFuWN4R_Y,14,1,2,137.0,101.0,368.0,268.0,36,0.5965064764022827
40,03VFuWN4R_Y,14,1,2,16.0,0.0,114.0,111.0,39,0.4931453764438629
41,03VFuWN4R_Y,14,1,3,141.0,107.0,369.0,268.0,36,0.77599036693573
42,03VFuWN4R_Y,14,1,3,19.0,0.0,338.0,264.0,0,0.7245118618011475
43,03VFuWN4R_Y,14,1,4,124.0,119.0,353.0,268.0,36,0.8540645837783813
44,03VFuWN4R_Y,14,1,4,24.0,0.0,330.0,260.0,0,0.7483485341072083
45,03VFuWN4R_Y,14,1,5,105.0,86.0,355.0,236.0,36,0.8704086542129517
46,03VFuWN4R_Y,14,1,5,26.0,0.0,333.0,216.0,0,0.5705751776695251
47,03VFuWN4R_Y,14,1,6,112.0,83.0,363.0,257.0,36,0.8964342474937439
48,03VFuWN4R_Y,14,1,6,30.0,0.0,170.0,243.0,0,0.6481319665908813
49,03VFuWN4R_Y,14,1,7,125.0,82.0,355.0,268.0,36,0.7399218678474426
50,03VFuWN4R_Y,14,1,7,77.0,0.0,208.0,253.0,0,0.6556479334831238
51,03VFuWN4R_Y,14,1,8,21.0,161.0,314.0,269.0,36,0.8277015089988708
52,03VFuWN4R_Y,14,1,8,126.0,0.0,223.0,209.0,0,0.5756891369819641
53,03VFuWN4R_Y,14,1,9,46.0,171.0,337.0,270.0,36,0.8067716956138611
54,03VFuWN4R_Y,14,1,9,136.0,0.0,263.0,231.0,0,0.45426440238952637
55,03VFuWN4R_Y,14,1,10,135.0,0.0,319.0,266.0,0,0.8826063871383667
56,03VFuWN4R_Y,14,1,11,68.0,1.0,242.0,162.0,0,0.7560336589813232
57,03VFuWN4R_Y,14,1,11,56.0,148.0,324.0,198.0,36,0.7260351777076721
58,03VFuWN4R_Y,14,1,12,72.0,2.0,255.0,165.0,0,0.7142776250839233
59,03VFuWN4R_Y,14,1,12,46.0,147.0,329.0,202.0,36,0.6604120135307312
60,03VFuWN4R_Y,14,1,13,89.0,1.0,287.0,168.0,0,0.8025321960449219
61,03VFuWN4R_Y,14,1,13,95.0,155.0,361.0,205.0,36,0.7374029755592346
62,03VFuWN4R_Y,14,1,14,75.0,0.0,289.0,135.0,36,0.835938572883606
63,03VFuWN4R_Y,14,1,15,69.0,1.0,260.0,165.0,0,0.7250363230705261
64,03VFuWN4R_Y,14,1,15,54.0,147.0,333.0,199.0,36,0.6916362047195435
65,03VFuWN4R_Y,14,1,16,91.0,1.0,262.0,165.0,0,0.7986156940460205
66,03VFuWN4R_Y,14,1,16,66.0,149.0,349.0,203.0,36,0.7158989310264587
67,03VFuWN4R_Y,14,1,17,90.0,0.0,286.0,166.0,0,0.8115642666816711
68,03VFuWN4R_Y,14,1,17,88.0,155.0,358.0,203.0,36,0.7100168466567993
69,03VFuWN4R_Y,14,1,18,104.0,0.0,283.0,169.0,0,0.6608168482780457
70,03VFuWN4R_Y,14,1,18,104.0,154.0,368.0,204.0,36,0.6560685634613037
71,03VFuWN4R_Y,14,1,19,80.0,0.0,279.0,170.0,36,0.8270938396453857
72,03VFuWN4R_Y,14,1,19,71.0,0.0,278.0,167.0,0,0.40966305136680603
