,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,03u5BWTYiRg,15,0,1,159.0,108.0,275.0,148.0,6,0.6034846901893616
1,03u5BWTYiRg,15,0,1,1.0,92.0,135.0,156.0,6,0.5208311080932617
2,03u5BWTYiRg,15,0,2,158.0,105.0,275.0,148.0,6,0.5699239373207092
3,03u5BWTYiRg,15,0,2,1.0,90.0,133.0,157.0,6,0.44209325313568115
4,03u5BWTYiRg,15,0,3,159.0,101.0,267.0,149.0,6,0.5727935433387756
5,03u5BWTYiRg,15,0,3,53.0,102.0,135.0,156.0,6,0.5605263710021973
6,03u5BWTYiRg,15,0,4,158.0,103.0,267.0,154.0,6,0.7796528339385986
7,03u5BWTYiRg,15,0,4,1.0,89.0,135.0,161.0,6,0.5286738872528076
8,03u5BWTYiRg,15,0,4,51.0,103.0,135.0,159.0,6,0.4912708103656769
9,03u5BWTYiRg,15,0,5,46.0,103.0,127.0,160.0,6,0.59841388463974
10,03u5BWTYiRg,15,0,5,0.0,87.0,127.0,165.0,6,0.4722295105457306
11,03u5BWTYiRg,15,0,5,152.0,100.0,257.0,154.0,6,0.45889928936958313
12,03u5BWTYiRg,15,0,6,46.0,102.0,128.0,158.0,6,0.7276507019996643
13,03u5BWTYiRg,15,0,6,151.0,101.0,253.0,154.0,6,0.6771897673606873
14,03u5BWTYiRg,15,0,7,137.0,97.0,235.0,149.0,6,0.8037786483764648
15,03u5BWTYiRg,15,0,7,34.0,98.0,115.0,152.0,6,0.7757060527801514
16,03u5BWTYiRg,15,0,7,0.0,91.0,38.0,153.0,6,0.46815502643585205
17,03u5BWTYiRg,15,0,8,32.0,93.0,116.0,153.0,6,0.5963767766952515
18,03u5BWTYiRg,15,0,9,27.0,89.0,120.0,148.0,6,0.6386411786079407
19,03u5BWTYiRg,15,0,9,142.0,91.0,255.0,152.0,6,0.5961059927940369
20,03u5BWTYiRg,15,0,10,0.0,91.0,125.0,164.0,6,0.7366383075714111
21,03u5BWTYiRg,15,0,10,151.0,99.0,254.0,164.0,6,0.4865162968635559
22,03u5BWTYiRg,15,0,11,162.0,104.0,269.0,175.0,6,0.788061797618866
23,03u5BWTYiRg,15,0,11,0.0,85.0,135.0,173.0,6,0.6621002554893494
24,03u5BWTYiRg,15,0,12,63.0,114.0,143.0,170.0,6,0.7984887957572937
25,03u5BWTYiRg,15,0,13,54.0,111.0,137.0,168.0,6,0.6136213541030884
26,03u5BWTYiRg,15,0,13,140.0,103.0,282.0,177.0,6,0.48897355794906616
27,03u5BWTYiRg,15,0,14,49.0,114.0,122.0,171.0,6,0.48718464374542236
28,03u5BWTYiRg,15,0,14,187.0,108.0,267.0,169.0,6,0.4676862359046936
29,03u5BWTYiRg,15,0,14,116.0,100.0,199.0,181.0,6,0.43312886357307434
30,03u5BWTYiRg,15,0,14,0.0,94.0,124.0,174.0,6,0.4069526195526123
31,03u5BWTYiRg,15,0,15,0.0,83.0,114.0,172.0,6,0.709111750125885
32,03u5BWTYiRg,15,0,16,76.0,99.0,299.0,186.0,6,0.5330778360366821
33,03u5BWTYiRg,15,0,16,0.0,92.0,92.0,173.0,6,0.5062974691390991
34,03u5BWTYiRg,15,0,17,0.0,114.0,78.0,172.0,6,0.44861671328544617
35,03u5BWTYiRg,15,0,17,65.0,98.0,164.0,192.0,6,0.4267406761646271
36,03u5BWTYiRg,15,1,1,0.0,50.0,302.0,212.0,6,0.5983638763427734
37,03u5BWTYiRg,15,1,2,1.0,50.0,297.0,211.0,6,0.5697438716888428
38,03u5BWTYiRg,15,1,3,25.0,144.0,46.0,206.0,0,0.5384530425071716
39,03u5BWTYiRg,15,1,3,2.0,54.0,295.0,214.0,6,0.45228058099746704
40,03u5BWTYiRg,15,1,4,26.0,146.0,49.0,214.0,0,0.7812433838844299
41,03u5BWTYiRg,15,1,4,3.0,51.0,299.0,215.0,6,0.609442949295044
42,03u5BWTYiRg,15,1,5,18.0,143.0,41.0,210.0,0,0.5856001377105713
43,03u5BWTYiRg,15,1,5,0.0,55.0,302.0,212.0,6,0.5681450366973877
44,03u5BWTYiRg,15,1,6,6.0,51.0,313.0,214.0,6,0.6936613321304321
45,03u5BWTYiRg,15,1,6,19.0,144.0,40.0,210.0,0,0.4738489091396332
46,03u5BWTYiRg,15,1,7,0.0,56.0,304.0,203.0,6,0.7015535831451416
47,03u5BWTYiRg,15,1,7,17.0,145.0,38.0,214.0,0,0.4018377661705017
48,03u5BWTYiRg,15,1,8,12.0,149.0,30.0,180.0,0,0.5760914087295532
49,03u5BWTYiRg,15,1,8,8.0,66.0,287.0,217.0,6,0.5273100137710571
50,03u5BWTYiRg,15,1,9,0.0,66.0,302.0,218.0,6,0.6128416061401367
51,03u5BWTYiRg,15,1,10,75.0,109.0,90.0,124.0,9,0.6741008758544922
52,03u5BWTYiRg,15,1,10,0.0,73.0,306.0,219.0,6,0.48456892371177673
53,03u5BWTYiRg,15,1,12,154.0,105.0,169.0,119.0,9,0.5867787599563599
54,03u5BWTYiRg,15,1,12,219.0,147.0,243.0,214.0,0,0.5642638802528381
55,03u5BWTYiRg,15,1,13,0.0,114.0,123.0,185.0,6,0.40625640749931335
56,03u5BWTYiRg,15,1,16,303.0,84.0,320.0,101.0,9,0.5388625264167786
57,03u5BWTYiRg,15,1,18,6.0,97.0,320.0,185.0,6,0.43680539727211
58,03u5BWTYiRg,15,1,19,3.0,102.0,310.0,179.0,6,0.47696155309677124
