,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,05DY96RM6YQ,0,0,1,255.0,96.0,480.0,252.0,62,0.7236797213554382
1,05DY96RM6YQ,0,0,1,1.0,18.0,229.0,359.0,0,0.5253893733024597
2,05DY96RM6YQ,0,0,1,298.0,159.0,306.0,174.0,0,0.41980093717575073
3,05DY96RM6YQ,0,0,2,257.0,95.0,480.0,257.0,62,0.753986120223999
4,05DY96RM6YQ,0,0,2,0.0,21.0,230.0,356.0,0,0.6310332417488098
5,05DY96RM6YQ,0,0,3,267.0,107.0,480.0,284.0,62,0.7579572796821594
6,05DY96RM6YQ,0,0,3,295.0,171.0,305.0,190.0,0,0.5369365215301514
7,05DY96RM6YQ,0,0,3,416.0,154.0,430.0,179.0,0,0.42373406887054443
8,05DY96RM6YQ,0,0,4,257.0,106.0,478.0,284.0,62,0.7681653499603271
9,05DY96RM6YQ,0,0,4,295.0,167.0,306.0,190.0,0,0.409122109413147
10,05DY96RM6YQ,0,0,5,247.0,100.0,480.0,286.0,62,0.7342458367347717
11,05DY96RM6YQ,0,0,5,296.0,165.0,305.0,186.0,0,0.47890686988830566
12,05DY96RM6YQ,0,0,6,253.0,95.0,476.0,285.0,62,0.7180442810058594
13,05DY96RM6YQ,0,0,6,294.0,163.0,304.0,185.0,0,0.5698591470718384
14,05DY96RM6YQ,0,0,6,12.0,8.0,296.0,355.0,0,0.507522463798523
15,05DY96RM6YQ,0,0,7,260.0,90.0,480.0,261.0,62,0.7426291108131409
16,05DY96RM6YQ,0,0,7,68.0,5.0,291.0,358.0,0,0.645832896232605
17,05DY96RM6YQ,0,0,7,298.0,156.0,307.0,175.0,0,0.4351641535758972
18,05DY96RM6YQ,0,0,8,261.0,93.0,478.0,277.0,62,0.7593552470207214
19,05DY96RM6YQ,0,0,8,14.0,5.0,285.0,355.0,0,0.6568408012390137
20,05DY96RM6YQ,0,0,8,294.0,160.0,304.0,181.0,0,0.5614222288131714
21,05DY96RM6YQ,0,0,8,416.0,146.0,428.0,169.0,0,0.4911362826824188
22,05DY96RM6YQ,0,0,9,254.0,101.0,480.0,270.0,62,0.8198621869087219
23,05DY96RM6YQ,0,0,9,416.0,144.0,429.0,168.0,0,0.5160194039344788
24,05DY96RM6YQ,0,0,10,259.0,95.0,480.0,270.0,62,0.8663321733474731
25,05DY96RM6YQ,0,0,10,295.0,163.0,304.0,181.0,0,0.49801895022392273
26,05DY96RM6YQ,0,0,10,126.0,1.0,278.0,353.0,0,0.42778611183166504
27,05DY96RM6YQ,0,0,11,260.0,92.0,480.0,265.0,62,0.8493652939796448
28,05DY96RM6YQ,0,0,11,97.0,0.0,278.0,354.0,0,0.6123960018157959
29,05DY96RM6YQ,0,0,11,298.0,157.0,310.0,176.0,0,0.45185941457748413
30,05DY96RM6YQ,0,0,12,258.0,91.0,480.0,262.0,62,0.7071095705032349
31,05DY96RM6YQ,0,0,12,3.0,11.0,282.0,354.0,0,0.5679292678833008
32,05DY96RM6YQ,0,0,13,261.0,89.0,480.0,266.0,62,0.6492281556129456
33,05DY96RM6YQ,0,0,13,2.0,7.0,301.0,348.0,0,0.4978516101837158
34,05DY96RM6YQ,0,0,14,355.0,51.0,480.0,214.0,62,0.8379244208335876
35,05DY96RM6YQ,0,0,15,368.0,40.0,480.0,209.0,62,0.7852697372436523
36,05DY96RM6YQ,0,0,16,348.0,12.0,480.0,218.0,62,0.6306793689727783
37,05DY96RM6YQ,0,0,16,462.0,244.0,478.0,284.0,39,0.4003291726112366
38,05DY96RM6YQ,0,0,17,361.0,50.0,480.0,208.0,62,0.6930087208747864
39,05DY96RM6YQ,0,0,18,311.0,74.0,480.0,236.0,62,0.47531670331954956
