,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0B6fs4Xh3ao,7,0,1,290.0,66.0,479.0,278.0,15,0.6918110251426697
1,0B6fs4Xh3ao,7,0,1,73.0,193.0,187.0,333.0,15,0.43033599853515625
2,0B6fs4Xh3ao,7,0,2,290.0,66.0,479.0,278.0,15,0.6918110251426697
3,0B6fs4Xh3ao,7,0,2,73.0,193.0,187.0,333.0,15,0.43033599853515625
4,0B6fs4Xh3ao,7,0,3,333.0,73.0,480.0,265.0,15,0.6675265431404114
5,0B6fs4Xh3ao,7,0,3,111.0,175.0,221.0,319.0,15,0.6110207438468933
6,0B6fs4Xh3ao,7,0,4,338.0,61.0,480.0,238.0,15,0.7177743315696716
7,0B6fs4Xh3ao,7,0,4,107.0,163.0,231.0,290.0,15,0.6590890288352966
8,0B6fs4Xh3ao,7,0,5,312.0,28.0,480.0,198.0,15,0.7792420983314514
9,0B6fs4Xh3ao,7,0,5,48.0,146.0,218.0,282.0,15,0.43990081548690796
10,0B6fs4Xh3ao,7,0,6,0.0,58.0,185.0,240.0,15,0.8183563351631165
11,0B6fs4Xh3ao,7,0,6,291.0,28.0,479.0,205.0,15,0.5448888540267944
12,0B6fs4Xh3ao,7,0,7,1.0,31.0,185.0,216.0,15,0.8283889293670654
13,0B6fs4Xh3ao,7,0,7,289.0,15.0,480.0,198.0,15,0.4752669334411621
14,0B6fs4Xh3ao,7,0,8,280.0,27.0,480.0,213.0,15,0.6913813948631287
15,0B6fs4Xh3ao,7,0,8,0.0,39.0,184.0,232.0,15,0.6800814867019653
16,0B6fs4Xh3ao,7,0,9,265.0,50.0,480.0,226.0,16,0.414111465215683
17,0B6fs4Xh3ao,7,0,10,267.0,39.0,480.0,234.0,15,0.7812836170196533
18,0B6fs4Xh3ao,7,0,10,42.0,72.0,216.0,239.0,77,0.5849756002426147
19,0B6fs4Xh3ao,7,0,11,292.0,62.0,480.0,223.0,15,0.5946932435035706
20,0B6fs4Xh3ao,7,0,12,305.0,32.0,480.0,205.0,15,0.8609118461608887
21,0B6fs4Xh3ao,7,0,12,8.0,112.0,265.0,244.0,15,0.5466729998588562
22,0B6fs4Xh3ao,7,0,13,112.0,73.0,278.0,253.0,15,0.7746783494949341
23,0B6fs4Xh3ao,7,0,13,350.0,6.0,480.0,207.0,15,0.4484618008136749
24,0B6fs4Xh3ao,7,0,13,351.0,10.0,480.0,208.0,16,0.40754273533821106
25,0B6fs4Xh3ao,7,0,14,84.0,74.0,252.0,258.0,15,0.8809802532196045
26,0B6fs4Xh3ao,7,0,14,296.0,20.0,480.0,208.0,15,0.7664526700973511
27,0B6fs4Xh3ao,7,0,15,75.0,109.0,241.0,289.0,15,0.8312855362892151
28,0B6fs4Xh3ao,7,0,15,281.0,69.0,479.0,247.0,15,0.799540638923645
29,0B6fs4Xh3ao,7,0,16,277.0,55.0,480.0,247.0,15,0.8016887307167053
30,0B6fs4Xh3ao,7,0,16,71.0,104.0,238.0,287.0,15,0.8008440732955933
31,0B6fs4Xh3ao,7,0,17,72.0,97.0,238.0,281.0,15,0.894088625907898
32,0B6fs4Xh3ao,7,0,17,278.0,48.0,480.0,240.0,15,0.8302172422409058
33,0B6fs4Xh3ao,7,0,18,76.0,99.0,240.0,283.0,15,0.8706084489822388
34,0B6fs4Xh3ao,7,0,18,280.0,52.0,480.0,243.0,15,0.7769773602485657
35,0B6fs4Xh3ao,7,0,19,285.0,45.0,480.0,244.0,15,0.7803104519844055
36,0B6fs4Xh3ao,7,0,19,78.0,112.0,246.0,279.0,15,0.6649603843688965
