,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0BUPQDR99KY,5,0,1,29.0,176.0,134.0,245.0,21,0.7756838202476501
1,0BUPQDR99KY,5,0,1,453.0,108.0,480.0,187.0,21,0.4476425051689148
2,0BUPQDR99KY,5,0,2,29.0,175.0,132.0,246.0,21,0.8440941572189331
3,0BUPQDR99KY,5,0,2,177.0,173.0,284.0,231.0,21,0.4777904450893402
4,0BUPQDR99KY,5,0,2,452.0,114.0,480.0,189.0,21,0.46104902029037476
5,0BUPQDR99KY,5,0,3,83.0,146.0,185.0,220.0,21,0.8493295907974243
6,0BUPQDR99KY,5,0,4,196.0,163.0,296.0,232.0,21,0.825603723526001
7,0BUPQDR99KY,5,0,5,239.0,136.0,339.0,203.0,21,0.8723934888839722
8,0BUPQDR99KY,5,0,6,209.0,114.0,337.0,201.0,21,0.8251990079879761
9,0BUPQDR99KY,5,0,7,156.0,142.0,284.0,229.0,21,0.7978927493095398
10,0BUPQDR99KY,5,0,8,159.0,194.0,291.0,285.0,21,0.7922436594963074
11,0BUPQDR99KY,5,0,9,173.0,170.0,306.0,255.0,21,0.8180743455886841
12,0BUPQDR99KY,5,0,10,169.0,137.0,275.0,209.0,21,0.7605265974998474
13,0BUPQDR99KY,5,0,11,172.0,147.0,262.0,204.0,21,0.8741312623023987
14,0BUPQDR99KY,5,0,12,181.0,153.0,256.0,198.0,21,0.7523571848869324
15,0BUPQDR99KY,5,0,13,194.0,161.0,277.0,199.0,21,0.5504195094108582
16,0BUPQDR99KY,5,0,14,201.0,162.0,244.0,195.0,21,0.8262843489646912
17,0BUPQDR99KY,5,0,15,178.0,170.0,220.0,203.0,21,0.5768285393714905
18,0BUPQDR99KY,5,0,17,220.0,99.0,274.0,145.0,21,0.60426926612854
