,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0CqPmLOxG54,11,0,1,48.0,3.0,228.0,194.0,0,0.4075504243373871
1,0CqPmLOxG54,11,0,2,48.0,0.0,229.0,197.0,0,0.4974345564842224
2,0CqPmLOxG54,11,0,3,3.0,23.0,319.0,236.0,3,0.5434176921844482
3,0CqPmLOxG54,11,0,4,1.0,40.0,317.0,235.0,3,0.43815118074417114
4,0CqPmLOxG54,11,0,5,156.0,49.0,217.0,139.0,3,0.631650984287262
5,0CqPmLOxG54,11,0,5,155.0,3.0,223.0,113.0,0,0.5050522685050964
6,0CqPmLOxG54,11,0,5,160.0,11.0,213.0,68.0,24,0.4176771342754364
7,0CqPmLOxG54,11,0,7,44.0,48.0,76.0,111.0,3,0.7212371230125427
8,0CqPmLOxG54,11,0,7,37.0,12.0,81.0,86.0,0,0.6966007947921753
9,0CqPmLOxG54,11,0,7,25.0,30.0,44.0,49.0,2,0.6699630618095398
10,0CqPmLOxG54,11,0,7,0.0,47.0,18.0,98.0,3,0.619128406047821
11,0CqPmLOxG54,11,0,7,0.0,18.0,17.0,80.0,0,0.5090913772583008
12,0CqPmLOxG54,11,0,8,5.0,82.0,30.0,103.0,2,0.7066017389297485
13,0CqPmLOxG54,11,0,8,35.0,114.0,104.0,233.0,3,0.5918449759483337
14,0CqPmLOxG54,11,0,8,46.0,66.0,98.0,188.0,0,0.5424088835716248
15,0CqPmLOxG54,11,0,9,179.0,13.0,320.0,239.0,0,0.812031626701355
16,0CqPmLOxG54,11,0,9,1.0,51.0,74.0,174.0,0,0.7963433265686035
17,0CqPmLOxG54,11,0,9,75.0,91.0,117.0,157.0,3,0.7447115778923035
18,0CqPmLOxG54,11,0,9,10.0,94.0,80.0,231.0,3,0.7203251123428345
19,0CqPmLOxG54,11,0,9,71.0,62.0,116.0,142.0,0,0.6770297288894653
20,0CqPmLOxG54,11,0,10,21.0,67.0,50.0,93.0,2,0.823630690574646
