,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0Ev3yTMZ4OY,14,0,3,202.0,131.0,272.0,160.0,2,0.6622118949890137
1,0Ev3yTMZ4OY,14,0,3,82.0,120.0,102.0,131.0,2,0.4352458715438843
2,0Ev3yTMZ4OY,14,0,4,243.0,147.0,320.0,183.0,2,0.5153495669364929
3,0Ev3yTMZ4OY,14,0,4,96.0,126.0,124.0,141.0,2,0.4868098497390747
4,0Ev3yTMZ4OY,14,0,5,205.0,103.0,273.0,162.0,36,0.7750354409217834
5,0Ev3yTMZ4OY,14,0,5,210.0,6.0,320.0,170.0,0,0.5157967805862427
6,0Ev3yTMZ4OY,14,0,6,200.0,5.0,318.0,216.0,0,0.933687150478363
7,0Ev3yTMZ4OY,14,0,7,188.0,83.0,309.0,233.0,0,0.47185924649238586
8,0Ev3yTMZ4OY,14,0,8,237.0,17.0,320.0,56.0,2,0.8143024444580078
9,0Ev3yTMZ4OY,14,0,8,141.0,6.0,166.0,70.0,0,0.812829315662384
10,0Ev3yTMZ4OY,14,0,9,242.0,39.0,320.0,79.0,2,0.840916633605957
11,0Ev3yTMZ4OY,14,0,9,129.0,31.0,162.0,91.0,0,0.8233689665794373
12,0Ev3yTMZ4OY,14,0,10,224.0,55.0,292.0,84.0,2,0.8619226217269897
13,0Ev3yTMZ4OY,14,0,10,112.0,36.0,139.0,107.0,0,0.8380854725837708
14,0Ev3yTMZ4OY,14,0,10,207.0,54.0,240.0,78.0,2,0.5663928389549255
15,0Ev3yTMZ4OY,14,0,11,124.0,18.0,162.0,120.0,0,0.8605597615242004
16,0Ev3yTMZ4OY,14,0,11,58.0,5.0,90.0,103.0,0,0.8108735084533691
17,0Ev3yTMZ4OY,14,0,11,119.0,112.0,152.0,125.0,36,0.6962483525276184
18,0Ev3yTMZ4OY,14,0,11,295.0,53.0,320.0,78.0,2,0.6549672484397888
19,0Ev3yTMZ4OY,14,0,11,0.0,94.0,104.0,160.0,13,0.4382893741130829
20,0Ev3yTMZ4OY,14,0,11,96.0,75.0,115.0,99.0,0,0.4213690161705017
21,0Ev3yTMZ4OY,14,0,12,45.0,113.0,254.0,180.0,13,0.4636726975440979
22,0Ev3yTMZ4OY,14,0,13,1.0,2.0,132.0,213.0,0,0.9065483808517456
23,0Ev3yTMZ4OY,14,0,13,0.0,200.0,125.0,231.0,36,0.7492229342460632
24,0Ev3yTMZ4OY,14,0,13,221.0,116.0,320.0,234.0,13,0.5365315079689026
25,0Ev3yTMZ4OY,14,0,14,153.0,1.0,217.0,128.0,0,0.8626415729522705
26,0Ev3yTMZ4OY,14,0,14,111.0,116.0,206.0,145.0,36,0.8037456274032593
27,0Ev3yTMZ4OY,14,0,15,138.0,1.0,204.0,137.0,0,0.9156574010848999
28,0Ev3yTMZ4OY,14,0,15,120.0,129.0,214.0,152.0,36,0.7422270178794861
29,0Ev3yTMZ4OY,14,0,16,132.0,2.0,203.0,141.0,0,0.9136519432067871
30,0Ev3yTMZ4OY,14,0,16,111.0,132.0,207.0,165.0,36,0.8007918000221252
31,0Ev3yTMZ4OY,14,0,17,133.0,0.0,205.0,140.0,0,0.9019768834114075
32,0Ev3yTMZ4OY,14,0,17,118.0,124.0,211.0,155.0,36,0.8384984135627747
33,0Ev3yTMZ4OY,14,0,18,118.0,0.0,193.0,119.0,0,0.8730459213256836
34,0Ev3yTMZ4OY,14,0,18,108.0,110.0,202.0,144.0,36,0.8318702578544617
35,0Ev3yTMZ4OY,14,0,19,143.0,2.0,233.0,123.0,0,0.8691548109054565
36,0Ev3yTMZ4OY,14,0,19,110.0,107.0,206.0,142.0,36,0.8466923236846924
