,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0EvSUpHltnM,0,0,1,135.0,74.0,462.0,356.0,0,0.5325571894645691
1,0EvSUpHltnM,0,0,2,136.0,73.0,465.0,353.0,0,0.5573024749755859
2,0EvSUpHltnM,0,0,3,149.0,70.0,450.0,349.0,0,0.7977133393287659
3,0EvSUpHltnM,0,0,4,150.0,63.0,452.0,350.0,0,0.5669382214546204
4,0EvSUpHltnM,0,0,5,173.0,30.0,460.0,349.0,0,0.6445133090019226
5,0EvSUpHltnM,0,0,6,228.0,143.0,289.0,252.0,0,0.7971175909042358
6,0EvSUpHltnM,0,0,6,259.0,310.0,361.0,354.0,0,0.751388430595398
7,0EvSUpHltnM,0,0,6,289.0,140.0,348.0,255.0,0,0.740939736366272
8,0EvSUpHltnM,0,0,6,407.0,309.0,480.0,355.0,0,0.5833802223205566
9,0EvSUpHltnM,0,0,6,443.0,76.0,480.0,262.0,0,0.44387680292129517
10,0EvSUpHltnM,0,0,7,2.0,67.0,51.0,219.0,0,0.8385737538337708
11,0EvSUpHltnM,0,0,7,184.0,135.0,245.0,246.0,0,0.8183824419975281
12,0EvSUpHltnM,0,0,7,244.0,132.0,301.0,249.0,0,0.7304165959358215
13,0EvSUpHltnM,0,0,7,206.0,306.0,312.0,356.0,0,0.7260809540748596
14,0EvSUpHltnM,0,0,7,443.0,288.0,480.0,355.0,0,0.7069962620735168
15,0EvSUpHltnM,0,0,7,358.0,303.0,444.0,355.0,0,0.6299785375595093
16,0EvSUpHltnM,0,0,8,165.0,145.0,230.0,253.0,0,0.795903205871582
17,0EvSUpHltnM,0,0,8,227.0,141.0,288.0,258.0,0,0.7918859720230103
18,0EvSUpHltnM,0,0,8,197.0,313.0,296.0,354.0,0,0.6453949809074402
19,0EvSUpHltnM,0,0,8,428.0,297.0,480.0,355.0,0,0.6094129085540771
20,0EvSUpHltnM,0,0,8,346.0,310.0,431.0,354.0,0,0.49035340547561646
21,0EvSUpHltnM,0,0,9,181.0,269.0,268.0,354.0,0,0.7969961166381836
22,0EvSUpHltnM,0,0,9,146.0,147.0,194.0,228.0,0,0.7541812062263489
23,0EvSUpHltnM,0,0,9,346.0,256.0,426.0,354.0,0,0.7248024940490723
24,0EvSUpHltnM,0,0,9,195.0,144.0,238.0,231.0,0,0.598446249961853
25,0EvSUpHltnM,0,0,9,277.0,267.0,367.0,354.0,0,0.5830926299095154
26,0EvSUpHltnM,0,0,10,209.0,220.0,290.0,352.0,0,0.6105290055274963
27,0EvSUpHltnM,0,0,10,94.0,231.0,208.0,354.0,0,0.5312045216560364
28,0EvSUpHltnM,0,0,10,8.0,308.0,90.0,354.0,0,0.4974595606327057
29,0EvSUpHltnM,0,0,10,88.0,149.0,122.0,203.0,0,0.4391442537307739
30,0EvSUpHltnM,0,0,11,1.0,194.0,102.0,352.0,0,0.7937617897987366
31,0EvSUpHltnM,0,0,11,319.0,169.0,439.0,345.0,0,0.7661178708076477
32,0EvSUpHltnM,0,0,11,195.0,182.0,322.0,355.0,0,0.592743456363678
33,0EvSUpHltnM,0,0,11,135.0,170.0,241.0,332.0,0,0.5024217963218689
34,0EvSUpHltnM,0,0,11,400.0,126.0,478.0,216.0,0,0.4335411787033081
35,0EvSUpHltnM,0,0,11,240.0,130.0,299.0,201.0,0,0.40580251812934875
36,0EvSUpHltnM,0,0,12,319.0,190.0,452.0,351.0,0,0.8138324022293091
37,0EvSUpHltnM,0,0,12,0.0,215.0,111.0,349.0,0,0.7976804375648499
38,0EvSUpHltnM,0,0,12,402.0,143.0,480.0,241.0,0,0.6118863224983215
39,0EvSUpHltnM,0,0,12,142.0,190.0,257.0,349.0,0,0.5494149923324585
40,0EvSUpHltnM,0,0,12,242.0,197.0,312.0,309.0,0,0.4824472665786743
41,0EvSUpHltnM,0,0,13,44.0,173.0,67.0,230.0,0,0.6475367546081543
42,0EvSUpHltnM,0,0,13,87.0,245.0,206.0,353.0,0,0.6079087853431702
43,0EvSUpHltnM,0,0,13,4.0,177.0,35.0,231.0,0,0.5669658780097961
44,0EvSUpHltnM,0,0,13,251.0,233.0,354.0,353.0,0,0.5568943023681641
45,0EvSUpHltnM,0,0,13,193.0,137.0,219.0,241.0,0,0.5422551035881042
46,0EvSUpHltnM,0,0,13,326.0,242.0,413.0,353.0,0,0.5257736444473267
47,0EvSUpHltnM,0,0,13,0.0,262.0,64.0,352.0,0,0.49056512117385864
48,0EvSUpHltnM,0,0,14,0.0,263.0,110.0,354.0,0,0.7792455554008484
49,0EvSUpHltnM,0,0,14,182.0,139.0,211.0,247.0,0,0.713860809803009
50,0EvSUpHltnM,0,0,14,311.0,243.0,397.0,354.0,0,0.6921388506889343
51,0EvSUpHltnM,0,0,14,423.0,185.0,477.0,274.0,0,0.6581165790557861
52,0EvSUpHltnM,0,0,14,236.0,277.0,330.0,355.0,0,0.6331323385238647
53,0EvSUpHltnM,0,0,14,81.0,248.0,193.0,355.0,0,0.5774407982826233
