,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0OqnKMwSULM,14,0,1,215.0,86.0,254.0,179.0,0,0.8668913245201111
1,0OqnKMwSULM,14,0,1,205.0,173.0,250.0,188.0,36,0.7957927584648132
2,0OqnKMwSULM,14,0,1,299.0,122.0,313.0,157.0,0,0.6430338025093079
3,0OqnKMwSULM,14,0,2,214.0,86.0,255.0,177.0,0,0.8696057796478271
4,0OqnKMwSULM,14,0,2,204.0,174.0,250.0,188.0,36,0.8143041729927063
5,0OqnKMwSULM,14,0,2,299.0,121.0,313.0,157.0,0,0.6489593386650085
6,0OqnKMwSULM,14,0,2,284.0,125.0,300.0,156.0,0,0.5741255879402161
7,0OqnKMwSULM,14,0,3,96.0,31.0,197.0,172.0,0,0.9175459146499634
8,0OqnKMwSULM,14,0,3,116.0,135.0,132.0,170.0,0,0.6201194524765015
9,0OqnKMwSULM,14,0,4,181.0,97.0,212.0,167.0,0,0.8458216190338135
10,0OqnKMwSULM,14,0,4,96.0,102.0,131.0,163.0,0,0.8310567736625671
11,0OqnKMwSULM,14,0,4,176.0,161.0,204.0,172.0,36,0.6690916419029236
12,0OqnKMwSULM,14,0,4,22.0,127.0,31.0,146.0,0,0.6374735236167908
13,0OqnKMwSULM,14,0,5,92.0,1.0,206.0,149.0,0,0.8906508088111877
14,0OqnKMwSULM,14,0,5,46.0,35.0,72.0,44.0,4,0.4491872191429138
15,0OqnKMwSULM,14,0,6,246.0,113.0,269.0,177.0,0,0.814579963684082
16,0OqnKMwSULM,14,0,6,171.0,131.0,188.0,174.0,0,0.7989673018455505
17,0OqnKMwSULM,14,0,6,187.0,59.0,286.0,196.0,0,0.79742431640625
18,0OqnKMwSULM,14,0,6,183.0,187.0,233.0,205.0,36,0.7082807421684265
19,0OqnKMwSULM,14,0,6,55.0,142.0,68.0,167.0,0,0.47998738288879395
20,0OqnKMwSULM,14,0,7,3.0,107.0,46.0,198.0,0,0.8978220224380493
21,0OqnKMwSULM,14,0,7,144.0,198.0,214.0,215.0,36,0.7299463152885437
22,0OqnKMwSULM,14,0,7,110.0,62.0,209.0,213.0,0,0.7046816945075989
23,0OqnKMwSULM,14,0,7,2.0,192.0,48.0,204.0,36,0.6678194999694824
24,0OqnKMwSULM,14,0,7,143.0,136.0,158.0,173.0,0,0.6332887411117554
25,0OqnKMwSULM,14,0,7,142.0,42.0,168.0,51.0,33,0.5918307304382324
26,0OqnKMwSULM,14,0,7,144.0,201.0,164.0,216.0,36,0.4329388439655304
27,0OqnKMwSULM,14,0,8,195.0,66.0,254.0,178.0,0,0.7321588397026062
28,0OqnKMwSULM,14,0,8,23.0,124.0,35.0,154.0,0,0.7039847373962402
29,0OqnKMwSULM,14,0,8,193.0,169.0,228.0,181.0,36,0.6757916212081909
30,0OqnKMwSULM,14,0,8,4.0,123.0,16.0,151.0,0,0.6573671102523804
31,0OqnKMwSULM,14,0,9,89.0,45.0,178.0,188.0,0,0.8991619944572449
32,0OqnKMwSULM,14,0,9,110.0,183.0,172.0,198.0,36,0.7796319723129272
33,0OqnKMwSULM,14,0,9,249.0,118.0,260.0,145.0,0,0.6569430232048035
34,0OqnKMwSULM,14,0,9,271.0,117.0,282.0,143.0,0,0.5207741856575012
35,0OqnKMwSULM,14,0,9,232.0,118.0,241.0,141.0,0,0.4899243414402008
36,0OqnKMwSULM,14,0,10,110.0,3.0,238.0,132.0,0,0.8802152276039124
37,0OqnKMwSULM,14,0,10,78.0,80.0,100.0,133.0,0,0.7009353041648865
38,0OqnKMwSULM,14,0,10,19.0,96.0,35.0,118.0,0,0.6543712615966797
39,0OqnKMwSULM,14,0,10,136.0,116.0,192.0,142.0,36,0.46090713143348694
