,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0RXv14FY9xs,19,0,1,288.0,0.0,320.0,69.0,0,0.686409592628479
1,0RXv14FY9xs,19,0,2,287.0,0.0,320.0,69.0,0,0.663105309009552
2,0RXv14FY9xs,19,0,3,269.0,1.0,320.0,114.0,0,0.4250720739364624
3,0RXv14FY9xs,19,0,4,234.0,1.0,320.0,146.0,0,0.8053985834121704
4,0RXv14FY9xs,19,0,5,232.0,4.0,320.0,224.0,0,0.6954146027565002
5,0RXv14FY9xs,19,0,5,24.0,55.0,245.0,203.0,16,0.4159417152404785
6,0RXv14FY9xs,19,0,7,98.0,47.0,217.0,233.0,16,0.469250351190567
7,0RXv14FY9xs,19,0,14,11.0,0.0,91.0,107.0,58,0.8121417760848999
8,0RXv14FY9xs,19,0,14,116.0,81.0,221.0,236.0,16,0.46227893233299255
9,0RXv14FY9xs,19,0,15,189.0,0.0,238.0,42.0,3,0.46896034479141235
10,0RXv14FY9xs,19,0,15,54.0,48.0,125.0,121.0,58,0.4052315056324005
11,0RXv14FY9xs,19,0,16,49.0,2.0,135.0,85.0,58,0.7302613854408264
12,0RXv14FY9xs,19,0,16,97.0,65.0,229.0,235.0,16,0.5956234931945801
