,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0U9k80fuieY,0,0,1,162.0,208.0,363.0,295.0,2,0.8265116214752197
1,0U9k80fuieY,0,0,1,153.0,230.0,258.0,356.0,0,0.5181348323822021
2,0U9k80fuieY,0,0,1,391.0,231.0,504.0,326.0,2,0.4250018298625946
3,0U9k80fuieY,0,0,2,169.0,208.0,362.0,296.0,2,0.8074566125869751
4,0U9k80fuieY,0,0,2,392.0,232.0,503.0,325.0,2,0.663548469543457
5,0U9k80fuieY,0,0,2,156.0,241.0,273.0,357.0,0,0.5849508047103882
6,0U9k80fuieY,0,0,5,1.0,4.0,339.0,357.0,0,0.47622597217559814
7,0U9k80fuieY,0,0,5,333.0,0.0,540.0,354.0,0,0.4040989279747009
8,0U9k80fuieY,0,0,6,321.0,116.0,343.0,146.0,2,0.6259254217147827
9,0U9k80fuieY,0,0,6,311.0,45.0,539.0,352.0,0,0.4785488247871399
10,0U9k80fuieY,0,0,8,290.0,90.0,487.0,355.0,0,0.7751069664955139
11,0U9k80fuieY,0,0,8,471.0,127.0,539.0,177.0,2,0.5482565760612488
12,0U9k80fuieY,0,0,10,361.0,139.0,442.0,184.0,2,0.7541115880012512
13,0U9k80fuieY,0,0,12,328.0,65.0,527.0,199.0,6,0.40167632699012756
14,0U9k80fuieY,0,0,13,342.0,113.0,540.0,253.0,2,0.49321532249450684
15,0U9k80fuieY,0,0,14,0.0,4.0,472.0,348.0,0,0.4165680408477783
16,0U9k80fuieY,0,0,15,468.0,176.0,539.0,211.0,2,0.4751656949520111
17,0U9k80fuieY,0,0,16,304.0,140.0,540.0,242.0,2,0.7833297252655029
18,0U9k80fuieY,0,0,19,496.0,202.0,540.0,234.0,2,0.6611455082893372
19,0U9k80fuieY,0,0,19,365.0,199.0,454.0,233.0,2,0.4237646460533142
20,0U9k80fuieY,0,0,19,259.0,246.0,358.0,356.0,67,0.4113490879535675
