,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0VKozmEWjZ4,0,0,1,266.0,67.0,319.0,232.0,0,0.7753764986991882
1,0VKozmEWjZ4,0,0,1,3.0,5.0,138.0,239.0,0,0.6838968992233276
2,0VKozmEWjZ4,0,0,1,163.0,45.0,228.0,235.0,0,0.6266962885856628
3,0VKozmEWjZ4,0,0,2,2.0,5.0,136.0,237.0,0,0.7886988520622253
4,0VKozmEWjZ4,0,0,2,266.0,67.0,319.0,229.0,0,0.7743274569511414
5,0VKozmEWjZ4,0,0,2,164.0,47.0,228.0,235.0,0,0.6222530603408813
6,0VKozmEWjZ4,0,0,3,259.0,76.0,319.0,237.0,0,0.8319394588470459
7,0VKozmEWjZ4,0,0,3,157.0,51.0,219.0,239.0,0,0.8305236101150513
8,0VKozmEWjZ4,0,0,3,2.0,7.0,130.0,229.0,0,0.5863744020462036
9,0VKozmEWjZ4,0,0,4,158.0,52.0,218.0,238.0,0,0.8815432190895081
10,0VKozmEWjZ4,0,0,4,263.0,75.0,320.0,236.0,0,0.8384274244308472
11,0VKozmEWjZ4,0,0,4,0.0,37.0,54.0,237.0,0,0.602687418460846
12,0VKozmEWjZ4,0,0,5,157.0,44.0,221.0,237.0,0,0.868591845035553
13,0VKozmEWjZ4,0,0,5,260.0,73.0,320.0,233.0,0,0.7461245059967041
14,0VKozmEWjZ4,0,0,5,1.0,21.0,92.0,235.0,0,0.5542675256729126
15,0VKozmEWjZ4,0,0,6,265.0,69.0,320.0,233.0,0,0.8756415843963623
16,0VKozmEWjZ4,0,0,6,160.0,46.0,223.0,237.0,0,0.8544360995292664
17,0VKozmEWjZ4,0,0,6,10.0,20.0,132.0,237.0,0,0.6339043974876404
18,0VKozmEWjZ4,0,0,7,267.0,68.0,320.0,235.0,0,0.8869592547416687
19,0VKozmEWjZ4,0,0,7,161.0,42.0,225.0,237.0,0,0.7948446869850159
20,0VKozmEWjZ4,0,0,7,37.0,37.0,120.0,237.0,0,0.6896649599075317
21,0VKozmEWjZ4,0,0,8,158.0,45.0,223.0,236.0,0,0.8061679601669312
22,0VKozmEWjZ4,0,0,8,264.0,73.0,319.0,234.0,0,0.7919261455535889
23,0VKozmEWjZ4,0,0,8,8.0,49.0,123.0,239.0,0,0.7069891691207886
24,0VKozmEWjZ4,0,0,9,3.0,40.0,133.0,240.0,0,0.8394076228141785
25,0VKozmEWjZ4,0,0,9,259.0,64.0,318.0,228.0,0,0.8358225226402283
26,0VKozmEWjZ4,0,0,9,153.0,43.0,219.0,233.0,0,0.793889045715332
27,0VKozmEWjZ4,0,0,10,157.0,19.0,219.0,211.0,0,0.8658749461174011
28,0VKozmEWjZ4,0,0,10,261.0,39.0,320.0,196.0,0,0.7962105870246887
29,0VKozmEWjZ4,0,0,10,2.0,9.0,95.0,222.0,0,0.666195273399353
30,0VKozmEWjZ4,0,0,11,245.0,44.0,318.0,194.0,0,0.8670838475227356
31,0VKozmEWjZ4,0,0,11,0.0,27.0,55.0,231.0,0,0.866231381893158
32,0VKozmEWjZ4,0,0,11,142.0,23.0,198.0,210.0,0,0.6508336663246155
33,0VKozmEWjZ4,0,0,12,235.0,42.0,315.0,184.0,0,0.8845546245574951
34,0VKozmEWjZ4,0,0,12,0.0,20.0,69.0,222.0,0,0.8117259740829468
35,0VKozmEWjZ4,0,0,12,90.0,47.0,192.0,207.0,0,0.5089948773384094
36,0VKozmEWjZ4,0,0,12,298.0,47.0,320.0,73.0,34,0.43616983294487
37,0VKozmEWjZ4,0,0,13,249.0,54.0,300.0,194.0,0,0.878564178943634
38,0VKozmEWjZ4,0,0,13,152.0,41.0,216.0,215.0,0,0.7540040612220764
39,0VKozmEWjZ4,0,0,13,2.0,17.0,101.0,237.0,0,0.6684097051620483
40,0VKozmEWjZ4,0,0,14,235.0,67.0,304.0,201.0,0,0.7594035863876343
41,0VKozmEWjZ4,0,0,14,41.0,15.0,168.0,237.0,0,0.5593212246894836
42,0VKozmEWjZ4,0,0,14,133.0,39.0,221.0,217.0,0,0.5249221324920654
43,0VKozmEWjZ4,0,0,14,188.0,36.0,236.0,161.0,0,0.40620458126068115
44,0VKozmEWjZ4,0,0,15,14.0,11.0,142.0,237.0,0,0.7587708830833435
45,0VKozmEWjZ4,0,0,15,214.0,66.0,271.0,210.0,0,0.7305415272712708
46,0VKozmEWjZ4,0,0,16,214.0,66.0,284.0,208.0,0,0.6705073714256287
47,0VKozmEWjZ4,0,0,16,162.0,40.0,233.0,220.0,0,0.6654642820358276
48,0VKozmEWjZ4,0,0,17,172.0,32.0,227.0,226.0,0,0.7167672514915466
49,0VKozmEWjZ4,0,0,17,224.0,50.0,314.0,204.0,0,0.71198570728302
50,0VKozmEWjZ4,0,0,17,27.0,7.0,151.0,224.0,0,0.6671393513679504
51,0VKozmEWjZ4,0,0,18,222.0,49.0,307.0,203.0,0,0.6658199429512024
52,0VKozmEWjZ4,0,0,18,13.0,3.0,137.0,230.0,0,0.6595756411552429
53,0VKozmEWjZ4,0,0,18,170.0,30.0,231.0,224.0,0,0.5154623985290527
54,0VKozmEWjZ4,0,0,19,225.0,71.0,313.0,220.0,0,0.7642554640769958
55,0VKozmEWjZ4,0,0,19,21.0,19.0,119.0,240.0,0,0.5844876766204834
56,0VKozmEWjZ4,0,0,19,179.0,46.0,243.0,233.0,0,0.5823974609375
