,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0VaX_g70BaY,11,0,5,129.0,37.0,236.0,118.0,67,0.5713066458702087
1,0VaX_g70BaY,11,0,9,0.0,0.0,36.0,177.0,0,0.7357210516929626
2,0VaX_g70BaY,11,0,10,0.0,0.0,51.0,158.0,0,0.6089381575584412
3,0VaX_g70BaY,11,0,11,436.0,19.0,468.0,39.0,2,0.46544039249420166
4,0VaX_g70BaY,11,0,11,417.0,128.0,480.0,252.0,28,0.43194153904914856
5,0VaX_g70BaY,11,0,12,0.0,0.0,69.0,179.0,0,0.7259366512298584
6,0VaX_g70BaY,11,0,13,0.0,1.0,100.0,196.0,0,0.7559139132499695
7,0VaX_g70BaY,11,0,14,0.0,2.0,81.0,192.0,0,0.5994150638580322
8,0VaX_g70BaY,11,0,15,0.0,0.0,76.0,189.0,0,0.5790516138076782
9,0VaX_g70BaY,11,0,15,328.0,66.0,477.0,264.0,28,0.4477270543575287
10,0VaX_g70BaY,11,0,16,324.0,67.0,476.0,261.0,28,0.6628729104995728
11,0VaX_g70BaY,11,0,17,0.0,0.0,69.0,181.0,0,0.5534032583236694
12,0VaX_g70BaY,11,0,17,45.0,16.0,230.0,259.0,3,0.447886198759079
