,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0VjxP1Kbh5M,0,0,1,115.0,145.0,261.0,298.0,3,0.8231306076049805
1,0VjxP1Kbh5M,0,0,1,1.0,163.0,105.0,240.0,3,0.8223286271095276
2,0VjxP1Kbh5M,0,0,1,303.0,69.0,392.0,270.0,0,0.7385305762290955
3,0VjxP1Kbh5M,0,0,1,262.0,131.0,414.0,305.0,3,0.7204273343086243
4,0VjxP1Kbh5M,0,0,1,115.0,104.0,230.0,253.0,0,0.6339759230613708
5,0VjxP1Kbh5M,0,0,1,28.0,142.0,76.0,223.0,0,0.5303099155426025
6,0VjxP1Kbh5M,0,0,1,405.0,120.0,476.0,206.0,3,0.4767571985721588
7,0VjxP1Kbh5M,0,0,1,405.0,91.0,480.0,187.0,0,0.43844377994537354
8,0VjxP1Kbh5M,0,0,2,0.0,163.0,105.0,240.0,3,0.8304318189620972
9,0VjxP1Kbh5M,0,0,2,116.0,142.0,262.0,297.0,3,0.8284887671470642
10,0VjxP1Kbh5M,0,0,2,262.0,134.0,407.0,306.0,3,0.7740357518196106
11,0VjxP1Kbh5M,0,0,2,308.0,70.0,391.0,270.0,0,0.7054268717765808
12,0VjxP1Kbh5M,0,0,2,14.0,142.0,77.0,227.0,0,0.5647904276847839
13,0VjxP1Kbh5M,0,0,2,115.0,100.0,230.0,255.0,0,0.5542293787002563
14,0VjxP1Kbh5M,0,0,2,406.0,90.0,478.0,191.0,0,0.5126591920852661
15,0VjxP1Kbh5M,0,0,2,402.0,117.0,477.0,206.0,3,0.5073481798171997
16,0VjxP1Kbh5M,0,0,3,91.0,132.0,240.0,285.0,3,0.7606309056282043
17,0VjxP1Kbh5M,0,0,3,287.0,59.0,371.0,257.0,0,0.7136112451553345
18,0VjxP1Kbh5M,0,0,3,242.0,120.0,389.0,294.0,3,0.6985400319099426
19,0VjxP1Kbh5M,0,0,3,95.0,96.0,209.0,237.0,0,0.5983598828315735
20,0VjxP1Kbh5M,0,0,3,383.0,114.0,454.0,197.0,3,0.5040988922119141
21,0VjxP1Kbh5M,0,0,3,381.0,83.0,456.0,191.0,0,0.45301488041877747
22,0VjxP1Kbh5M,0,0,3,233.0,129.0,290.0,196.0,3,0.43900591135025024
23,0VjxP1Kbh5M,0,0,3,344.0,81.0,464.0,181.0,2,0.40388840436935425
24,0VjxP1Kbh5M,0,0,4,143.0,96.0,304.0,268.0,3,0.8272328972816467
25,0VjxP1Kbh5M,0,0,4,294.0,108.0,440.0,283.0,3,0.820902407169342
26,0VjxP1Kbh5M,0,0,4,348.0,52.0,428.0,252.0,0,0.7436816692352295
27,0VjxP1Kbh5M,0,0,4,435.0,80.0,480.0,194.0,0,0.6825970411300659
28,0VjxP1Kbh5M,0,0,4,445.0,122.0,480.0,199.0,3,0.48298683762550354
29,0VjxP1Kbh5M,0,0,5,367.0,117.0,479.0,276.0,3,0.8672695755958557
30,0VjxP1Kbh5M,0,0,5,214.0,97.0,378.0,249.0,3,0.8185551166534424
31,0VjxP1Kbh5M,0,0,5,407.0,31.0,480.0,244.0,0,0.6771876215934753
32,0VjxP1Kbh5M,0,0,6,336.0,125.0,477.0,295.0,3,0.7803012132644653
33,0VjxP1Kbh5M,0,0,6,380.0,58.0,478.0,272.0,0,0.7442355751991272
34,0VjxP1Kbh5M,0,0,6,184.0,111.0,348.0,268.0,3,0.7290932536125183
35,0VjxP1Kbh5M,0,0,6,94.0,121.0,171.0,175.0,2,0.6292466521263123
36,0VjxP1Kbh5M,0,0,6,195.0,82.0,301.0,236.0,0,0.5554628372192383
37,0VjxP1Kbh5M,0,0,6,288.0,100.0,319.0,135.0,0,0.5439345836639404
38,0VjxP1Kbh5M,0,0,7,333.0,109.0,480.0,279.0,3,0.8457019329071045
39,0VjxP1Kbh5M,0,0,7,375.0,36.0,478.0,255.0,0,0.7628889679908752
40,0VjxP1Kbh5M,0,0,7,183.0,100.0,337.0,261.0,3,0.697983980178833
41,0VjxP1Kbh5M,0,0,7,187.0,103.0,215.0,142.0,0,0.49305158853530884
42,0VjxP1Kbh5M,0,0,7,214.0,70.0,296.0,214.0,0,0.405064195394516
43,0VjxP1Kbh5M,0,0,8,196.0,91.0,345.0,245.0,3,0.8077636957168579
44,0VjxP1Kbh5M,0,0,8,346.0,93.0,478.0,272.0,3,0.7840348482131958
45,0VjxP1Kbh5M,0,0,8,298.0,75.0,331.0,109.0,0,0.7432162761688232
46,0VjxP1Kbh5M,0,0,8,396.0,27.0,478.0,244.0,0,0.7319201827049255
47,0VjxP1Kbh5M,0,0,8,301.0,107.0,368.0,175.0,3,0.5846747159957886
48,0VjxP1Kbh5M,0,0,8,208.0,60.0,321.0,205.0,0,0.5499549508094788
49,0VjxP1Kbh5M,0,0,9,353.0,96.0,480.0,271.0,3,0.8841530680656433
50,0VjxP1Kbh5M,0,0,9,405.0,31.0,479.0,243.0,0,0.7996423840522766
51,0VjxP1Kbh5M,0,0,9,248.0,58.0,322.0,229.0,0,0.7670186161994934
52,0VjxP1Kbh5M,0,0,9,178.0,102.0,349.0,246.0,3,0.655161440372467
53,0VjxP1Kbh5M,0,0,9,307.0,72.0,338.0,111.0,0,0.5386617183685303
54,0VjxP1Kbh5M,0,0,10,350.0,83.0,479.0,267.0,3,0.8372689485549927
55,0VjxP1Kbh5M,0,0,10,177.0,102.0,359.0,237.0,3,0.7838424444198608
56,0VjxP1Kbh5M,0,0,10,406.0,23.0,480.0,234.0,0,0.7737658023834229
57,0VjxP1Kbh5M,0,0,10,247.0,52.0,329.0,229.0,0,0.6917651891708374
58,0VjxP1Kbh5M,0,0,12,230.0,121.0,478.0,303.0,3,0.8900235295295715
59,0VjxP1Kbh5M,0,0,12,311.0,63.0,425.0,268.0,0,0.787267804145813
60,0VjxP1Kbh5M,0,0,13,0.0,46.0,107.0,321.0,0,0.8399646282196045
61,0VjxP1Kbh5M,0,0,13,234.0,17.0,386.0,328.0,0,0.773679792881012
62,0VjxP1Kbh5M,0,0,13,406.0,70.0,460.0,171.0,0,0.7027173638343811
63,0VjxP1Kbh5M,0,0,13,97.0,122.0,469.0,356.0,3,0.5014551281929016
64,0VjxP1Kbh5M,0,0,13,385.0,104.0,463.0,177.0,3,0.47641438245773315
65,0VjxP1Kbh5M,0,0,13,1.0,134.0,209.0,350.0,3,0.4228454530239105
66,0VjxP1Kbh5M,0,0,14,354.0,109.0,480.0,201.0,3,0.784211277961731
67,0VjxP1Kbh5M,0,0,14,377.0,62.0,462.0,191.0,0,0.7505638599395752
68,0VjxP1Kbh5M,0,0,14,93.0,26.0,277.0,350.0,0,0.5513326525688171
69,0VjxP1Kbh5M,0,0,14,9.0,129.0,383.0,355.0,3,0.43118661642074585
70,0VjxP1Kbh5M,0,0,15,251.0,106.0,389.0,203.0,3,0.8277438282966614
71,0VjxP1Kbh5M,0,0,15,287.0,59.0,356.0,191.0,0,0.741336464881897
72,0VjxP1Kbh5M,0,0,16,120.0,122.0,287.0,253.0,3,0.8876718282699585
73,0VjxP1Kbh5M,0,0,16,163.0,75.0,243.0,239.0,0,0.844101071357727
74,0VjxP1Kbh5M,0,0,16,433.0,132.0,480.0,235.0,3,0.5474504232406616
75,0VjxP1Kbh5M,0,0,17,80.0,162.0,289.0,317.0,3,0.8616265058517456
76,0VjxP1Kbh5M,0,0,17,142.0,105.0,233.0,298.0,0,0.66150963306427
