,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0ZP-Z0PzVfw,10,0,2,198.0,153.0,315.0,238.0,0,0.4281563460826874
1,0ZP-Z0PzVfw,10,0,5,103.0,2.0,135.0,83.0,0,0.443600594997406
2,0ZP-Z0PzVfw,10,0,6,278.0,13.0,320.0,225.0,0,0.7306345105171204
3,0ZP-Z0PzVfw,10,0,6,210.0,157.0,319.0,239.0,0,0.47774890065193176
4,0ZP-Z0PzVfw,10,0,8,224.0,0.0,319.0,119.0,0,0.8030364513397217
5,0ZP-Z0PzVfw,10,0,11,288.0,1.0,320.0,83.0,0,0.4483240842819214
6,0ZP-Z0PzVfw,10,1,1,37.0,1.0,130.0,218.0,0,0.41522282361984253
7,0ZP-Z0PzVfw,10,1,3,1.0,46.0,201.0,236.0,17,0.6028522253036499
8,0ZP-Z0PzVfw,10,1,3,24.0,0.0,89.0,143.0,0,0.5718460083007812
9,0ZP-Z0PzVfw,10,1,8,0.0,0.0,186.0,171.0,17,0.4501774311065674
10,0ZP-Z0PzVfw,10,1,9,0.0,41.0,179.0,201.0,17,0.7451858520507812
11,0ZP-Z0PzVfw,10,1,9,70.0,6.0,129.0,125.0,0,0.5185524225234985
12,0ZP-Z0PzVfw,10,1,10,98.0,2.0,161.0,128.0,0,0.5447277426719666
13,0ZP-Z0PzVfw,10,1,10,1.0,38.0,229.0,193.0,17,0.5202752351760864
14,0ZP-Z0PzVfw,10,1,11,0.0,26.0,179.0,210.0,17,0.4531099796295166
15,0ZP-Z0PzVfw,10,1,12,0.0,5.0,227.0,218.0,17,0.4424598813056946
16,0ZP-Z0PzVfw,10,1,14,24.0,4.0,127.0,224.0,0,0.6149299740791321
17,0ZP-Z0PzVfw,10,1,17,0.0,38.0,162.0,227.0,20,0.5717597007751465
18,0ZP-Z0PzVfw,10,1,19,76.0,82.0,198.0,207.0,17,0.6642921566963196
19,0ZP-Z0PzVfw,10,1,19,71.0,28.0,126.0,167.0,0,0.4230097234249115
