,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0c-Cwr5rI_A,20,0,3,425.0,99.0,480.0,161.0,20,0.7164446115493774
1,0c-Cwr5rI_A,20,0,3,188.0,62.0,435.0,275.0,20,0.5850145816802979
2,0c-Cwr5rI_A,20,0,4,199.0,61.0,450.0,270.0,20,0.7623342275619507
3,0c-Cwr5rI_A,20,0,5,219.0,60.0,458.0,261.0,20,0.8196262717247009
4,0c-Cwr5rI_A,20,0,5,459.0,89.0,480.0,132.0,20,0.5644746422767639
5,0c-Cwr5rI_A,20,0,6,221.0,69.0,411.0,272.0,20,0.9014190435409546
6,0c-Cwr5rI_A,20,0,6,424.0,95.0,480.0,172.0,20,0.5475879907608032
7,0c-Cwr5rI_A,20,0,6,135.0,100.0,231.0,213.0,20,0.5058311820030212
8,0c-Cwr5rI_A,20,0,7,232.0,65.0,369.0,273.0,20,0.9156493544578552
9,0c-Cwr5rI_A,20,0,7,410.0,97.0,480.0,174.0,20,0.8218029141426086
10,0c-Cwr5rI_A,20,0,7,0.0,120.0,230.0,287.0,20,0.6212119460105896
11,0c-Cwr5rI_A,20,0,8,215.0,67.0,402.0,271.0,20,0.6620715260505676
12,0c-Cwr5rI_A,20,0,8,0.0,112.0,317.0,291.0,21,0.41744986176490784
13,0c-Cwr5rI_A,20,0,8,412.0,134.0,480.0,184.0,20,0.4071555733680725
14,0c-Cwr5rI_A,20,0,9,214.0,67.0,469.0,276.0,20,0.9062390327453613
15,0c-Cwr5rI_A,20,0,9,0.0,105.0,300.0,302.0,20,0.4380517303943634
16,0c-Cwr5rI_A,20,0,10,212.0,68.0,457.0,271.0,20,0.8491660356521606
17,0c-Cwr5rI_A,20,0,10,447.0,95.0,480.0,205.0,20,0.4424719512462616
18,0c-Cwr5rI_A,20,0,11,231.0,69.0,476.0,270.0,20,0.891964852809906
19,0c-Cwr5rI_A,20,0,11,450.0,97.0,480.0,227.0,20,0.5098777413368225
20,0c-Cwr5rI_A,20,0,12,129.0,84.0,392.0,283.0,20,0.6354266405105591
21,0c-Cwr5rI_A,20,0,12,414.0,137.0,480.0,191.0,20,0.5315819382667542
22,0c-Cwr5rI_A,20,0,13,356.0,92.0,421.0,167.0,20,0.6590377688407898
23,0c-Cwr5rI_A,20,0,13,48.0,65.0,392.0,269.0,21,0.6571648120880127
24,0c-Cwr5rI_A,20,0,14,121.0,55.0,437.0,262.0,19,0.5335366725921631
25,0c-Cwr5rI_A,20,0,15,368.0,92.0,453.0,165.0,20,0.8631747961044312
26,0c-Cwr5rI_A,20,0,16,213.0,65.0,397.0,265.0,21,0.6181875467300415
27,0c-Cwr5rI_A,20,0,16,382.0,95.0,445.0,168.0,20,0.4758620858192444
28,0c-Cwr5rI_A,20,0,17,257.0,78.0,410.0,257.0,20,0.8645617365837097
29,0c-Cwr5rI_A,20,1,1,275.0,90.0,391.0,166.0,20,0.8904979228973389
30,0c-Cwr5rI_A,20,1,1,412.0,117.0,480.0,170.0,20,0.560774564743042
31,0c-Cwr5rI_A,20,1,1,76.0,27.0,312.0,264.0,20,0.4978843033313751
32,0c-Cwr5rI_A,20,1,2,275.0,90.0,392.0,166.0,20,0.8750979900360107
33,0c-Cwr5rI_A,20,1,2,78.0,27.0,306.0,271.0,20,0.772175133228302
34,0c-Cwr5rI_A,20,1,3,324.0,100.0,414.0,177.0,20,0.8992023468017578
35,0c-Cwr5rI_A,20,1,3,104.0,38.0,327.0,266.0,20,0.4579988420009613
36,0c-Cwr5rI_A,20,1,4,304.0,108.0,433.0,184.0,20,0.8163909912109375
37,0c-Cwr5rI_A,20,1,4,449.0,133.0,480.0,188.0,20,0.5927436947822571
38,0c-Cwr5rI_A,20,1,4,17.0,49.0,334.0,290.0,20,0.562131404876709
39,0c-Cwr5rI_A,20,1,5,291.0,103.0,390.0,180.0,20,0.8870803713798523
40,0c-Cwr5rI_A,20,1,5,437.0,130.0,479.0,182.0,20,0.4852171838283539
41,0c-Cwr5rI_A,20,1,6,296.0,98.0,401.0,173.0,20,0.8991217613220215
42,0c-Cwr5rI_A,20,1,6,435.0,123.0,480.0,176.0,20,0.7128481864929199
43,0c-Cwr5rI_A,20,1,6,250.0,148.0,292.0,245.0,20,0.6843395233154297
44,0c-Cwr5rI_A,20,1,6,2.0,43.0,303.0,276.0,21,0.6303431987762451
45,0c-Cwr5rI_A,20,1,7,354.0,105.0,462.0,180.0,20,0.886365532875061
46,0c-Cwr5rI_A,20,1,7,76.0,50.0,346.0,271.0,21,0.5508829951286316
47,0c-Cwr5rI_A,20,1,8,346.0,110.0,438.0,186.0,20,0.8142849802970886
48,0c-Cwr5rI_A,20,1,8,61.0,61.0,348.0,286.0,16,0.4338327944278717
49,0c-Cwr5rI_A,20,1,9,353.0,123.0,464.0,198.0,20,0.8814802169799805
50,0c-Cwr5rI_A,20,1,9,275.0,133.0,352.0,279.0,20,0.7050172090530396
51,0c-Cwr5rI_A,20,1,9,53.0,76.0,293.0,301.0,21,0.41279998421669006
52,0c-Cwr5rI_A,20,1,10,355.0,119.0,463.0,195.0,20,0.8514427542686462
53,0c-Cwr5rI_A,20,1,10,249.0,132.0,359.0,289.0,20,0.7040002346038818
54,0c-Cwr5rI_A,20,1,10,55.0,74.0,255.0,315.0,21,0.6563793420791626
55,0c-Cwr5rI_A,20,1,11,328.0,108.0,427.0,184.0,20,0.867469072341919
56,0c-Cwr5rI_A,20,1,11,225.0,121.0,339.0,276.0,20,0.8262349963188171
57,0c-Cwr5rI_A,20,1,12,338.0,113.0,440.0,189.0,20,0.9256165027618408
58,0c-Cwr5rI_A,20,1,12,218.0,135.0,357.0,286.0,20,0.6883410215377808
59,0c-Cwr5rI_A,20,1,13,361.0,104.0,459.0,180.0,20,0.9171924591064453
60,0c-Cwr5rI_A,20,1,14,354.0,109.0,452.0,185.0,20,0.9207377433776855
61,0c-Cwr5rI_A,20,1,14,255.0,110.0,348.0,263.0,20,0.4606535732746124
62,0c-Cwr5rI_A,20,1,15,359.0,128.0,457.0,204.0,20,0.8925259709358215
63,0c-Cwr5rI_A,20,1,16,391.0,121.0,480.0,195.0,20,0.8586737513542175
64,0c-Cwr5rI_A,20,1,17,362.0,113.0,465.0,188.0,20,0.880658745765686
65,0c-Cwr5rI_A,20,1,17,125.0,151.0,470.0,295.0,21,0.5844897627830505
66,0c-Cwr5rI_A,20,1,18,313.0,120.0,408.0,197.0,20,0.8866695761680603
67,0c-Cwr5rI_A,20,1,18,454.0,147.0,480.0,203.0,20,0.4265765845775604
68,0c-Cwr5rI_A,20,1,19,286.0,112.0,381.0,188.0,20,0.9054855704307556
69,0c-Cwr5rI_A,20,1,19,430.0,139.0,480.0,192.0,20,0.5853200554847717
70,0c-Cwr5rI_A,20,1,19,119.0,131.0,317.0,197.0,20,0.46191874146461487
