,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0f4alYlvEQw,0,0,1,145.0,81.0,247.0,173.0,17,0.8993187546730042
1,0f4alYlvEQw,0,0,1,175.0,62.0,204.0,129.0,0,0.8586337566375732
2,0f4alYlvEQw,0,0,2,145.0,83.0,248.0,165.0,17,0.893669068813324
3,0f4alYlvEQw,0,0,2,175.0,62.0,204.0,130.0,0,0.8562876582145691
4,0f4alYlvEQw,0,0,3,150.0,91.0,255.0,181.0,17,0.8864580392837524
5,0f4alYlvEQw,0,0,3,180.0,71.0,207.0,132.0,0,0.8085594773292542
6,0f4alYlvEQw,0,0,4,168.0,92.0,270.0,174.0,17,0.9155766367912292
7,0f4alYlvEQw,0,0,4,195.0,70.0,221.0,128.0,0,0.7897602319717407
8,0f4alYlvEQw,0,0,5,137.0,80.0,237.0,170.0,17,0.8154789209365845
9,0f4alYlvEQw,0,0,5,172.0,73.0,194.0,124.0,0,0.7365145683288574
10,0f4alYlvEQw,0,0,6,153.0,83.0,248.0,161.0,17,0.8973280191421509
11,0f4alYlvEQw,0,0,6,184.0,71.0,208.0,124.0,0,0.72252357006073
12,0f4alYlvEQw,0,0,7,148.0,78.0,243.0,154.0,17,0.7341521382331848
13,0f4alYlvEQw,0,0,8,149.0,81.0,254.0,163.0,17,0.8952227234840393
14,0f4alYlvEQw,0,0,8,186.0,70.0,212.0,125.0,0,0.6984136700630188
15,0f4alYlvEQw,0,0,9,158.0,69.0,280.0,167.0,17,0.8617753982543945
16,0f4alYlvEQw,0,0,9,201.0,58.0,224.0,122.0,0,0.6851184368133545
17,0f4alYlvEQw,0,0,10,139.0,63.0,272.0,165.0,17,0.921729564666748
18,0f4alYlvEQw,0,0,10,181.0,51.0,212.0,115.0,0,0.7502833008766174
19,0f4alYlvEQw,0,0,11,153.0,75.0,279.0,177.0,17,0.8813937306404114
20,0f4alYlvEQw,0,0,11,189.0,59.0,217.0,127.0,0,0.7428747415542603
21,0f4alYlvEQw,0,0,11,61.0,155.0,134.0,226.0,61,0.47636669874191284
22,0f4alYlvEQw,0,0,12,142.0,87.0,256.0,177.0,17,0.8994457721710205
23,0f4alYlvEQw,0,0,12,177.0,73.0,203.0,135.0,0,0.6953490972518921
24,0f4alYlvEQw,0,0,12,218.0,172.0,306.0,237.0,61,0.5701541304588318
25,0f4alYlvEQw,0,0,13,209.0,80.0,236.0,123.0,0,0.5733116865158081
26,0f4alYlvEQw,0,0,14,155.0,81.0,273.0,177.0,17,0.9201257824897766
27,0f4alYlvEQw,0,0,14,194.0,80.0,219.0,128.0,0,0.5541849136352539
28,0f4alYlvEQw,0,0,15,157.0,73.0,279.0,178.0,17,0.9058950543403625
29,0f4alYlvEQw,0,0,15,201.0,58.0,228.0,124.0,0,0.7631053328514099
30,0f4alYlvEQw,0,0,16,156.0,73.0,285.0,178.0,17,0.8910751938819885
31,0f4alYlvEQw,0,0,16,198.0,61.0,224.0,133.0,0,0.7863202691078186
32,0f4alYlvEQw,0,0,17,171.0,77.0,305.0,175.0,17,0.8324195146560669
33,0f4alYlvEQw,0,0,17,202.0,64.0,232.0,131.0,0,0.8046151399612427
