,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0iOjteHiMnQ,21,0,1,386.0,181.0,452.0,358.0,0,0.7429028749465942
1,0iOjteHiMnQ,21,0,1,10.0,127.0,55.0,205.0,0,0.7224540114402771
2,0iOjteHiMnQ,21,0,1,99.0,158.0,155.0,304.0,0,0.6767686605453491
3,0iOjteHiMnQ,21,0,1,378.0,127.0,413.0,215.0,0,0.6530711054801941
4,0iOjteHiMnQ,21,0,1,139.0,55.0,371.0,137.0,25,0.6174468994140625
5,0iOjteHiMnQ,21,0,1,127.0,108.0,224.0,169.0,25,0.5326950550079346
6,0iOjteHiMnQ,21,0,1,61.0,171.0,98.0,236.0,0,0.4914492070674896
7,0iOjteHiMnQ,21,0,1,45.0,98.0,72.0,176.0,0,0.48939090967178345
8,0iOjteHiMnQ,21,0,1,437.0,176.0,480.0,358.0,0,0.4535462260246277
9,0iOjteHiMnQ,21,0,1,337.0,202.0,385.0,276.0,0,0.4108410179615021
10,0iOjteHiMnQ,21,0,2,9.0,126.0,55.0,206.0,0,0.766579270362854
11,0iOjteHiMnQ,21,0,2,97.0,156.0,155.0,298.0,0,0.6492132544517517
12,0iOjteHiMnQ,21,0,2,377.0,126.0,414.0,213.0,0,0.6454251408576965
13,0iOjteHiMnQ,21,0,2,382.0,181.0,451.0,358.0,0,0.6366828680038452
14,0iOjteHiMnQ,21,0,2,336.0,201.0,387.0,277.0,0,0.6150420308113098
15,0iOjteHiMnQ,21,0,2,45.0,97.0,75.0,179.0,0,0.6131687164306641
16,0iOjteHiMnQ,21,0,2,60.0,169.0,98.0,236.0,0,0.5915980339050293
17,0iOjteHiMnQ,21,0,2,139.0,54.0,373.0,150.0,25,0.5783201456069946
18,0iOjteHiMnQ,21,0,2,221.0,130.0,341.0,360.0,0,0.551323413848877
19,0iOjteHiMnQ,21,0,2,146.0,140.0,241.0,357.0,0,0.4629046618938446
20,0iOjteHiMnQ,21,0,2,431.0,174.0,480.0,358.0,0,0.45963984727859497
21,0iOjteHiMnQ,21,0,2,126.0,116.0,222.0,169.0,25,0.4463313817977905
22,0iOjteHiMnQ,21,0,3,3.0,292.0,65.0,359.0,0,0.8318910002708435
23,0iOjteHiMnQ,21,0,3,345.0,199.0,397.0,357.0,0,0.7929386496543884
24,0iOjteHiMnQ,21,0,3,383.0,196.0,479.0,358.0,0,0.7001237869262695
25,0iOjteHiMnQ,21,0,3,38.0,118.0,84.0,281.0,0,0.6780774593353271
26,0iOjteHiMnQ,21,0,3,336.0,142.0,366.0,210.0,0,0.6636744737625122
27,0iOjteHiMnQ,21,0,3,155.0,54.0,396.0,163.0,25,0.6180423498153687
28,0iOjteHiMnQ,21,0,3,243.0,131.0,365.0,354.0,0,0.554701566696167
29,0iOjteHiMnQ,21,0,3,13.0,179.0,67.0,297.0,0,0.5361059904098511
30,0iOjteHiMnQ,21,0,3,96.0,76.0,152.0,99.0,25,0.4599708020687103
31,0iOjteHiMnQ,21,0,3,441.0,203.0,480.0,313.0,0,0.41229942440986633
32,0iOjteHiMnQ,21,0,4,23.0,247.0,81.0,359.0,0,0.8155949115753174
33,0iOjteHiMnQ,21,0,4,123.0,142.0,228.0,360.0,0,0.7188457250595093
34,0iOjteHiMnQ,21,0,4,0.0,48.0,257.0,175.0,25,0.657059371471405
35,0iOjteHiMnQ,21,0,4,216.0,259.0,325.0,358.0,0,0.5758061408996582
36,0iOjteHiMnQ,21,0,4,25.0,149.0,98.0,231.0,0,0.5678623914718628
37,0iOjteHiMnQ,21,0,4,81.0,172.0,130.0,327.0,0,0.5269152522087097
38,0iOjteHiMnQ,21,0,4,250.0,104.0,307.0,136.0,25,0.5151422023773193
39,0iOjteHiMnQ,21,0,4,0.0,221.0,47.0,358.0,0,0.4197663962841034
40,0iOjteHiMnQ,21,0,5,154.0,100.0,221.0,132.0,25,0.7990229725837708
41,0iOjteHiMnQ,21,0,5,0.0,72.0,80.0,142.0,25,0.7016912698745728
42,0iOjteHiMnQ,21,0,5,28.0,73.0,86.0,97.0,25,0.6209940910339355
43,0iOjteHiMnQ,21,0,5,162.0,118.0,190.0,149.0,0,0.6209481358528137
44,0iOjteHiMnQ,21,0,5,407.0,285.0,480.0,358.0,0,0.5307033658027649
45,0iOjteHiMnQ,21,0,6,352.0,170.0,474.0,357.0,0,0.6078657507896423
46,0iOjteHiMnQ,21,0,6,362.0,153.0,430.0,248.0,0,0.545756995677948
47,0iOjteHiMnQ,21,0,6,437.0,122.0,480.0,218.0,0,0.43946048617362976
48,0iOjteHiMnQ,21,0,6,438.0,70.0,480.0,92.0,25,0.4313197731971741
49,0iOjteHiMnQ,21,0,7,135.0,132.0,238.0,355.0,0,0.8498286008834839
50,0iOjteHiMnQ,21,0,7,226.0,146.0,335.0,355.0,0,0.8358893990516663
51,0iOjteHiMnQ,21,0,7,432.0,125.0,480.0,355.0,0,0.7210335731506348
52,0iOjteHiMnQ,21,0,7,76.0,122.0,162.0,253.0,0,0.5895087718963623
53,0iOjteHiMnQ,21,0,7,0.0,111.0,138.0,359.0,0,0.5687476992607117
54,0iOjteHiMnQ,21,0,7,422.0,28.0,480.0,125.0,25,0.5330085158348083
55,0iOjteHiMnQ,21,0,7,399.0,188.0,442.0,235.0,1,0.5283512473106384
56,0iOjteHiMnQ,21,0,7,378.0,125.0,416.0,209.0,0,0.521766185760498
57,0iOjteHiMnQ,21,0,7,421.0,110.0,468.0,192.0,0,0.46615660190582275
58,0iOjteHiMnQ,21,0,7,243.0,92.0,278.0,147.0,0,0.4506431519985199
59,0iOjteHiMnQ,21,0,7,200.0,126.0,242.0,214.0,0,0.42010658979415894
60,0iOjteHiMnQ,21,0,8,141.0,156.0,257.0,358.0,0,0.8383477926254272
61,0iOjteHiMnQ,21,0,8,27.0,122.0,153.0,357.0,0,0.8259448409080505
62,0iOjteHiMnQ,21,0,8,305.0,118.0,341.0,221.0,0,0.7773095965385437
63,0iOjteHiMnQ,21,0,8,267.0,177.0,335.0,357.0,0,0.7689768075942993
64,0iOjteHiMnQ,21,0,8,212.0,152.0,293.0,357.0,0,0.7387330532073975
65,0iOjteHiMnQ,21,0,8,0.0,151.0,55.0,356.0,0,0.7303949594497681
66,0iOjteHiMnQ,21,0,8,357.0,28.0,479.0,352.0,0,0.4232748746871948
67,0iOjteHiMnQ,21,0,8,132.0,129.0,201.0,243.0,0,0.4131326675415039
68,0iOjteHiMnQ,21,0,9,0.0,181.0,174.0,360.0,0,0.8027069568634033
69,0iOjteHiMnQ,21,0,9,210.0,199.0,289.0,359.0,0,0.7751204371452332
70,0iOjteHiMnQ,21,0,9,0.0,99.0,33.0,208.0,0,0.7729922533035278
71,0iOjteHiMnQ,21,0,9,117.0,170.0,228.0,359.0,0,0.7707381844520569
72,0iOjteHiMnQ,21,0,9,298.0,129.0,335.0,235.0,0,0.7568968534469604
73,0iOjteHiMnQ,21,0,9,262.0,132.0,292.0,240.0,0,0.7127712965011597
74,0iOjteHiMnQ,21,0,9,305.0,156.0,418.0,359.0,0,0.7126399278640747
75,0iOjteHiMnQ,21,0,9,199.0,92.0,260.0,143.0,25,0.695917546749115
76,0iOjteHiMnQ,21,0,9,0.0,76.0,36.0,96.0,25,0.561951220035553
77,0iOjteHiMnQ,21,0,9,191.0,114.0,229.0,247.0,0,0.4585169851779938
78,0iOjteHiMnQ,21,0,10,119.0,215.0,216.0,359.0,0,0.862686038017273
79,0iOjteHiMnQ,21,0,10,9.0,182.0,125.0,356.0,0,0.845361590385437
80,0iOjteHiMnQ,21,0,10,121.0,148.0,160.0,262.0,0,0.7503568530082703
81,0iOjteHiMnQ,21,0,10,0.0,77.0,58.0,104.0,25,0.730638325214386
82,0iOjteHiMnQ,21,0,10,351.0,176.0,480.0,354.0,0,0.6914952993392944
83,0iOjteHiMnQ,21,0,10,17.0,99.0,52.0,195.0,0,0.6737173199653625
84,0iOjteHiMnQ,21,0,10,188.0,201.0,282.0,358.0,0,0.5697307586669922
85,0iOjteHiMnQ,21,0,10,261.0,210.0,326.0,357.0,0,0.5318094491958618
86,0iOjteHiMnQ,21,0,10,313.0,224.0,371.0,357.0,0,0.4051082730293274
87,0iOjteHiMnQ,21,0,11,309.0,200.0,386.0,356.0,0,0.49210721254348755
88,0iOjteHiMnQ,21,0,11,166.0,179.0,330.0,357.0,0,0.4240577220916748
89,0iOjteHiMnQ,21,0,12,93.0,249.0,152.0,359.0,0,0.8063151836395264
90,0iOjteHiMnQ,21,0,12,143.0,220.0,277.0,358.0,0,0.7887791395187378
91,0iOjteHiMnQ,21,0,12,47.0,159.0,83.0,284.0,0,0.75580894947052
92,0iOjteHiMnQ,21,0,12,366.0,236.0,479.0,356.0,0,0.6861907839775085
93,0iOjteHiMnQ,21,0,12,424.0,111.0,454.0,162.0,0,0.6210808753967285
94,0iOjteHiMnQ,21,0,12,447.0,108.0,480.0,177.0,0,0.5956771969795227
95,0iOjteHiMnQ,21,0,12,49.0,108.0,119.0,158.0,25,0.5514858365058899
96,0iOjteHiMnQ,21,0,12,0.0,147.0,41.0,287.0,0,0.41598400473594666
97,0iOjteHiMnQ,21,0,13,385.0,237.0,445.0,359.0,0,0.78537517786026
98,0iOjteHiMnQ,21,0,13,274.0,103.0,323.0,225.0,0,0.7191210985183716
99,0iOjteHiMnQ,21,0,13,321.0,129.0,368.0,230.0,0,0.5829880833625793
100,0iOjteHiMnQ,21,0,13,351.0,125.0,380.0,227.0,0,0.4165799021720886
101,0iOjteHiMnQ,21,0,13,370.0,114.0,399.0,217.0,0,0.40645089745521545
102,0iOjteHiMnQ,21,0,13,449.0,149.0,480.0,359.0,0,0.4006570279598236
103,0iOjteHiMnQ,21,0,14,32.0,236.0,172.0,358.0,0,0.7790566086769104
104,0iOjteHiMnQ,21,0,14,268.0,272.0,346.0,358.0,0,0.773618757724762
105,0iOjteHiMnQ,21,0,14,1.0,96.0,57.0,127.0,25,0.77094566822052
106,0iOjteHiMnQ,21,0,14,340.0,159.0,462.0,358.0,0,0.7533004879951477
107,0iOjteHiMnQ,21,0,14,247.0,118.0,308.0,285.0,0,0.6074923872947693
108,0iOjteHiMnQ,21,0,14,452.0,114.0,475.0,162.0,0,0.5811236500740051
109,0iOjteHiMnQ,21,0,14,345.0,129.0,375.0,174.0,0,0.5664647817611694
110,0iOjteHiMnQ,21,0,14,16.0,116.0,56.0,165.0,0,0.5048651695251465
111,0iOjteHiMnQ,21,0,14,151.0,165.0,190.0,257.0,0,0.500836968421936
112,0iOjteHiMnQ,21,0,14,386.0,125.0,417.0,178.0,0,0.5001381635665894
113,0iOjteHiMnQ,21,0,14,157.0,163.0,274.0,302.0,3,0.45623791217803955
114,0iOjteHiMnQ,21,0,14,170.0,148.0,233.0,256.0,0,0.4072197675704956
115,0iOjteHiMnQ,21,0,15,326.0,138.0,360.0,186.0,0,0.7258629202842712
116,0iOjteHiMnQ,21,0,15,112.0,174.0,154.0,268.0,0,0.7176852822303772
117,0iOjteHiMnQ,21,0,15,297.0,170.0,477.0,359.0,0,0.6842590570449829
118,0iOjteHiMnQ,21,0,15,216.0,169.0,348.0,356.0,0,0.6410163044929504
119,0iOjteHiMnQ,21,0,15,32.0,136.0,79.0,299.0,0,0.5901126265525818
120,0iOjteHiMnQ,21,0,15,0.0,186.0,69.0,282.0,3,0.5774076581001282
121,0iOjteHiMnQ,21,0,15,394.0,137.0,418.0,163.0,0,0.4869232177734375
122,0iOjteHiMnQ,21,0,15,210.0,122.0,285.0,265.0,0,0.4762510359287262
123,0iOjteHiMnQ,21,0,15,351.0,133.0,379.0,183.0,0,0.4484894275665283
124,0iOjteHiMnQ,21,0,15,463.0,119.0,480.0,202.0,0,0.4345390796661377
125,0iOjteHiMnQ,21,0,15,435.0,107.0,467.0,160.0,0,0.4289895296096802
126,0iOjteHiMnQ,21,0,15,96.0,238.0,220.0,316.0,3,0.4244031608104706
127,0iOjteHiMnQ,21,0,16,27.0,169.0,71.0,318.0,0,0.82182776927948
128,0iOjteHiMnQ,21,0,16,399.0,176.0,480.0,354.0,0,0.7540261149406433
129,0iOjteHiMnQ,21,0,16,145.0,134.0,194.0,264.0,0,0.6585772037506104
130,0iOjteHiMnQ,21,0,16,63.0,162.0,91.0,241.0,0,0.6374224424362183
131,0iOjteHiMnQ,21,0,16,427.0,142.0,453.0,179.0,0,0.6289330124855042
132,0iOjteHiMnQ,21,0,16,331.0,123.0,393.0,274.0,0,0.5661677122116089
133,0iOjteHiMnQ,21,0,16,266.0,189.0,440.0,357.0,0,0.5513138771057129
134,0iOjteHiMnQ,21,0,16,406.0,144.0,441.0,189.0,0,0.5199839472770691
135,0iOjteHiMnQ,21,0,16,185.0,180.0,228.0,310.0,0,0.5052496790885925
136,0iOjteHiMnQ,21,0,16,99.0,162.0,149.0,307.0,0,0.4863274395465851
137,0iOjteHiMnQ,21,0,16,270.0,158.0,300.0,185.0,0,0.4594288468360901
138,0iOjteHiMnQ,21,0,17,303.0,194.0,438.0,359.0,0,0.815697431564331
139,0iOjteHiMnQ,21,0,17,84.0,221.0,201.0,358.0,0,0.6998547315597534
140,0iOjteHiMnQ,21,0,17,378.0,151.0,413.0,257.0,0,0.6645293831825256
141,0iOjteHiMnQ,21,0,17,439.0,283.0,480.0,359.0,0,0.6617035269737244
142,0iOjteHiMnQ,21,0,17,409.0,150.0,441.0,257.0,0,0.661430835723877
143,0iOjteHiMnQ,21,0,17,171.0,179.0,294.0,324.0,3,0.5616187453269958
144,0iOjteHiMnQ,21,0,17,129.0,140.0,165.0,197.0,0,0.5327805876731873
145,0iOjteHiMnQ,21,0,17,350.0,153.0,384.0,205.0,0,0.5101353526115417
146,0iOjteHiMnQ,21,0,17,458.0,143.0,480.0,243.0,0,0.5072305798530579
147,0iOjteHiMnQ,21,0,17,265.0,132.0,299.0,185.0,0,0.4781612753868103
148,0iOjteHiMnQ,21,0,17,433.0,147.0,460.0,248.0,0,0.45857489109039307
149,0iOjteHiMnQ,21,0,18,282.0,157.0,318.0,282.0,0,0.7602190375328064
150,0iOjteHiMnQ,21,0,18,0.0,196.0,43.0,329.0,0,0.729080319404602
151,0iOjteHiMnQ,21,0,18,158.0,222.0,308.0,359.0,0,0.7135248184204102
152,0iOjteHiMnQ,21,0,18,62.0,143.0,110.0,199.0,0,0.5871317386627197
153,0iOjteHiMnQ,21,0,18,369.0,192.0,425.0,358.0,0,0.569579541683197
154,0iOjteHiMnQ,21,0,18,305.0,153.0,340.0,276.0,0,0.5570964217185974
155,0iOjteHiMnQ,21,0,18,52.0,188.0,243.0,338.0,3,0.5454803705215454
