,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0k6VC7aAV54,9,0,1,361.0,93.0,456.0,352.0,0,0.8428059816360474
1,0k6VC7aAV54,9,0,1,4.0,27.0,347.0,360.0,0,0.8095002770423889
2,0k6VC7aAV54,9,0,1,263.0,77.0,362.0,353.0,0,0.8038432598114014
3,0k6VC7aAV54,9,0,1,166.0,191.0,210.0,352.0,27,0.5448916554450989
4,0k6VC7aAV54,9,0,2,363.0,92.0,459.0,353.0,0,0.8326483368873596
5,0k6VC7aAV54,9,0,2,3.0,23.0,328.0,360.0,0,0.8205270767211914
6,0k6VC7aAV54,9,0,2,263.0,78.0,363.0,352.0,0,0.8187258839607239
7,0k6VC7aAV54,9,0,2,166.0,191.0,210.0,353.0,27,0.5099043846130371
8,0k6VC7aAV54,9,0,4,0.0,185.0,66.0,298.0,58,0.5520968437194824
9,0k6VC7aAV54,9,0,4,267.0,3.0,462.0,352.0,0,0.4449002742767334
10,0k6VC7aAV54,9,0,5,248.0,6.0,453.0,355.0,0,0.712442934513092
11,0k6VC7aAV54,9,0,5,0.0,183.0,69.0,295.0,58,0.48039573431015015
12,0k6VC7aAV54,9,0,6,0.0,177.0,67.0,287.0,45,0.6406332850456238
13,0k6VC7aAV54,9,0,7,0.0,171.0,65.0,280.0,45,0.4701032042503357
14,0k6VC7aAV54,9,0,8,1.0,3.0,179.0,201.0,0,0.5901057720184326
15,0k6VC7aAV54,9,0,8,0.0,188.0,64.0,277.0,45,0.42277994751930237
16,0k6VC7aAV54,9,0,9,1.0,2.0,168.0,196.0,0,0.6881369352340698
17,0k6VC7aAV54,9,0,9,0.0,158.0,65.0,271.0,58,0.6180940866470337
18,0k6VC7aAV54,9,0,10,4.0,112.0,41.0,166.0,0,0.44256144762039185
19,0k6VC7aAV54,9,0,11,1.0,199.0,133.0,351.0,0,0.8098481893539429
20,0k6VC7aAV54,9,0,11,120.0,57.0,192.0,157.0,0,0.7275274395942688
21,0k6VC7aAV54,9,0,11,373.0,191.0,471.0,357.0,0,0.7024088501930237
22,0k6VC7aAV54,9,0,11,115.0,179.0,265.0,352.0,0,0.6670835018157959
23,0k6VC7aAV54,9,0,11,99.0,140.0,182.0,279.0,0,0.6007562279701233
