,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0kZSWqFOr0c,0,0,1,0.0,80.0,72.0,194.0,3,0.7885046601295471
1,0kZSWqFOr0c,0,0,2,0.0,78.0,72.0,195.0,3,0.7668596506118774
2,0kZSWqFOr0c,0,0,2,71.0,8.0,477.0,342.0,3,0.5679423213005066
3,0kZSWqFOr0c,0,0,3,0.0,159.0,69.0,277.0,3,0.7774968147277832
4,0kZSWqFOr0c,0,0,3,200.0,17.0,298.0,153.0,0,0.7562068104743958
5,0kZSWqFOr0c,0,0,3,61.0,126.0,452.0,357.0,3,0.43947330117225647
6,0kZSWqFOr0c,0,0,4,0.0,106.0,78.0,227.0,3,0.8259925842285156
7,0kZSWqFOr0c,0,0,4,203.0,7.0,309.0,163.0,0,0.7051819562911987
8,0kZSWqFOr0c,0,0,4,82.0,90.0,439.0,347.0,3,0.549106776714325
9,0kZSWqFOr0c,0,0,4,58.0,111.0,132.0,199.0,3,0.47323790192604065
10,0kZSWqFOr0c,0,0,5,179.0,19.0,286.0,144.0,0,0.8272659182548523
11,0kZSWqFOr0c,0,0,5,0.0,114.0,58.0,235.0,3,0.7704002261161804
12,0kZSWqFOr0c,0,0,5,41.0,121.0,113.0,215.0,3,0.5051276087760925
13,0kZSWqFOr0c,0,0,5,63.0,120.0,406.0,345.0,3,0.4687444269657135
14,0kZSWqFOr0c,0,0,6,0.0,118.0,63.0,234.0,3,0.7581478357315063
15,0kZSWqFOr0c,0,0,6,160.0,8.0,255.0,171.0,0,0.7219380736351013
16,0kZSWqFOr0c,0,0,6,66.0,80.0,456.0,351.0,3,0.5446165204048157
17,0kZSWqFOr0c,0,0,6,43.0,122.0,116.0,205.0,3,0.4167112708091736
18,0kZSWqFOr0c,0,0,7,0.0,105.0,74.0,219.0,3,0.8102938532829285
19,0kZSWqFOr0c,0,0,7,54.0,107.0,127.0,189.0,3,0.566271185874939
20,0kZSWqFOr0c,0,0,7,437.0,91.0,480.0,155.0,3,0.4847868084907532
21,0kZSWqFOr0c,0,0,7,65.0,41.0,469.0,346.0,3,0.4606907069683075
22,0kZSWqFOr0c,0,0,8,0.0,89.0,81.0,205.0,3,0.8078780770301819
23,0kZSWqFOr0c,0,0,8,91.0,34.0,477.0,347.0,3,0.6651944518089294
24,0kZSWqFOr0c,0,0,8,66.0,95.0,136.0,187.0,3,0.5394576191902161
25,0kZSWqFOr0c,0,0,8,183.0,2.0,246.0,136.0,0,0.4438018500804901
26,0kZSWqFOr0c,0,0,9,0.0,99.0,82.0,201.0,3,0.7675161957740784
27,0kZSWqFOr0c,0,0,9,163.0,3.0,273.0,148.0,0,0.6456394791603088
28,0kZSWqFOr0c,0,0,9,87.0,36.0,479.0,343.0,3,0.46601545810699463
29,0kZSWqFOr0c,0,0,10,0.0,62.0,68.0,183.0,3,0.8226285576820374
30,0kZSWqFOr0c,0,0,10,86.0,13.0,476.0,318.0,3,0.582309365272522
31,0kZSWqFOr0c,0,0,10,52.0,63.0,124.0,177.0,3,0.5522066950798035
32,0kZSWqFOr0c,0,0,10,164.0,1.0,281.0,129.0,0,0.48824501037597656
33,0kZSWqFOr0c,0,0,11,2.0,27.0,475.0,344.0,3,0.4507020115852356
34,0kZSWqFOr0c,0,0,12,0.0,10.0,454.0,317.0,3,0.5262962579727173
35,0kZSWqFOr0c,0,0,13,229.0,5.0,362.0,329.0,0,0.7346413731575012
36,0kZSWqFOr0c,0,0,13,83.0,88.0,470.0,339.0,3,0.5017005205154419
37,0kZSWqFOr0c,0,0,16,0.0,71.0,75.0,169.0,3,0.6423338055610657
38,0kZSWqFOr0c,0,0,16,0.0,72.0,38.0,170.0,3,0.44776034355163574
