,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0qprYCYHK_c,0,0,1,147.0,173.0,229.0,270.0,36,0.6355036497116089
1,0qprYCYHK_c,0,0,2,147.0,171.0,239.0,269.0,36,0.5331888794898987
2,0qprYCYHK_c,0,0,2,172.0,18.0,383.0,240.0,0,0.45698148012161255
3,0qprYCYHK_c,0,0,3,169.0,17.0,335.0,245.0,0,0.46108531951904297
4,0qprYCYHK_c,0,0,3,145.0,175.0,241.0,269.0,36,0.40402597188949585
5,0qprYCYHK_c,0,0,4,164.0,26.0,382.0,261.0,0,0.44527778029441833
6,0qprYCYHK_c,0,0,5,44.0,207.0,65.0,266.0,39,0.5500558018684387
7,0qprYCYHK_c,0,0,5,169.0,24.0,333.0,258.0,0,0.51275634765625
8,0qprYCYHK_c,0,0,6,160.0,24.0,366.0,263.0,0,0.5550066828727722
9,0qprYCYHK_c,0,0,7,38.0,208.0,62.0,268.0,39,0.621448814868927
10,0qprYCYHK_c,0,0,8,159.0,20.0,366.0,242.0,0,0.5671479105949402
11,0qprYCYHK_c,0,0,9,138.0,135.0,270.0,269.0,36,0.4946640729904175
12,0qprYCYHK_c,0,0,9,157.0,19.0,369.0,243.0,0,0.43251821398735046
13,0qprYCYHK_c,0,0,10,158.0,15.0,367.0,239.0,0,0.559536337852478
14,0qprYCYHK_c,0,0,11,158.0,17.0,369.0,234.0,0,0.5776007771492004
15,0qprYCYHK_c,0,0,11,141.0,151.0,265.0,269.0,36,0.5570158362388611
16,0qprYCYHK_c,0,0,13,126.0,179.0,213.0,269.0,36,0.5339412093162537
17,0qprYCYHK_c,0,0,15,136.0,19.0,349.0,261.0,0,0.5062896013259888
18,0qprYCYHK_c,0,0,15,118.0,151.0,247.0,269.0,36,0.4288560450077057
19,0qprYCYHK_c,0,0,16,138.0,21.0,335.0,240.0,0,0.5429682731628418
20,0qprYCYHK_c,0,0,17,16.0,194.0,38.0,260.0,39,0.4665434658527374
21,0qprYCYHK_c,0,0,17,148.0,18.0,351.0,243.0,0,0.4565182328224182
22,0qprYCYHK_c,0,0,18,146.0,20.0,329.0,237.0,0,0.5073754787445068
23,0qprYCYHK_c,0,0,19,137.0,16.0,350.0,237.0,0,0.5534824132919312
