,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0ykDmQW4-yQ,19,0,1,98.0,113.0,259.0,240.0,16,0.7142515182495117
1,0ykDmQW4-yQ,19,0,2,96.0,114.0,259.0,240.0,16,0.649052083492279
2,0ykDmQW4-yQ,19,0,6,101.0,66.0,203.0,190.0,16,0.6687661409378052
3,0ykDmQW4-yQ,19,0,7,55.0,76.0,167.0,201.0,16,0.6202035546302795
4,0ykDmQW4-yQ,19,0,8,104.0,50.0,165.0,156.0,16,0.831195592880249
5,0ykDmQW4-yQ,19,0,9,113.0,40.0,167.0,171.0,14,0.6822975873947144
6,0ykDmQW4-yQ,19,0,10,115.0,59.0,180.0,194.0,16,0.8394579291343689
7,0ykDmQW4-yQ,19,0,12,131.0,76.0,201.0,224.0,16,0.6317258477210999
8,0ykDmQW4-yQ,19,0,14,133.0,73.0,204.0,199.0,16,0.48894721269607544
9,0ykDmQW4-yQ,19,0,15,153.0,56.0,250.0,192.0,16,0.8496856689453125
10,0ykDmQW4-yQ,19,0,16,115.0,79.0,235.0,214.0,16,0.534121572971344
11,0ykDmQW4-yQ,19,0,17,116.0,74.0,167.0,192.0,14,0.6339213252067566
