,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,0zmzEkQWyps,3,0,1,140.0,46.0,248.0,81.0,8,0.6308623552322388
1,0zmzEkQWyps,3,0,2,139.0,47.0,248.0,81.0,8,0.684851348400116
2,0zmzEkQWyps,3,0,3,174.0,78.0,271.0,111.0,8,0.6624309420585632
3,0zmzEkQWyps,3,0,4,157.0,92.0,259.0,127.0,8,0.46270063519477844
4,0zmzEkQWyps,3,0,5,111.0,113.0,220.0,151.0,8,0.4069964587688446
5,0zmzEkQWyps,3,0,6,112.0,74.0,192.0,110.0,8,0.6694355607032776
6,0zmzEkQWyps,3,0,7,68.0,56.0,180.0,91.0,8,0.6276652216911316
7,0zmzEkQWyps,3,0,8,57.0,4.0,158.0,40.0,8,0.45629215240478516
8,0zmzEkQWyps,3,0,10,186.0,19.0,269.0,62.0,8,0.5914278626441956
9,0zmzEkQWyps,3,0,11,188.0,8.0,275.0,57.0,8,0.5740286111831665
10,0zmzEkQWyps,3,0,12,187.0,31.0,266.0,76.0,8,0.751197874546051
11,0zmzEkQWyps,3,0,13,151.0,184.0,257.0,238.0,0,0.7316904067993164
12,0zmzEkQWyps,3,0,13,73.0,66.0,190.0,112.0,8,0.46023255586624146
13,0zmzEkQWyps,3,0,14,182.0,0.0,232.0,27.0,8,0.576877772808075
14,0zmzEkQWyps,3,0,15,89.0,25.0,211.0,70.0,8,0.4662870168685913
15,0zmzEkQWyps,3,0,16,152.0,13.0,225.0,52.0,8,0.5522999167442322
16,0zmzEkQWyps,3,0,16,11.0,151.0,267.0,236.0,37,0.43650150299072266
