,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1-V-1rH5Bp8,23,0,5,75.0,7.0,479.0,351.0,2,0.5558662414550781
1,1-V-1rH5Bp8,23,0,5,131.0,7.0,231.0,70.0,2,0.5214787721633911
2,1-V-1rH5Bp8,23,0,5,23.0,0.0,82.0,60.0,58,0.45310384035110474
3,1-V-1rH5Bp8,23,0,6,25.0,3.0,480.0,344.0,2,0.6373578906059265
4,1-V-1rH5Bp8,23,0,7,0.0,21.0,480.0,348.0,2,0.4194207787513733
5,1-V-1rH5Bp8,23,0,8,0.0,12.0,480.0,346.0,2,0.6268619894981384
6,1-V-1rH5Bp8,23,0,9,0.0,20.0,480.0,344.0,2,0.5789411664009094
7,1-V-1rH5Bp8,23,0,10,0.0,10.0,452.0,340.0,2,0.6218165159225464
8,1-V-1rH5Bp8,23,0,11,0.0,14.0,407.0,346.0,2,0.6181614995002747
9,1-V-1rH5Bp8,23,0,12,1.0,6.0,462.0,341.0,2,0.5511866211891174
10,1-V-1rH5Bp8,23,0,14,26.0,0.0,480.0,355.0,2,0.5587218403816223
11,1-V-1rH5Bp8,23,0,19,0.0,1.0,257.0,353.0,69,0.42263397574424744
12,1-V-1rH5Bp8,23,1,12,0.0,6.0,478.0,328.0,4,0.6245747208595276
13,1-V-1rH5Bp8,23,1,13,1.0,4.0,475.0,343.0,2,0.4854404032230377
14,1-V-1rH5Bp8,23,1,14,1.0,1.0,473.0,348.0,2,0.5230214595794678
15,1-V-1rH5Bp8,23,1,15,0.0,6.0,476.0,338.0,2,0.5973070859909058
16,1-V-1rH5Bp8,23,1,15,5.0,2.0,189.0,176.0,0,0.43019989132881165
17,1-V-1rH5Bp8,23,1,16,400.0,1.0,480.0,71.0,2,0.733722448348999
18,1-V-1rH5Bp8,23,1,16,0.0,2.0,454.0,331.0,2,0.7092466950416565
19,1-V-1rH5Bp8,23,1,17,6.0,6.0,470.0,335.0,2,0.43740224838256836
20,1-V-1rH5Bp8,23,2,1,0.0,4.0,460.0,351.0,2,0.4187048077583313
21,1-V-1rH5Bp8,23,2,2,0.0,4.0,459.0,352.0,2,0.42065250873565674
22,1-V-1rH5Bp8,23,2,3,1.0,10.0,477.0,355.0,2,0.5011863708496094
23,1-V-1rH5Bp8,23,2,4,1.0,17.0,474.0,352.0,2,0.5895997285842896
24,1-V-1rH5Bp8,23,2,5,0.0,32.0,479.0,351.0,2,0.5675886869430542
25,1-V-1rH5Bp8,23,2,6,0.0,33.0,479.0,353.0,2,0.46037161350250244
26,1-V-1rH5Bp8,23,2,9,48.0,42.0,477.0,351.0,2,0.5469733476638794
27,1-V-1rH5Bp8,23,2,10,22.0,48.0,480.0,353.0,2,0.7186546921730042
28,1-V-1rH5Bp8,23,2,11,0.0,15.0,480.0,324.0,2,0.6060994267463684
29,1-V-1rH5Bp8,23,2,12,0.0,2.0,477.0,291.0,2,0.6846201419830322
30,1-V-1rH5Bp8,23,2,12,367.0,32.0,475.0,123.0,0,0.5464867949485779
31,1-V-1rH5Bp8,23,2,13,0.0,1.0,479.0,285.0,2,0.546198308467865
32,1-V-1rH5Bp8,23,2,14,0.0,10.0,476.0,280.0,2,0.48278719186782837
33,1-V-1rH5Bp8,23,2,14,168.0,47.0,262.0,114.0,16,0.43772897124290466
34,1-V-1rH5Bp8,23,2,15,0.0,20.0,477.0,260.0,2,0.6212847828865051
35,1-V-1rH5Bp8,23,2,16,5.0,26.0,480.0,218.0,2,0.5783892869949341
36,1-V-1rH5Bp8,23,2,16,248.0,46.0,320.0,105.0,16,0.44227057695388794
37,1-V-1rH5Bp8,23,2,17,0.0,20.0,479.0,233.0,2,0.538820207118988
38,1-V-1rH5Bp8,23,2,18,0.0,31.0,476.0,247.0,2,0.7112272381782532
39,1-V-1rH5Bp8,23,2,19,15.0,17.0,480.0,261.0,2,0.7983865141868591
