,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1-dX8rB0DXU,16,0,3,2.0,5.0,259.0,345.0,7,0.5130900740623474
1,1-dX8rB0DXU,16,0,4,2.0,7.0,477.0,320.0,7,0.5320633053779602
2,1-dX8rB0DXU,16,0,5,28.0,5.0,476.0,320.0,7,0.5507750511169434
3,1-dX8rB0DXU,16,0,6,53.0,164.0,71.0,201.0,0,0.6270624399185181
4,1-dX8rB0DXU,16,0,6,65.0,0.0,480.0,284.0,7,0.5837469100952148
5,1-dX8rB0DXU,16,0,7,102.0,16.0,478.0,259.0,7,0.46452975273132324
6,1-dX8rB0DXU,16,0,8,37.0,7.0,477.0,237.0,7,0.6076704263687134
7,1-dX8rB0DXU,16,0,8,0.0,83.0,70.0,199.0,7,0.5692428350448608
8,1-dX8rB0DXU,16,0,9,89.0,6.0,470.0,234.0,7,0.8037574291229248
9,1-dX8rB0DXU,16,0,9,0.0,74.0,112.0,185.0,7,0.7538917660713196
10,1-dX8rB0DXU,16,0,10,115.0,7.0,478.0,235.0,7,0.7311713695526123
11,1-dX8rB0DXU,16,0,10,11.0,75.0,146.0,194.0,7,0.6719501614570618
12,1-dX8rB0DXU,16,0,11,125.0,8.0,479.0,226.0,7,0.627039909362793
13,1-dX8rB0DXU,16,0,11,1.0,69.0,157.0,183.0,7,0.6069902777671814
14,1-dX8rB0DXU,16,0,12,132.0,6.0,480.0,231.0,7,0.8147432804107666
15,1-dX8rB0DXU,16,0,12,7.0,73.0,158.0,186.0,7,0.46726149320602417
16,1-dX8rB0DXU,16,0,13,135.0,6.0,480.0,231.0,7,0.8174193501472473
17,1-dX8rB0DXU,16,0,13,0.0,76.0,165.0,185.0,7,0.7597982883453369
18,1-dX8rB0DXU,16,0,13,21.0,151.0,39.0,189.0,0,0.6575356125831604
19,1-dX8rB0DXU,16,0,14,0.0,81.0,160.0,199.0,7,0.8154697418212891
20,1-dX8rB0DXU,16,0,14,130.0,5.0,480.0,235.0,7,0.8101077675819397
21,1-dX8rB0DXU,16,0,15,0.0,141.0,263.0,266.0,7,0.570808470249176
22,1-dX8rB0DXU,16,0,16,114.0,23.0,342.0,137.0,7,0.7676490545272827
23,1-dX8rB0DXU,16,0,16,223.0,24.0,335.0,129.0,7,0.5391710996627808
24,1-dX8rB0DXU,16,0,17,143.0,27.0,383.0,148.0,7,0.8242895603179932
25,1-dX8rB0DXU,16,0,18,37.0,81.0,290.0,236.0,7,0.6002687811851501
26,1-dX8rB0DXU,16,0,19,19.0,90.0,267.0,262.0,7,0.8125312328338623
27,1-dX8rB0DXU,16,0,20,130.0,15.0,362.0,215.0,7,0.7535484433174133
