,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,11QjYiE-300,23,0,1,0.0,8.0,640.0,353.0,2,0.6228874921798706
1,11QjYiE-300,23,0,1,399.0,12.0,528.0,115.0,2,0.5989506244659424
2,11QjYiE-300,23,0,1,213.0,151.0,260.0,187.0,16,0.565332293510437
3,11QjYiE-300,23,0,1,434.0,43.0,640.0,217.0,2,0.527055025100708
4,11QjYiE-300,23,0,2,0.0,9.0,640.0,354.0,2,0.602003812789917
5,11QjYiE-300,23,0,2,213.0,152.0,260.0,187.0,16,0.5920164585113525
6,11QjYiE-300,23,0,2,399.0,12.0,535.0,117.0,2,0.5312637090682983
7,11QjYiE-300,23,0,2,438.0,42.0,639.0,216.0,2,0.5187195539474487
8,11QjYiE-300,23,0,3,303.0,0.0,350.0,55.0,0,0.6748083233833313
9,11QjYiE-300,23,0,3,567.0,0.0,627.0,98.0,0,0.5460281372070312
10,11QjYiE-300,23,0,5,291.0,0.0,640.0,219.0,2,0.5927181243896484
11,11QjYiE-300,23,0,6,1.0,14.0,354.0,351.0,2,0.5292829275131226
12,11QjYiE-300,23,0,6,17.0,0.0,626.0,259.0,2,0.41526055335998535
13,11QjYiE-300,23,0,7,122.0,8.0,161.0,93.0,0,0.7276831269264221
14,11QjYiE-300,23,0,7,371.0,10.0,431.0,108.0,0,0.6901235580444336
15,11QjYiE-300,23,0,7,461.0,27.0,490.0,85.0,0,0.690010130405426
16,11QjYiE-300,23,0,7,509.0,36.0,569.0,106.0,0,0.6653585433959961
17,11QjYiE-300,23,0,7,23.0,23.0,626.0,320.0,2,0.5371766090393066
18,11QjYiE-300,23,0,7,7.0,18.0,126.0,96.0,2,0.5362759828567505
19,11QjYiE-300,23,0,7,0.0,30.0,355.0,356.0,2,0.5196699500083923
20,11QjYiE-300,23,0,7,581.0,80.0,640.0,176.0,3,0.45777520537376404
21,11QjYiE-300,23,0,7,153.0,14.0,277.0,77.0,2,0.44792187213897705
22,11QjYiE-300,23,0,7,112.0,9.0,131.0,78.0,0,0.4085703492164612
23,11QjYiE-300,23,0,8,499.0,2.0,626.0,262.0,0,0.8907305598258972
24,11QjYiE-300,23,0,8,596.0,0.0,630.0,76.0,0,0.7034907937049866
25,11QjYiE-300,23,0,8,19.0,0.0,572.0,342.0,3,0.5824114680290222
26,11QjYiE-300,23,0,9,545.0,2.0,640.0,296.0,0,0.8564286231994629
27,11QjYiE-300,23,0,9,541.0,1.0,581.0,65.0,0,0.6691735982894897
28,11QjYiE-300,23,0,9,19.0,0.0,598.0,349.0,3,0.5859454274177551
29,11QjYiE-300,23,0,9,361.0,2.0,474.0,84.0,3,0.439694881439209
30,11QjYiE-300,23,0,10,544.0,4.0,640.0,323.0,0,0.8365986347198486
31,11QjYiE-300,23,0,10,517.0,0.0,563.0,85.0,0,0.8324353098869324
32,11QjYiE-300,23,0,10,6.0,0.0,564.0,360.0,3,0.5025717616081238
33,11QjYiE-300,23,0,11,559.0,0.0,610.0,92.0,0,0.8444932103157043
34,11QjYiE-300,23,0,11,612.0,9.0,640.0,106.0,0,0.5646663904190063
35,11QjYiE-300,23,0,12,525.0,3.0,573.0,125.0,0,0.8298205137252808
36,11QjYiE-300,23,0,12,583.0,5.0,640.0,145.0,0,0.7237243056297302
37,11QjYiE-300,23,0,13,522.0,0.0,569.0,124.0,0,0.878796398639679
38,11QjYiE-300,23,0,13,575.0,5.0,632.0,139.0,0,0.8563844561576843
39,11QjYiE-300,23,0,13,13.0,1.0,630.0,360.0,2,0.47034570574760437
40,11QjYiE-300,23,0,14,587.0,0.0,640.0,113.0,0,0.8051334619522095
41,11QjYiE-300,23,0,14,339.0,106.0,402.0,176.0,0,0.5527700185775757
42,11QjYiE-300,23,0,14,0.0,5.0,102.0,114.0,2,0.5104150772094727
43,11QjYiE-300,23,0,14,15.0,1.0,634.0,358.0,2,0.4075879454612732
44,11QjYiE-300,23,0,16,0.0,0.0,640.0,360.0,5,0.40817248821258545
