,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,12NMxd-lOEA,2,0,1,427.0,219.0,480.0,347.0,56,0.7674821615219116
1,12NMxd-lOEA,2,0,1,352.0,214.0,441.0,338.0,56,0.7668055891990662
2,12NMxd-lOEA,2,0,1,270.0,160.0,330.0,285.0,0,0.5929656028747559
3,12NMxd-lOEA,2,0,1,140.0,97.0,263.0,214.0,0,0.5403915047645569
4,12NMxd-lOEA,2,0,1,145.0,94.0,264.0,355.0,0,0.429097980260849
5,12NMxd-lOEA,2,0,2,351.0,216.0,439.0,337.0,56,0.8186722993850708
6,12NMxd-lOEA,2,0,2,426.0,218.0,480.0,347.0,56,0.7743628025054932
7,12NMxd-lOEA,2,0,2,269.0,160.0,330.0,284.0,0,0.6682510375976562
8,12NMxd-lOEA,2,0,2,141.0,95.0,265.0,353.0,0,0.5565703511238098
9,12NMxd-lOEA,2,0,2,139.0,97.0,262.0,212.0,0,0.48065510392189026
10,12NMxd-lOEA,2,0,2,1.0,94.0,132.0,221.0,2,0.4299837350845337
11,12NMxd-lOEA,2,0,3,332.0,133.0,445.0,355.0,0,0.7801945209503174
12,12NMxd-lOEA,2,0,3,72.0,60.0,210.0,348.0,0,0.7724964618682861
13,12NMxd-lOEA,2,0,3,32.0,126.0,54.0,168.0,0,0.608323872089386
14,12NMxd-lOEA,2,0,3,427.0,60.0,480.0,320.0,0,0.4436942934989929
15,12NMxd-lOEA,2,0,3,280.0,131.0,293.0,169.0,0,0.4131276309490204
16,12NMxd-lOEA,2,0,3,400.0,14.0,480.0,89.0,25,0.4049815535545349
17,12NMxd-lOEA,2,0,4,201.0,116.0,290.0,228.0,0,0.7705695629119873
18,12NMxd-lOEA,2,0,4,55.0,71.0,199.0,352.0,0,0.7005492448806763
19,12NMxd-lOEA,2,0,4,327.0,164.0,337.0,192.0,0,0.6791799664497375
20,12NMxd-lOEA,2,0,4,424.0,168.0,466.0,236.0,0,0.5030844807624817
21,12NMxd-lOEA,2,0,4,314.0,272.0,480.0,357.0,0,0.4640633761882782
22,12NMxd-lOEA,2,0,4,0.0,99.0,53.0,155.0,25,0.4231182932853699
23,12NMxd-lOEA,2,0,4,196.0,113.0,293.0,339.0,0,0.40592458844184875
24,12NMxd-lOEA,2,0,5,70.0,53.0,201.0,245.0,0,0.7190247774124146
25,12NMxd-lOEA,2,0,5,304.0,145.0,323.0,205.0,0,0.7152987122535706
26,12NMxd-lOEA,2,0,5,270.0,119.0,345.0,146.0,25,0.6295507550239563
27,12NMxd-lOEA,2,0,5,0.0,94.0,69.0,210.0,0,0.5707522630691528
28,12NMxd-lOEA,2,0,6,267.0,77.0,323.0,99.0,25,0.6593586206436157
29,12NMxd-lOEA,2,0,6,65.0,89.0,83.0,138.0,0,0.631415843963623
30,12NMxd-lOEA,2,0,6,82.0,1.0,239.0,199.0,0,0.6007167100906372
