,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,18Xl8vdp3h4,6,0,1,84.0,580.0,234.0,700.0,45,0.8381434082984924
1,18Xl8vdp3h4,6,0,1,308.0,0.0,955.0,720.0,0,0.4864816665649414
2,18Xl8vdp3h4,6,0,1,338.0,331.0,989.0,720.0,19,0.47176796197891235
3,18Xl8vdp3h4,6,0,2,84.0,579.0,234.0,700.0,45,0.8413779139518738
4,18Xl8vdp3h4,6,0,2,312.0,0.0,789.0,720.0,0,0.49912920594215393
5,18Xl8vdp3h4,6,0,2,515.0,305.0,980.0,718.0,19,0.4530199468135834
6,18Xl8vdp3h4,6,0,3,323.0,28.0,948.0,718.0,0,0.8188112378120422
7,18Xl8vdp3h4,6,0,3,84.0,578.0,234.0,699.0,45,0.7995344996452332
8,18Xl8vdp3h4,6,0,3,669.0,303.0,983.0,716.0,19,0.4498324990272522
9,18Xl8vdp3h4,6,0,4,88.0,582.0,239.0,702.0,45,0.8508396744728088
10,18Xl8vdp3h4,6,0,4,329.0,29.0,971.0,707.0,0,0.7958422899246216
11,18Xl8vdp3h4,6,0,5,88.0,587.0,241.0,708.0,45,0.8117294907569885
12,18Xl8vdp3h4,6,0,5,324.0,32.0,951.0,720.0,0,0.7767360210418701
13,18Xl8vdp3h4,6,0,5,689.0,520.0,753.0,619.0,45,0.46831217408180237
14,18Xl8vdp3h4,6,0,6,87.0,587.0,237.0,707.0,45,0.8017889857292175
15,18Xl8vdp3h4,6,0,6,324.0,36.0,915.0,713.0,0,0.5779197812080383
16,18Xl8vdp3h4,6,0,6,645.0,318.0,997.0,719.0,16,0.41764065623283386
17,18Xl8vdp3h4,6,0,7,85.0,591.0,233.0,714.0,45,0.7063443064689636
18,18Xl8vdp3h4,6,0,7,321.0,16.0,877.0,720.0,0,0.691163957118988
19,18Xl8vdp3h4,6,0,7,627.0,319.0,995.0,719.0,19,0.42773565649986267
20,18Xl8vdp3h4,6,0,8,84.0,597.0,239.0,716.0,45,0.7809889316558838
