,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1Aj8DO7o75s,10,0,1,44.0,126.0,88.0,165.0,2,0.7031092047691345
1,1Aj8DO7o75s,10,0,1,147.0,265.0,234.0,358.0,0,0.5703372359275818
2,1Aj8DO7o75s,10,0,1,0.0,212.0,64.0,357.0,0,0.5460426211357117
3,1Aj8DO7o75s,10,0,1,0.0,103.0,21.0,136.0,0,0.48647022247314453
4,1Aj8DO7o75s,10,0,1,68.0,116.0,99.0,142.0,2,0.4164336919784546
5,1Aj8DO7o75s,10,0,2,52.0,127.0,89.0,165.0,2,0.5800889730453491
6,1Aj8DO7o75s,10,0,2,68.0,117.0,98.0,143.0,2,0.5563780069351196
7,1Aj8DO7o75s,10,0,2,0.0,103.0,20.0,136.0,0,0.5195907950401306
8,1Aj8DO7o75s,10,0,2,41.0,108.0,58.0,128.0,0,0.45683446526527405
9,1Aj8DO7o75s,10,0,2,0.0,232.0,64.0,357.0,0,0.4236275255680084
10,1Aj8DO7o75s,10,0,3,102.0,136.0,290.0,356.0,17,0.6473154425621033
11,1Aj8DO7o75s,10,0,3,278.0,70.0,307.0,95.0,2,0.6467521786689758
12,1Aj8DO7o75s,10,0,3,243.0,78.0,290.0,123.0,2,0.620204508304596
13,1Aj8DO7o75s,10,0,3,92.0,43.0,202.0,336.0,0,0.5912679433822632
14,1Aj8DO7o75s,10,0,4,85.0,59.0,333.0,353.0,0,0.5243245959281921
15,1Aj8DO7o75s,10,0,4,278.0,42.0,416.0,203.0,32,0.44377291202545166
16,1Aj8DO7o75s,10,0,7,342.0,130.0,480.0,356.0,0,0.7658593058586121
17,1Aj8DO7o75s,10,0,7,191.0,109.0,279.0,282.0,0,0.730991780757904
18,1Aj8DO7o75s,10,0,7,408.0,112.0,466.0,197.0,0,0.6109381318092346
19,1Aj8DO7o75s,10,0,7,210.0,192.0,273.0,287.0,17,0.5791526436805725
20,1Aj8DO7o75s,10,0,8,244.0,136.0,463.0,356.0,0,0.8318747282028198
21,1Aj8DO7o75s,10,0,8,314.0,115.0,380.0,208.0,0,0.6394947171211243
22,1Aj8DO7o75s,10,0,8,110.0,131.0,196.0,305.0,17,0.5151706337928772
23,1Aj8DO7o75s,10,0,8,111.0,112.0,196.0,221.0,0,0.4906274676322937
24,1Aj8DO7o75s,10,0,9,234.0,150.0,461.0,359.0,0,0.5252956748008728
25,1Aj8DO7o75s,10,0,11,219.0,159.0,346.0,317.0,17,0.7830948233604431
26,1Aj8DO7o75s,10,0,12,200.0,166.0,317.0,330.0,17,0.6149057149887085
27,1Aj8DO7o75s,10,0,12,194.0,163.0,319.0,327.0,18,0.47405362129211426
28,1Aj8DO7o75s,10,0,13,267.0,136.0,471.0,356.0,0,0.5707312226295471
29,1Aj8DO7o75s,10,0,13,272.0,230.0,480.0,356.0,17,0.4309849739074707
30,1Aj8DO7o75s,10,0,14,282.0,100.0,347.0,239.0,0,0.6463642716407776
31,1Aj8DO7o75s,10,0,14,158.0,196.0,292.0,291.0,19,0.4302677512168884
32,1Aj8DO7o75s,10,0,15,31.0,154.0,171.0,340.0,17,0.687278151512146
33,1Aj8DO7o75s,10,0,16,357.0,234.0,472.0,343.0,17,0.731529712677002
34,1Aj8DO7o75s,10,0,16,350.0,123.0,473.0,319.0,0,0.45252060890197754
