,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1C3_qaiKlwo,16,0,1,0.0,105.0,264.0,258.0,7,0.8727630972862244
1,1C3_qaiKlwo,16,0,2,0.0,105.0,263.0,258.0,7,0.8521765470504761
2,1C3_qaiKlwo,16,0,3,310.0,151.0,358.0,182.0,2,0.7350818514823914
3,1C3_qaiKlwo,16,0,3,38.0,86.0,319.0,240.0,7,0.699632465839386
4,1C3_qaiKlwo,16,0,4,387.0,171.0,477.0,218.0,2,0.7020978331565857
5,1C3_qaiKlwo,16,0,4,55.0,111.0,324.0,253.0,7,0.5268615484237671
6,1C3_qaiKlwo,16,0,5,0.0,117.0,262.0,255.0,7,0.8265045881271362
7,1C3_qaiKlwo,16,0,6,1.0,103.0,267.0,244.0,7,0.7809685468673706
8,1C3_qaiKlwo,16,0,7,17.0,124.0,269.0,261.0,7,0.7248075008392334
9,1C3_qaiKlwo,16,0,7,113.0,186.0,145.0,198.0,2,0.628261148929596
10,1C3_qaiKlwo,16,0,8,3.0,119.0,262.0,251.0,7,0.8001874685287476
11,1C3_qaiKlwo,16,0,8,103.0,174.0,133.0,187.0,2,0.6475101113319397
12,1C3_qaiKlwo,16,0,9,1.0,127.0,243.0,262.0,7,0.8375717401504517
13,1C3_qaiKlwo,16,0,9,44.0,186.0,70.0,200.0,2,0.6541844606399536
14,1C3_qaiKlwo,16,0,10,0.0,122.0,225.0,258.0,7,0.8642876148223877
15,1C3_qaiKlwo,16,0,11,0.0,78.0,268.0,226.0,7,0.8456677198410034
16,1C3_qaiKlwo,16,0,12,4.0,56.0,278.0,201.0,7,0.785337507724762
17,1C3_qaiKlwo,16,0,13,1.0,111.0,228.0,268.0,7,0.8718512058258057
18,1C3_qaiKlwo,16,0,14,0.0,100.0,282.0,284.0,7,0.5982571244239807
19,1C3_qaiKlwo,16,0,15,0.0,105.0,345.0,273.0,7,0.6111302375793457
20,1C3_qaiKlwo,16,0,16,88.0,108.0,333.0,256.0,7,0.5904605984687805
21,1C3_qaiKlwo,16,0,17,162.0,159.0,326.0,261.0,7,0.4011163115501404
22,1C3_qaiKlwo,16,0,18,168.0,147.0,276.0,221.0,7,0.6206279397010803
23,1C3_qaiKlwo,16,0,18,374.0,182.0,388.0,192.0,2,0.5865117311477661
24,1C3_qaiKlwo,16,0,19,189.0,162.0,260.0,216.0,7,0.662021279335022
