,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1FDJBLdl-54,0,0,1,168.0,115.0,190.0,181.0,0,0.8232210278511047
1,1FDJBLdl-54,0,0,1,131.0,124.0,155.0,191.0,0,0.805961549282074
2,1FDJBLdl-54,0,0,1,156.0,60.0,175.0,111.0,0,0.7367679476737976
3,1FDJBLdl-54,0,0,1,126.0,70.0,145.0,121.0,0,0.691216230392456
4,1FDJBLdl-54,0,0,1,73.0,40.0,90.0,62.0,0,0.665407121181488
5,1FDJBLdl-54,0,0,1,227.0,40.0,240.0,61.0,0,0.607569694519043
6,1FDJBLdl-54,0,0,1,278.0,105.0,300.0,150.0,0,0.5974581241607666
7,1FDJBLdl-54,0,0,1,151.0,39.0,168.0,63.0,0,0.43678006529808044
8,1FDJBLdl-54,0,0,2,169.0,115.0,190.0,181.0,0,0.8183850049972534
9,1FDJBLdl-54,0,0,2,131.0,124.0,156.0,191.0,0,0.806307852268219
10,1FDJBLdl-54,0,0,2,155.0,61.0,174.0,112.0,0,0.7553050518035889
11,1FDJBLdl-54,0,0,2,227.0,40.0,240.0,61.0,0,0.7085453867912292
12,1FDJBLdl-54,0,0,2,126.0,70.0,144.0,121.0,0,0.7041722536087036
13,1FDJBLdl-54,0,0,2,74.0,40.0,91.0,62.0,0,0.6228713989257812
14,1FDJBLdl-54,0,0,2,277.0,106.0,300.0,149.0,0,0.6213122010231018
15,1FDJBLdl-54,0,0,2,151.0,39.0,166.0,63.0,0,0.4959182143211365
16,1FDJBLdl-54,0,0,2,32.0,32.0,49.0,49.0,0,0.4560748040676117
17,1FDJBLdl-54,0,0,2,7.0,40.0,23.0,65.0,0,0.4278945326805115
18,1FDJBLdl-54,0,0,3,121.0,67.0,141.0,118.0,0,0.856971025466919
19,1FDJBLdl-54,0,0,3,142.0,124.0,164.0,192.0,0,0.7974962592124939
20,1FDJBLdl-54,0,0,3,161.0,117.0,182.0,182.0,0,0.7802955508232117
21,1FDJBLdl-54,0,0,3,158.0,60.0,177.0,113.0,0,0.7581952214241028
22,1FDJBLdl-54,0,0,3,227.0,40.0,240.0,61.0,0,0.7129793167114258
23,1FDJBLdl-54,0,0,3,73.0,40.0,90.0,62.0,0,0.6785250306129456
24,1FDJBLdl-54,0,0,3,278.0,105.0,300.0,150.0,0,0.5362045764923096
25,1FDJBLdl-54,0,0,3,32.0,32.0,49.0,48.0,0,0.5234712958335876
26,1FDJBLdl-54,0,0,3,151.0,39.0,166.0,62.0,0,0.5165296792984009
27,1FDJBLdl-54,0,0,3,8.0,40.0,23.0,64.0,0,0.4853968322277069
28,1FDJBLdl-54,0,0,4,158.0,112.0,180.0,174.0,0,0.8382916450500488
29,1FDJBLdl-54,0,0,4,109.0,127.0,136.0,189.0,0,0.7881906032562256
30,1FDJBLdl-54,0,0,4,122.0,65.0,139.0,117.0,0,0.7767996788024902
31,1FDJBLdl-54,0,0,4,74.0,40.0,91.0,62.0,0,0.6931635141372681
32,1FDJBLdl-54,0,0,4,156.0,62.0,173.0,99.0,0,0.6892524361610413
33,1FDJBLdl-54,0,0,4,227.0,39.0,240.0,61.0,0,0.6622951626777649
34,1FDJBLdl-54,0,0,4,276.0,106.0,299.0,147.0,0,0.6589285731315613
35,1FDJBLdl-54,0,0,4,151.0,39.0,166.0,62.0,0,0.5932943224906921
36,1FDJBLdl-54,0,0,4,31.0,32.0,49.0,49.0,0,0.5292779803276062
37,1FDJBLdl-54,0,0,5,58.0,41.0,203.0,229.0,0,0.6445372104644775
38,1FDJBLdl-54,0,0,5,182.0,95.0,224.0,201.0,0,0.6362017393112183
39,1FDJBLdl-54,0,0,5,244.0,55.0,313.0,143.0,0,0.62029629945755
40,1FDJBLdl-54,0,0,5,143.0,2.0,233.0,74.0,0,0.5153599977493286
41,1FDJBLdl-54,0,0,5,51.0,65.0,86.0,116.0,0,0.468237042427063
42,1FDJBLdl-54,0,0,5,223.0,7.0,269.0,87.0,0,0.4200369119644165
43,1FDJBLdl-54,0,0,6,162.0,88.0,229.0,190.0,0,0.6484407186508179
44,1FDJBLdl-54,0,0,6,140.0,2.0,231.0,82.0,0,0.5396169424057007
45,1FDJBLdl-54,0,0,6,259.0,59.0,313.0,139.0,0,0.4982864260673523
46,1FDJBLdl-54,0,0,6,225.0,7.0,270.0,81.0,0,0.48376503586769104
47,1FDJBLdl-54,0,0,6,58.0,40.0,181.0,233.0,0,0.45867085456848145
48,1FDJBLdl-54,0,0,6,0.0,41.0,54.0,108.0,0,0.43660277128219604
49,1FDJBLdl-54,0,0,6,228.0,100.0,305.0,224.0,0,0.40505746006965637
50,1FDJBLdl-54,0,0,7,166.0,7.0,233.0,69.0,0,0.7383419871330261
51,1FDJBLdl-54,0,0,7,254.0,58.0,314.0,137.0,0,0.5719330310821533
52,1FDJBLdl-54,0,0,7,62.0,31.0,237.0,226.0,0,0.4625682532787323
53,1FDJBLdl-54,0,0,8,151.0,7.0,225.0,67.0,0,0.6547841429710388
54,1FDJBLdl-54,0,0,8,244.0,55.0,313.0,141.0,0,0.6386653780937195
55,1FDJBLdl-54,0,0,8,60.0,36.0,210.0,226.0,0,0.4752330482006073
56,1FDJBLdl-54,0,0,8,240.0,99.0,304.0,160.0,0,0.42446327209472656
57,1FDJBLdl-54,0,0,9,154.0,7.0,223.0,76.0,0,0.6588433384895325
58,1FDJBLdl-54,0,0,9,2.0,40.0,57.0,109.0,0,0.6373874545097351
59,1FDJBLdl-54,0,0,9,254.0,57.0,313.0,140.0,0,0.534254789352417
60,1FDJBLdl-54,0,0,9,61.0,38.0,243.0,225.0,0,0.49154847860336304
61,1FDJBLdl-54,0,0,10,159.0,7.0,223.0,71.0,0,0.5347209572792053
62,1FDJBLdl-54,0,0,10,243.0,58.0,313.0,143.0,0,0.47269734740257263
63,1FDJBLdl-54,0,0,10,65.0,36.0,249.0,227.0,0,0.46584421396255493
64,1FDJBLdl-54,0,0,10,1.0,40.0,54.0,108.0,0,0.4167267084121704
65,1FDJBLdl-54,0,0,11,10.0,56.0,60.0,206.0,0,0.8760108947753906
66,1FDJBLdl-54,0,0,11,193.0,55.0,237.0,208.0,0,0.7799450755119324
67,1FDJBLdl-54,0,0,11,242.0,103.0,279.0,164.0,0,0.6974605917930603
68,1FDJBLdl-54,0,0,12,178.0,70.0,240.0,208.0,0,0.8721713423728943
69,1FDJBLdl-54,0,0,12,19.0,60.0,68.0,198.0,0,0.769939661026001
70,1FDJBLdl-54,0,0,12,267.0,103.0,306.0,144.0,0,0.5351800918579102
71,1FDJBLdl-54,0,0,13,168.0,63.0,224.0,219.0,0,0.842198371887207
72,1FDJBLdl-54,0,0,13,49.0,61.0,96.0,198.0,0,0.8400373458862305
73,1FDJBLdl-54,0,0,13,283.0,104.0,314.0,142.0,0,0.5669018030166626
74,1FDJBLdl-54,0,0,13,0.0,106.0,19.0,158.0,0,0.5159729719161987
75,1FDJBLdl-54,0,0,14,83.0,60.0,134.0,203.0,0,0.847091794013977
76,1FDJBLdl-54,0,0,14,152.0,55.0,214.0,218.0,0,0.8214548826217651
77,1FDJBLdl-54,0,0,14,258.0,101.0,295.0,146.0,0,0.6163114309310913
78,1FDJBLdl-54,0,0,15,126.0,73.0,146.0,123.0,0,0.8464245200157166
79,1FDJBLdl-54,0,0,15,137.0,118.0,159.0,184.0,0,0.8347004055976868
80,1FDJBLdl-54,0,0,15,161.0,109.0,182.0,173.0,0,0.8184762001037598
81,1FDJBLdl-54,0,0,15,157.0,57.0,177.0,107.0,0,0.755395233631134
82,1FDJBLdl-54,0,0,15,227.0,39.0,240.0,61.0,0,0.6573144793510437
83,1FDJBLdl-54,0,0,15,151.0,39.0,166.0,63.0,0,0.6236936450004578
84,1FDJBLdl-54,0,0,15,74.0,40.0,91.0,63.0,0,0.6182646751403809
85,1FDJBLdl-54,0,0,15,31.0,32.0,49.0,49.0,0,0.5835694670677185
86,1FDJBLdl-54,0,0,15,7.0,40.0,22.0,66.0,0,0.4970259368419647
87,1FDJBLdl-54,0,0,15,277.0,106.0,300.0,149.0,0,0.4067878723144531
88,1FDJBLdl-54,0,0,16,155.0,109.0,177.0,170.0,0,0.7683196663856506
89,1FDJBLdl-54,0,0,16,157.0,62.0,176.0,104.0,0,0.7155210375785828
90,1FDJBLdl-54,0,0,16,134.0,120.0,154.0,185.0,0,0.6792776584625244
91,1FDJBLdl-54,0,0,16,226.0,39.0,240.0,61.0,0,0.6386106014251709
92,1FDJBLdl-54,0,0,16,151.0,39.0,166.0,62.0,0,0.6356390714645386
93,1FDJBLdl-54,0,0,16,74.0,40.0,91.0,63.0,0,0.6254422664642334
94,1FDJBLdl-54,0,0,16,277.0,106.0,300.0,149.0,0,0.5839738249778748
95,1FDJBLdl-54,0,0,16,32.0,32.0,49.0,49.0,0,0.5166189074516296
96,1FDJBLdl-54,0,0,16,7.0,40.0,22.0,66.0,0,0.49776652455329895
97,1FDJBLdl-54,0,0,17,151.0,8.0,216.0,76.0,0,0.6567581295967102
98,1FDJBLdl-54,0,0,17,32.0,28.0,310.0,231.0,0,0.5618099570274353
99,1FDJBLdl-54,0,0,17,174.0,54.0,230.0,111.0,0,0.4614240825176239
