,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1FQe7wKjZfk,15,0,5,156.0,8.0,196.0,95.0,0,0.6606707572937012
1,1FQe7wKjZfk,15,0,5,23.0,80.0,62.0,134.0,0,0.5285168290138245
2,1FQe7wKjZfk,15,0,8,2.0,0.0,314.0,178.0,6,0.5557871460914612
3,1FQe7wKjZfk,15,0,8,206.0,18.0,227.0,76.0,0,0.516364336013794
4,1FQe7wKjZfk,15,0,11,95.0,12.0,153.0,114.0,0,0.5739095211029053
5,1FQe7wKjZfk,15,0,12,154.0,16.0,193.0,99.0,0,0.5302569270133972
6,1FQe7wKjZfk,15,0,12,29.0,74.0,76.0,131.0,0,0.4122588038444519
7,1FQe7wKjZfk,15,0,13,260.0,28.0,277.0,57.0,0,0.6260310411453247
8,1FQe7wKjZfk,15,0,14,3.0,91.0,51.0,151.0,0,0.6936669945716858
9,1FQe7wKjZfk,15,0,14,0.0,8.0,307.0,178.0,6,0.6166456937789917
10,1FQe7wKjZfk,15,0,14,249.0,32.0,259.0,58.0,0,0.46671271324157715
11,1FQe7wKjZfk,15,0,17,215.0,112.0,261.0,179.0,0,0.8217279314994812
