,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1GVOC5hhvcM,21,0,3,479.0,20.0,1255.0,703.0,0,0.871499240398407
1,1GVOC5hhvcM,21,0,3,404.0,348.0,548.0,512.0,41,0.6651692390441895
2,1GVOC5hhvcM,21,0,4,594.0,167.0,734.0,326.0,41,0.7939197421073914
3,1GVOC5hhvcM,21,0,5,1.0,394.0,535.0,716.0,25,0.869434118270874
4,1GVOC5hhvcM,21,0,5,545.0,289.0,674.0,441.0,41,0.8560506105422974
5,1GVOC5hhvcM,21,0,5,662.0,3.0,1274.0,720.0,0,0.5739428400993347
6,1GVOC5hhvcM,21,0,6,508.0,280.0,641.0,427.0,41,0.8076147437095642
7,1GVOC5hhvcM,21,0,6,2.0,381.0,527.0,718.0,25,0.7989286780357361
8,1GVOC5hhvcM,21,0,6,609.0,6.0,1278.0,715.0,0,0.5316759943962097
9,1GVOC5hhvcM,21,0,8,457.0,111.0,946.0,582.0,41,0.5142011046409607
10,1GVOC5hhvcM,21,0,8,62.0,1.0,340.0,487.0,39,0.4596845805644989
11,1GVOC5hhvcM,21,0,10,8.0,0.0,1279.0,698.0,25,0.5262854099273682
12,1GVOC5hhvcM,21,0,12,3.0,0.0,1274.0,495.0,25,0.48113009333610535
13,1GVOC5hhvcM,21,0,13,560.0,66.0,669.0,418.0,0,0.8283817172050476
14,1GVOC5hhvcM,21,0,14,555.0,79.0,664.0,434.0,0,0.7833375334739685
15,1GVOC5hhvcM,21,0,15,346.0,4.0,1280.0,705.0,25,0.8905916810035706
16,1GVOC5hhvcM,21,0,16,605.0,59.0,987.0,344.0,25,0.9166374206542969
17,1GVOC5hhvcM,21,0,16,768.0,213.0,983.0,716.0,0,0.7313115000724792
18,1GVOC5hhvcM,21,0,18,923.0,378.0,1040.0,458.0,25,0.8176015019416809
19,1GVOC5hhvcM,21,0,18,992.0,436.0,1170.0,667.0,0,0.7749426364898682
20,1GVOC5hhvcM,21,1,1,455.0,110.0,916.0,706.0,0,0.9267950057983398
21,1GVOC5hhvcM,21,1,2,456.0,111.0,914.0,706.0,0,0.927182137966156
22,1GVOC5hhvcM,21,1,3,520.0,47.0,989.0,711.0,0,0.8545423746109009
23,1GVOC5hhvcM,21,1,3,870.0,0.0,1278.0,354.0,25,0.7818092703819275
