,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1G_pVj6IQV4,4,0,1,102.0,105.0,156.0,164.0,7,0.7660334706306458
1,1G_pVj6IQV4,4,0,1,0.0,137.0,47.0,209.0,2,0.7311998009681702
2,1G_pVj6IQV4,4,0,1,58.0,125.0,90.0,161.0,7,0.6616741418838501
3,1G_pVj6IQV4,4,0,1,177.0,130.0,186.0,155.0,0,0.5664445161819458
4,1G_pVj6IQV4,4,0,1,27.0,141.0,51.0,160.0,2,0.5284553170204163
5,1G_pVj6IQV4,4,0,1,200.0,134.0,260.0,160.0,7,0.49965059757232666
6,1G_pVj6IQV4,4,0,1,87.0,135.0,102.0,150.0,2,0.48065558075904846
7,1G_pVj6IQV4,4,0,1,199.0,134.0,261.0,160.0,2,0.4352045953273773
8,1G_pVj6IQV4,4,0,2,102.0,105.0,154.0,165.0,7,0.7655110359191895
9,1G_pVj6IQV4,4,0,2,0.0,137.0,47.0,210.0,2,0.7395604848861694
10,1G_pVj6IQV4,4,0,2,58.0,123.0,91.0,161.0,7,0.6363480687141418
11,1G_pVj6IQV4,4,0,2,178.0,131.0,186.0,155.0,0,0.6130720973014832
12,1G_pVj6IQV4,4,0,2,199.0,134.0,260.0,160.0,7,0.5106440186500549
13,1G_pVj6IQV4,4,0,2,87.0,135.0,103.0,150.0,2,0.5045814514160156
14,1G_pVj6IQV4,4,0,2,27.0,140.0,51.0,160.0,2,0.469256728887558
15,1G_pVj6IQV4,4,0,2,198.0,134.0,261.0,160.0,2,0.44528329372406006
16,1G_pVj6IQV4,4,0,3,0.0,134.0,46.0,206.0,2,0.810066819190979
17,1G_pVj6IQV4,4,0,3,99.0,100.0,157.0,168.0,7,0.7184169292449951
18,1G_pVj6IQV4,4,0,3,60.0,125.0,91.0,160.0,5,0.5967826247215271
19,1G_pVj6IQV4,4,0,3,28.0,138.0,55.0,157.0,2,0.5797880291938782
20,1G_pVj6IQV4,4,0,3,234.0,134.0,320.0,172.0,7,0.5152726173400879
21,1G_pVj6IQV4,4,0,3,234.0,135.0,320.0,172.0,2,0.4748936891555786
22,1G_pVj6IQV4,4,0,3,99.0,99.0,157.0,170.0,5,0.4078500270843506
23,1G_pVj6IQV4,4,0,4,0.0,132.0,48.0,203.0,2,0.8468010425567627
24,1G_pVj6IQV4,4,0,4,94.0,88.0,164.0,175.0,7,0.7305006384849548
25,1G_pVj6IQV4,4,0,4,241.0,134.0,253.0,172.0,0,0.607255756855011
26,1G_pVj6IQV4,4,0,4,62.0,123.0,94.0,157.0,5,0.5364806652069092
27,1G_pVj6IQV4,4,0,4,63.0,123.0,93.0,157.0,7,0.4950779676437378
28,1G_pVj6IQV4,4,0,4,162.0,131.0,185.0,153.0,2,0.4868181049823761
29,1G_pVj6IQV4,4,0,4,31.0,137.0,59.0,154.0,2,0.4823547303676605
30,1G_pVj6IQV4,4,0,5,0.0,135.0,53.0,203.0,2,0.8636126518249512
31,1G_pVj6IQV4,4,0,5,87.0,82.0,172.0,185.0,7,0.8481375575065613
32,1G_pVj6IQV4,4,0,5,39.0,138.0,64.0,156.0,2,0.6758342385292053
33,1G_pVj6IQV4,4,0,5,170.0,131.0,206.0,160.0,7,0.4541706442832947
34,1G_pVj6IQV4,4,0,5,67.0,128.0,91.0,159.0,7,0.40332892537117004
35,1G_pVj6IQV4,4,0,6,0.0,135.0,59.0,193.0,2,0.8652205467224121
36,1G_pVj6IQV4,4,0,6,88.0,75.0,178.0,183.0,7,0.8138449788093567
37,1G_pVj6IQV4,4,0,6,46.0,138.0,69.0,153.0,2,0.729943037033081
38,1G_pVj6IQV4,4,0,6,181.0,128.0,240.0,171.0,7,0.6163281798362732
39,1G_pVj6IQV4,4,0,6,85.0,138.0,98.0,154.0,2,0.41095542907714844
40,1G_pVj6IQV4,4,0,7,83.0,74.0,180.0,186.0,7,0.9050456881523132
41,1G_pVj6IQV4,4,0,7,0.0,132.0,66.0,183.0,2,0.7317114472389221
42,1G_pVj6IQV4,4,0,7,208.0,123.0,313.0,193.0,2,0.6570181846618652
43,1G_pVj6IQV4,4,0,7,88.0,136.0,96.0,147.0,2,0.5700089335441589
44,1G_pVj6IQV4,4,0,7,57.0,137.0,73.0,150.0,2,0.509177029132843
45,1G_pVj6IQV4,4,0,7,207.0,124.0,314.0,193.0,7,0.4098462462425232
46,1G_pVj6IQV4,4,0,8,80.0,71.0,183.0,180.0,7,0.8868259787559509
47,1G_pVj6IQV4,4,0,8,14.0,133.0,72.0,176.0,2,0.8711424469947815
48,1G_pVj6IQV4,4,0,8,267.0,122.0,320.0,228.0,2,0.4954780042171478
49,1G_pVj6IQV4,4,0,8,56.0,135.0,78.0,150.0,2,0.47232291102409363
50,1G_pVj6IQV4,4,0,8,0.0,95.0,25.0,161.0,5,0.45560967922210693
51,1G_pVj6IQV4,4,0,9,66.0,59.0,189.0,192.0,7,0.8125030994415283
52,1G_pVj6IQV4,4,0,9,249.0,130.0,277.0,156.0,2,0.4518240988254547
53,1G_pVj6IQV4,4,0,9,27.0,133.0,67.0,170.0,2,0.44684886932373047
54,1G_pVj6IQV4,4,0,10,176.0,135.0,202.0,158.0,2,0.8232112526893616
55,1G_pVj6IQV4,4,0,10,33.0,46.0,181.0,218.0,7,0.7346465587615967
56,1G_pVj6IQV4,4,0,11,178.0,134.0,219.0,163.0,2,0.8534625172615051
57,1G_pVj6IQV4,4,0,11,5.0,42.0,151.0,212.0,7,0.7479813694953918
58,1G_pVj6IQV4,4,0,11,166.0,120.0,206.0,158.0,7,0.5638532638549805
59,1G_pVj6IQV4,4,0,11,167.0,121.0,213.0,161.0,2,0.40109702944755554
60,1G_pVj6IQV4,4,0,12,1.0,54.0,113.0,205.0,7,0.8551674485206604
61,1G_pVj6IQV4,4,0,12,187.0,135.0,248.0,176.0,2,0.6581310033798218
62,1G_pVj6IQV4,4,0,12,109.0,123.0,129.0,161.0,7,0.4485209882259369
63,1G_pVj6IQV4,4,0,13,215.0,134.0,314.0,204.0,2,0.8714677691459656
64,1G_pVj6IQV4,4,0,13,94.0,117.0,129.0,164.0,7,0.7601134777069092
65,1G_pVj6IQV4,4,0,13,181.0,111.0,263.0,179.0,7,0.7489386200904846
66,1G_pVj6IQV4,4,0,13,127.0,136.0,140.0,156.0,2,0.6569632291793823
67,1G_pVj6IQV4,4,0,13,0.0,62.0,75.0,208.0,7,0.6416656970977783
68,1G_pVj6IQV4,4,0,13,0.0,61.0,78.0,204.0,5,0.6126880645751953
69,1G_pVj6IQV4,4,0,14,207.0,83.0,320.0,207.0,7,0.7651967406272888
70,1G_pVj6IQV4,4,0,14,87.0,112.0,127.0,164.0,7,0.7607558369636536
71,1G_pVj6IQV4,4,0,14,0.0,56.0,63.0,201.0,5,0.7175899147987366
72,1G_pVj6IQV4,4,0,14,125.0,128.0,141.0,151.0,2,0.6830936670303345
73,1G_pVj6IQV4,4,0,14,64.0,131.0,89.0,151.0,2,0.6697996258735657
74,1G_pVj6IQV4,4,0,14,291.0,162.0,320.0,226.0,2,0.4453398287296295
75,1G_pVj6IQV4,4,0,15,0.0,63.0,57.0,204.0,5,0.8126517534255981
76,1G_pVj6IQV4,4,0,15,79.0,112.0,124.0,172.0,5,0.6564884781837463
77,1G_pVj6IQV4,4,0,15,123.0,133.0,143.0,156.0,2,0.5913454294204712
78,1G_pVj6IQV4,4,0,15,77.0,111.0,124.0,172.0,7,0.5471771359443665
79,1G_pVj6IQV4,4,0,15,64.0,128.0,83.0,154.0,5,0.4027327001094818
80,1G_pVj6IQV4,4,0,16,0.0,55.0,58.0,203.0,5,0.8536587953567505
81,1G_pVj6IQV4,4,0,16,73.0,107.0,126.0,177.0,7,0.8491420149803162
82,1G_pVj6IQV4,4,0,16,123.0,132.0,144.0,158.0,2,0.7992910146713257
83,1G_pVj6IQV4,4,0,16,194.0,128.0,224.0,149.0,2,0.7009340524673462
84,1G_pVj6IQV4,4,0,16,149.0,132.0,166.0,142.0,2,0.6217775940895081
85,1G_pVj6IQV4,4,0,17,0.0,47.0,58.0,203.0,5,0.7894414067268372
86,1G_pVj6IQV4,4,0,17,58.0,95.0,127.0,188.0,5,0.7255945801734924
87,1G_pVj6IQV4,4,0,17,213.0,128.0,240.0,152.0,2,0.7171443104743958
88,1G_pVj6IQV4,4,0,17,125.0,131.0,145.0,160.0,2,0.6247069239616394
89,1G_pVj6IQV4,4,0,17,153.0,129.0,172.0,143.0,2,0.6202583909034729
90,1G_pVj6IQV4,4,0,17,170.0,129.0,185.0,139.0,2,0.43683773279190063
91,1G_pVj6IQV4,4,0,18,125.0,131.0,145.0,164.0,2,0.818588376045227
92,1G_pVj6IQV4,4,0,18,236.0,127.0,273.0,158.0,2,0.7868364453315735
93,1G_pVj6IQV4,4,0,18,155.0,129.0,178.0,145.0,2,0.7854297757148743
94,1G_pVj6IQV4,4,0,18,0.0,69.0,49.0,202.0,5,0.72602778673172
95,1G_pVj6IQV4,4,0,18,46.0,90.0,128.0,202.0,5,0.6254711151123047
96,1G_pVj6IQV4,4,0,18,142.0,130.0,158.0,142.0,2,0.5293307304382324
97,1G_pVj6IQV4,4,0,18,291.0,103.0,320.0,151.0,7,0.45907431840896606
98,1G_pVj6IQV4,4,0,19,266.0,129.0,320.0,171.0,2,0.903995931148529
99,1G_pVj6IQV4,4,0,19,122.0,135.0,144.0,169.0,2,0.8008432984352112
100,1G_pVj6IQV4,4,0,19,159.0,134.0,183.0,150.0,2,0.7549149990081787
101,1G_pVj6IQV4,4,0,19,24.0,85.0,128.0,215.0,7,0.5208086371421814
102,1G_pVj6IQV4,4,0,19,221.0,125.0,232.0,156.0,0,0.4493286609649658
