,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1HNIKNRYqyk,19,0,1,71.0,103.0,229.0,275.0,15,0.4371718466281891
1,1HNIKNRYqyk,19,0,2,71.0,97.0,234.0,274.0,15,0.481828898191452
2,1HNIKNRYqyk,19,0,3,119.0,197.0,158.0,242.0,51,0.623744785785675
3,1HNIKNRYqyk,19,0,4,144.0,158.0,178.0,191.0,51,0.6467035412788391
4,1HNIKNRYqyk,19,0,5,141.0,142.0,177.0,180.0,51,0.43962880969047546
5,1HNIKNRYqyk,19,0,6,152.0,171.0,188.0,199.0,51,0.6249404549598694
6,1HNIKNRYqyk,19,0,6,125.0,52.0,267.0,203.0,16,0.42459434270858765
7,1HNIKNRYqyk,19,0,8,153.0,184.0,197.0,223.0,29,0.6506776809692383
8,1HNIKNRYqyk,19,0,8,152.0,184.0,197.0,223.0,51,0.46160128712654114
9,1HNIKNRYqyk,19,0,8,127.0,70.0,293.0,224.0,16,0.40311944484710693
10,1HNIKNRYqyk,19,0,16,93.0,126.0,140.0,206.0,51,0.5363857746124268
11,1HNIKNRYqyk,19,0,17,102.0,68.0,297.0,271.0,16,0.5301970839500427
