,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1IAIhX6u9AQ,16,0,8,410.0,75.0,479.0,318.0,0,0.7322375178337097
1,1IAIhX6u9AQ,16,0,8,0.0,8.0,471.0,329.0,7,0.4135877192020416
2,1IAIhX6u9AQ,16,0,9,337.0,123.0,423.0,170.0,2,0.8801934719085693
3,1IAIhX6u9AQ,16,0,9,245.0,32.0,314.0,241.0,0,0.5554503202438354
4,1IAIhX6u9AQ,16,0,9,0.0,0.0,261.0,291.0,7,0.4872816503047943
5,1IAIhX6u9AQ,16,0,10,147.0,109.0,233.0,156.0,2,0.867271900177002
6,1IAIhX6u9AQ,16,0,10,25.0,15.0,86.0,230.0,0,0.6013711094856262
7,1IAIhX6u9AQ,16,0,11,453.0,46.0,480.0,110.0,2,0.6308310627937317
8,1IAIhX6u9AQ,16,0,12,429.0,89.0,480.0,159.0,2,0.8097257018089294
9,1IAIhX6u9AQ,16,0,13,19.0,0.0,474.0,138.0,7,0.5372964143753052
10,1IAIhX6u9AQ,16,0,15,140.0,2.0,479.0,177.0,7,0.4807470142841339
11,1IAIhX6u9AQ,16,0,16,0.0,11.0,478.0,220.0,7,0.7395887970924377
12,1IAIhX6u9AQ,16,0,17,4.0,6.0,400.0,289.0,7,0.5425534248352051
13,1IAIhX6u9AQ,16,0,18,3.0,0.0,302.0,235.0,7,0.7238719463348389
14,1IAIhX6u9AQ,16,0,19,218.0,107.0,300.0,155.0,2,0.8421257138252258
15,1IAIhX6u9AQ,16,0,19,0.0,8.0,230.0,223.0,7,0.8043463826179504
16,1IAIhX6u9AQ,16,1,1,153.0,179.0,218.0,265.0,28,0.7546355724334717
17,1IAIhX6u9AQ,16,1,1,146.0,87.0,213.0,292.0,0,0.4118836522102356
18,1IAIhX6u9AQ,16,1,2,153.0,177.0,217.0,266.0,28,0.7041802406311035
19,1IAIhX6u9AQ,16,1,2,146.0,85.0,211.0,291.0,0,0.42003461718559265
20,1IAIhX6u9AQ,16,1,3,203.0,105.0,302.0,329.0,0,0.8277626633644104
21,1IAIhX6u9AQ,16,1,3,283.0,237.0,355.0,327.0,28,0.4131743609905243
22,1IAIhX6u9AQ,16,1,4,367.0,116.0,436.0,331.0,0,0.7142856121063232
23,1IAIhX6u9AQ,16,1,5,420.0,117.0,468.0,260.0,0,0.7599154710769653
24,1IAIhX6u9AQ,16,1,9,435.0,184.0,480.0,269.0,2,0.5486640930175781
25,1IAIhX6u9AQ,16,1,10,290.0,207.0,315.0,262.0,2,0.7212814688682556
26,1IAIhX6u9AQ,16,1,10,0.0,34.0,313.0,336.0,7,0.5353112816810608
27,1IAIhX6u9AQ,16,1,11,405.0,196.0,453.0,254.0,2,0.857574462890625
28,1IAIhX6u9AQ,16,1,11,5.0,20.0,304.0,324.0,7,0.6432414650917053
29,1IAIhX6u9AQ,16,1,11,381.0,198.0,408.0,213.0,2,0.4458976089954376
30,1IAIhX6u9AQ,16,1,13,439.0,179.0,480.0,236.0,2,0.892642617225647
31,1IAIhX6u9AQ,16,1,13,400.0,144.0,480.0,199.0,5,0.5362699031829834
32,1IAIhX6u9AQ,16,1,14,337.0,188.0,384.0,242.0,2,0.849923849105835
33,1IAIhX6u9AQ,16,1,14,0.0,20.0,209.0,306.0,7,0.5221721529960632
34,1IAIhX6u9AQ,16,1,14,299.0,154.0,389.0,206.0,7,0.41416895389556885
35,1IAIhX6u9AQ,16,1,15,386.0,207.0,434.0,262.0,2,0.8730373382568359
36,1IAIhX6u9AQ,16,1,15,348.0,171.0,438.0,226.0,5,0.40112563967704773
37,1IAIhX6u9AQ,16,1,16,366.0,196.0,415.0,249.0,2,0.8313196301460266
38,1IAIhX6u9AQ,16,1,16,4.0,17.0,308.0,306.0,7,0.8161734938621521
39,1IAIhX6u9AQ,16,1,16,328.0,160.0,421.0,212.0,5,0.7028452754020691
40,1IAIhX6u9AQ,16,1,17,334.0,202.0,381.0,256.0,2,0.8581241965293884
41,1IAIhX6u9AQ,16,1,17,8.0,49.0,293.0,289.0,7,0.7995094656944275
42,1IAIhX6u9AQ,16,1,17,0.0,196.0,33.0,238.0,2,0.774391770362854
43,1IAIhX6u9AQ,16,1,17,293.0,167.0,383.0,222.0,5,0.5106196403503418
44,1IAIhX6u9AQ,16,1,17,290.0,165.0,383.0,221.0,7,0.4137926399707794
45,1IAIhX6u9AQ,16,1,18,307.0,229.0,353.0,285.0,2,0.8797591924667358
46,1IAIhX6u9AQ,16,1,18,114.0,123.0,268.0,288.0,7,0.76193767786026
47,1IAIhX6u9AQ,16,1,18,275.0,194.0,356.0,247.0,5,0.7431466579437256
48,1IAIhX6u9AQ,16,1,18,0.0,216.0,15.0,261.0,2,0.537860631942749
49,1IAIhX6u9AQ,16,1,19,347.0,241.0,424.0,331.0,2,0.8784728050231934
50,1IAIhX6u9AQ,16,1,19,306.0,185.0,428.0,264.0,5,0.775716245174408
51,1IAIhX6u9AQ,16,1,19,141.0,111.0,301.0,315.0,7,0.6083178520202637
52,1IAIhX6u9AQ,16,2,1,189.0,33.0,400.0,222.0,7,0.8832388520240784
53,1IAIhX6u9AQ,16,2,1,0.0,133.0,130.0,216.0,2,0.7793440222740173
54,1IAIhX6u9AQ,16,2,1,5.0,95.0,93.0,135.0,2,0.5707255005836487
55,1IAIhX6u9AQ,16,2,2,189.0,33.0,400.0,222.0,7,0.8698502779006958
56,1IAIhX6u9AQ,16,2,2,0.0,133.0,132.0,217.0,2,0.8123801350593567
57,1IAIhX6u9AQ,16,2,2,6.0,94.0,92.0,134.0,2,0.6137887835502625
58,1IAIhX6u9AQ,16,2,3,0.0,109.0,129.0,197.0,2,0.7661884427070618
59,1IAIhX6u9AQ,16,2,3,177.0,14.0,395.0,203.0,7,0.650649905204773
60,1IAIhX6u9AQ,16,2,4,23.0,153.0,206.0,237.0,2,0.8379023671150208
61,1IAIhX6u9AQ,16,2,4,200.0,32.0,473.0,249.0,7,0.8373075723648071
62,1IAIhX6u9AQ,16,2,4,98.0,118.0,177.0,157.0,2,0.6296944618225098
63,1IAIhX6u9AQ,16,2,5,69.0,4.0,462.0,220.0,7,0.42177584767341614
64,1IAIhX6u9AQ,16,2,6,451.0,112.0,480.0,135.0,2,0.7654985785484314
65,1IAIhX6u9AQ,16,2,6,0.0,4.0,457.0,245.0,7,0.7619313597679138
66,1IAIhX6u9AQ,16,2,6,432.0,104.0,462.0,129.0,2,0.42299047112464905
67,1IAIhX6u9AQ,16,2,9,461.0,148.0,480.0,171.0,2,0.43089157342910767
68,1IAIhX6u9AQ,16,2,14,4.0,0.0,478.0,358.0,6,0.4767102599143982
69,1IAIhX6u9AQ,16,2,15,0.0,142.0,134.0,353.0,72,0.6027714610099792
70,1IAIhX6u9AQ,16,2,16,384.0,207.0,412.0,228.0,2,0.6589269042015076
71,1IAIhX6u9AQ,16,2,16,461.0,197.0,480.0,218.0,2,0.42040184140205383
72,1IAIhX6u9AQ,16,2,17,415.0,209.0,479.0,253.0,2,0.8924633264541626
73,1IAIhX6u9AQ,16,2,17,3.0,7.0,215.0,327.0,7,0.6308554410934448
74,1IAIhX6u9AQ,16,2,17,208.0,161.0,307.0,241.0,7,0.5012800097465515
75,1IAIhX6u9AQ,16,2,18,377.0,201.0,436.0,240.0,2,0.9151167869567871
76,1IAIhX6u9AQ,16,2,18,431.0,204.0,468.0,222.0,2,0.7305101156234741
77,1IAIhX6u9AQ,16,2,18,2.0,12.0,197.0,317.0,7,0.6863790154457092
78,1IAIhX6u9AQ,16,2,19,369.0,199.0,427.0,238.0,2,0.8919970989227295
79,1IAIhX6u9AQ,16,2,19,1.0,25.0,200.0,312.0,7,0.7954158782958984
80,1IAIhX6u9AQ,16,2,19,423.0,203.0,458.0,220.0,2,0.6044578552246094
81,1IAIhX6u9AQ,16,2,19,256.0,193.0,280.0,210.0,2,0.42577263712882996
