,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1LmCkh8Dd-o,19,0,1,214.0,80.0,321.0,244.0,0,0.920434296131134
1,1LmCkh8Dd-o,19,0,2,213.0,79.0,320.0,244.0,0,0.9217295050621033
2,1LmCkh8Dd-o,19,0,3,206.0,68.0,300.0,231.0,0,0.8314987421035767
3,1LmCkh8Dd-o,19,0,3,164.0,139.0,227.0,207.0,34,0.45003437995910645
4,1LmCkh8Dd-o,19,0,4,200.0,69.0,304.0,216.0,0,0.8004196286201477
5,1LmCkh8Dd-o,19,0,5,265.0,61.0,336.0,221.0,0,0.7932530045509338
6,1LmCkh8Dd-o,19,0,6,209.0,51.0,268.0,195.0,0,0.705017626285553
7,1LmCkh8Dd-o,19,0,6,222.0,126.0,271.0,219.0,16,0.6607936024665833
8,1LmCkh8Dd-o,19,0,7,180.0,64.0,231.0,185.0,0,0.7528771758079529
9,1LmCkh8Dd-o,19,0,8,130.0,22.0,217.0,204.0,0,0.7581301927566528
10,1LmCkh8Dd-o,19,0,9,102.0,1.0,293.0,250.0,0,0.45222851634025574
11,1LmCkh8Dd-o,19,0,10,57.0,0.0,385.0,336.0,0,0.4102717339992523
12,1LmCkh8Dd-o,19,0,11,289.0,1.0,519.0,354.0,0,0.7067164182662964
13,1LmCkh8Dd-o,19,0,12,308.0,5.0,470.0,351.0,0,0.634201169013977
14,1LmCkh8Dd-o,19,0,12,105.0,101.0,352.0,359.0,16,0.5582197308540344
15,1LmCkh8Dd-o,19,0,13,7.0,0.0,261.0,359.0,0,0.5613889694213867
16,1LmCkh8Dd-o,19,0,14,153.0,1.0,419.0,354.0,0,0.4765172600746155
17,1LmCkh8Dd-o,19,0,15,212.0,0.0,411.0,330.0,0,0.6417028903961182
18,1LmCkh8Dd-o,19,0,16,244.0,4.0,392.0,300.0,0,0.8269755840301514
19,1LmCkh8Dd-o,19,0,17,111.0,0.0,283.0,334.0,0,0.8894973993301392
20,1LmCkh8Dd-o,19,1,9,177.0,2.0,456.0,353.0,0,0.843572735786438
21,1LmCkh8Dd-o,19,1,10,170.0,20.0,322.0,307.0,0,0.911540687084198
22,1LmCkh8Dd-o,19,1,11,177.0,41.0,330.0,314.0,0,0.8833668231964111
23,1LmCkh8Dd-o,19,1,12,174.0,51.0,314.0,319.0,0,0.8793433308601379
24,1LmCkh8Dd-o,19,1,12,251.0,174.0,331.0,300.0,16,0.7382659912109375
25,1LmCkh8Dd-o,19,1,13,87.0,31.0,264.0,298.0,0,0.8524463176727295
26,1LmCkh8Dd-o,19,1,14,137.0,0.0,304.0,277.0,0,0.8659229278564453
27,1LmCkh8Dd-o,19,1,15,173.0,16.0,308.0,295.0,0,0.8669971227645874
28,1LmCkh8Dd-o,19,1,16,182.0,23.0,315.0,302.0,0,0.9167585968971252
29,1LmCkh8Dd-o,19,1,17,225.0,0.0,357.0,288.0,0,0.8379886746406555
30,1LmCkh8Dd-o,19,1,17,76.0,132.0,278.0,269.0,16,0.8099284768104553
31,1LmCkh8Dd-o,19,1,18,139.0,0.0,264.0,292.0,0,0.8966478705406189
32,1LmCkh8Dd-o,19,1,19,150.0,0.0,296.0,286.0,0,0.9128910899162292
33,1LmCkh8Dd-o,19,1,19,39.0,125.0,200.0,249.0,16,0.5939178466796875
