,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1Op82rGAgKc,14,0,1,200.0,156.0,236.0,246.0,0,0.7918016910552979
1,1Op82rGAgKc,14,0,2,200.0,156.0,240.0,246.0,0,0.7884508967399597
2,1Op82rGAgKc,14,0,3,190.0,73.0,261.0,213.0,0,0.7629268765449524
3,1Op82rGAgKc,14,0,3,193.0,206.0,276.0,234.0,36,0.5350066423416138
4,1Op82rGAgKc,14,0,4,239.0,6.0,328.0,293.0,0,0.8836744427680969
5,1Op82rGAgKc,14,0,4,213.0,281.0,354.0,311.0,36,0.646782398223877
6,1Op82rGAgKc,14,0,5,123.0,33.0,203.0,291.0,0,0.8850443363189697
7,1Op82rGAgKc,14,0,5,115.0,256.0,286.0,303.0,31,0.5165863633155823
8,1Op82rGAgKc,14,0,6,80.0,85.0,164.0,305.0,0,0.8896287679672241
9,1Op82rGAgKc,14,0,7,193.0,32.0,273.0,238.0,0,0.8911652565002441
10,1Op82rGAgKc,14,0,7,208.0,227.0,283.0,265.0,36,0.8173295259475708
11,1Op82rGAgKc,14,0,8,208.0,40.0,285.0,246.0,0,0.9202251434326172
12,1Op82rGAgKc,14,0,8,226.0,230.0,289.0,265.0,36,0.856468141078949
13,1Op82rGAgKc,14,0,9,250.0,40.0,381.0,250.0,0,0.8621111512184143
14,1Op82rGAgKc,14,0,10,192.0,126.0,271.0,305.0,0,0.8057693243026733
15,1Op82rGAgKc,14,0,10,213.0,298.0,285.0,321.0,36,0.40957868099212646
16,1Op82rGAgKc,14,0,11,249.0,73.0,314.0,261.0,0,0.8664728999137878
17,1Op82rGAgKc,14,0,11,250.0,241.0,301.0,266.0,36,0.4992518424987793
18,1Op82rGAgKc,14,0,12,0.0,99.0,35.0,206.0,0,0.7923963069915771
19,1Op82rGAgKc,14,0,12,177.0,165.0,304.0,207.0,13,0.5585150718688965
20,1Op82rGAgKc,14,0,13,114.0,25.0,189.0,191.0,0,0.8434420228004456
21,1Op82rGAgKc,14,0,13,136.0,140.0,188.0,193.0,36,0.7420678734779358
22,1Op82rGAgKc,14,0,13,176.0,163.0,307.0,228.0,13,0.6094346642494202
23,1Op82rGAgKc,14,0,14,281.0,0.0,389.0,227.0,0,0.8799943327903748
24,1Op82rGAgKc,14,0,14,176.0,163.0,305.0,217.0,13,0.6308183073997498
25,1Op82rGAgKc,14,0,14,313.0,206.0,375.0,246.0,36,0.42563560605049133
26,1Op82rGAgKc,14,0,15,228.0,5.0,326.0,310.0,0,0.8372884392738342
27,1Op82rGAgKc,14,0,15,247.0,287.0,310.0,325.0,36,0.7254638671875
28,1Op82rGAgKc,14,0,16,177.0,163.0,305.0,225.0,13,0.5996178984642029
29,1Op82rGAgKc,14,0,17,266.0,126.0,348.0,276.0,0,0.8883587121963501
30,1Op82rGAgKc,14,0,17,266.0,268.0,325.0,284.0,36,0.5292137265205383
31,1Op82rGAgKc,14,0,19,209.0,24.0,333.0,258.0,0,0.6961631774902344
32,1Op82rGAgKc,14,0,19,286.0,245.0,386.0,293.0,2,0.43201330304145813
