,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1PZ_Z6mcP9M,11,0,1,37.0,108.0,95.0,144.0,2,0.6317493319511414
1,1PZ_Z6mcP9M,11,0,1,82.0,30.0,226.0,186.0,0,0.45223569869995117
2,1PZ_Z6mcP9M,11,0,2,36.0,107.0,98.0,143.0,2,0.58258056640625
3,1PZ_Z6mcP9M,11,0,2,77.0,22.0,299.0,233.0,0,0.5537872314453125
4,1PZ_Z6mcP9M,11,0,3,46.0,24.0,306.0,234.0,0,0.6243253350257874
5,1PZ_Z6mcP9M,11,0,3,25.0,107.0,92.0,144.0,2,0.4768284261226654
6,1PZ_Z6mcP9M,11,0,3,22.0,107.0,93.0,144.0,7,0.44528359174728394
7,1PZ_Z6mcP9M,11,0,3,22.0,108.0,33.0,123.0,0,0.4051484167575836
8,1PZ_Z6mcP9M,11,0,4,123.0,26.0,316.0,168.0,2,0.4813132584095001
9,1PZ_Z6mcP9M,11,0,5,16.0,102.0,38.0,156.0,0,0.5044597387313843
10,1PZ_Z6mcP9M,11,0,6,7.0,92.0,76.0,153.0,2,0.6232057809829712
11,1PZ_Z6mcP9M,11,0,6,177.0,116.0,221.0,195.0,1,0.4214808940887451
12,1PZ_Z6mcP9M,11,0,6,73.0,32.0,192.0,236.0,0,0.4157339632511139
13,1PZ_Z6mcP9M,11,0,7,13.0,23.0,167.0,235.0,0,0.5793735384941101
14,1PZ_Z6mcP9M,11,0,7,149.0,17.0,244.0,237.0,0,0.47854548692703247
15,1PZ_Z6mcP9M,11,0,11,2.0,158.0,62.0,237.0,2,0.8301267027854919
16,1PZ_Z6mcP9M,11,0,11,59.0,53.0,244.0,236.0,0,0.699284017086029
17,1PZ_Z6mcP9M,11,0,11,221.0,143.0,317.0,237.0,2,0.5458257794380188
18,1PZ_Z6mcP9M,11,0,12,44.0,83.0,171.0,237.0,0,0.5402181148529053
19,1PZ_Z6mcP9M,11,0,12,209.0,132.0,320.0,237.0,2,0.49609825015068054
20,1PZ_Z6mcP9M,11,0,12,134.0,58.0,228.0,238.0,0,0.4158584773540497
21,1PZ_Z6mcP9M,11,0,13,88.0,70.0,135.0,100.0,2,0.5818190574645996
22,1PZ_Z6mcP9M,11,0,18,6.0,96.0,61.0,166.0,2,0.6259788870811462
23,1PZ_Z6mcP9M,11,0,18,192.0,77.0,223.0,89.0,2,0.578028678894043
24,1PZ_Z6mcP9M,11,0,18,9.0,31.0,320.0,235.0,0,0.45249995589256287
25,1PZ_Z6mcP9M,11,0,18,174.0,88.0,309.0,164.0,2,0.4343629479408264
26,1PZ_Z6mcP9M,11,0,19,34.0,95.0,86.0,191.0,2,0.7099609375
27,1PZ_Z6mcP9M,11,0,19,55.0,57.0,248.0,238.0,0,0.5457193851470947
28,1PZ_Z6mcP9M,11,0,19,6.0,95.0,39.0,144.0,2,0.4895033836364746
29,1PZ_Z6mcP9M,11,0,19,31.0,74.0,64.0,90.0,2,0.4170335531234741
